"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Andrew","Kemeny"," COSC","1520","Jun","14","2009","3.0","3.0"
"Andrew","Kemeny"," CSE","1520","Sep","3","2006","2.0","3.0"
"Andrew","Kemeny"," CSE","1530","Jun","26","2006","2.0","2.0"
"Andrew","Kemeny"," COSC","1540","May","25","2006","3.0","3.0"
"Andrew","Kemeny"," CSE","1520","Mar","5","2006","1.5","2.0"
"Andrew","Kemeny"," COSC","1540","Jan","25","2005","3.5","2.0"
"Andrew","Kemeny"," COSC","1540","Dec","27","2004","3.5","4.0"
"Andrew","Kemeny"," COSC","1540","Oct","24","2004","4.0","3.0"
"Andrew","Kemeny"," COSC","1540","Sep","28","2004","3.0","3.0"
"Andrew","Kemeny"," 1540",NA,"Apr","15","2004","2.0","3.0"
"Andrew","Kemeny"," COS","1540","Nov","27","2003","4.5","2.0"
"Andrew","Kemeny"," COSC",NA,"Nov","5","2003","2.0","2.0"
"Andrew","Kemeny"," 1540",NA,"Oct","26","2003","3.0","3.0"
"Andrew","Kemeny"," COS","1530","Mar","6","2003","4.5","2.0"
"Andrew","Kemeny"," COSC","1520","Jan","27","2003","1.0","5.0"
"Andrew","Kemeny"," COSC","1530","Jan","25","2003","3.5","5.0"
"Andrew","Kemeny"," COSC","1520","Dec","23","2002","1.0","5.0"
"Andrew","Kemeny"," COSC","1520","Dec","1","2002","2.0","3.0"
"Andrew","Kemeny"," 1520",NA,"Nov","14","2002","1.0","2.0"
"Andrew","Kemeny"," COSC","1520","Oct","22","2002","1.0","1.0"
"Andrew","Kemeny"," COSC","1520","Apr","14","2002","2.5","1.0"
"Andrew","Kemeny"," COSC","1530","Apr","6","2002","2.5","2.0"
"Andrew","Kemeny"," CS","1520","Apr","2","2002","3.0","2.0"
"Andrew","Kemeny"," COSC","1530","Nov","22","2001","5.0","1.0"
