"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Anthony","Wallis"," CS","2031","Apr","22","2019","5.0","4.0"
"Anthony","Wallis"," CSE","3213","Oct","23","2006","1.0","4.0"
"Anthony","Wallis"," COSC","2031","Oct","4","2005","2.5","3.0"
"Anthony","Wallis"," COSC","2031","Oct","3","2005","1.0","5.0"
"Anthony","Wallis"," COSC","2321","Mar","20","2005","1.0","5.0"
"Anthony","Wallis"," COSC",NA,"Dec","10","2004","2.5","4.0"
"Anthony","Wallis"," 3201",NA,"Dec","8","2004","4.0","4.0"
"Anthony","Wallis"," COSC","3201","Nov","22","2004","5.0","3.0"
"Anthony","Wallis"," COMP",NA,"Oct","19","2004","1.0","5.0"
"Anthony","Wallis"," 3101",NA,"Aug","25","2004","3.0","2.0"
"Anthony","Wallis"," COSC","2031","Jun","21","2004","1.0","5.0"
"Anthony","Wallis"," COSC","2031","Jun","16","2004","1.0","5.0"
"Anthony","Wallis"," 3213",NA,"Apr","25","2004","1.0","5.0"
"Anthony","Wallis"," COSC","3201","Apr","22","2004","1.0","5.0"
"Anthony","Wallis"," COSC","3201","Apr","20","2004","2.0","4.0"
"Anthony","Wallis"," COS","3213","Apr","18","2004","1.0","5.0"
"Anthony","Wallis"," COSC","2031","Mar","31","2004","1.0","5.0"
"Anthony","Wallis"," 3213",NA,"Mar","24","2004","1.0","5.0"
"Anthony","Wallis"," DATA",NA,"Feb","26","2004","1.5","3.0"
"Anthony","Wallis"," COSC","2031","Feb","21","2004","1.0","5.0"
"Anthony","Wallis"," COMP",NA,"Feb","11","2004","1.0","5.0"
"Anthony","Wallis"," COSC","2031","Jan","5","2004","1.0","5.0"
"Anthony","Wallis"," COSC","3201","Dec","24","2003","1.5","4.0"
"Anthony","Wallis"," COSC","2031","Dec","19","2003","1.0","4.0"
"Anthony","Wallis"," COSC","2021","Nov","24","2003","2.0","3.0"
"Anthony","Wallis"," CS","2031","Nov","16","2003","1.0","5.0"
"Anthony","Wallis"," 2031",NA,"Oct","4","2003","1.0","5.0"
"Anthony","Wallis"," 2031",NA,"Sep","24","2003","1.0","5.0"
"Anthony","Wallis"," COSC","2031","Sep","11","2003","1.0","5.0"
"Anthony","Wallis"," 2031",NA,"Sep","11","2003","1.0","5.0"
"Anthony","Wallis"," 2031",NA,"Aug","26","2003","1.0","5.0"
"Anthony","Wallis"," 2031",NA,"Jul","25","2003","1.0","4.0"
"Anthony","Wallis"," 2031",NA,"Jul","21","2003","1.0","5.0"
"Anthony","Wallis"," SOME",NA,"Jun","13","2003","1.0","5.0"
"Anthony","Wallis"," COSC","2031","Jun","3","2003","1.0","5.0"
"Anthony","Wallis"," COSC","2031","Jun","2","2003","3.0","2.0"
"Anthony","Wallis"," 3201",NA,"Jun","2","2003","1.0","5.0"
"Anthony","Wallis"," 2031",NA,"Apr","24","2003","1.0","4.0"
"Anthony","Wallis"," COSC","3201","Apr","24","2003","1.0","5.0"
"Anthony","Wallis"," COSC","3201","Mar","25","2003","1.0","1.0"
"Anthony","Wallis"," COCS","2031","Mar","6","2003","1.0","3.0"
"Anthony","Wallis"," COSC","3213","Mar","5","2003","1.0","5.0"
"Anthony","Wallis"," COSC","2031","Mar","5","2003","1.5","4.0"
"Anthony","Wallis"," COSC","3213","Feb","11","2003","1.5","3.0"
"Anthony","Wallis"," COSC","3201","Dec","11","2002","4.5","2.0"
"Anthony","Wallis"," COSC","3201","Dec","8","2002","1.5","2.0"
"Anthony","Wallis"," 3201",NA,"Dec","8","2002","3.5","3.0"
"Anthony","Wallis"," CS","2031","Oct","15","2002","1.0","4.0"
"Anthony","Wallis"," COSC","3201","Sep","8","2002","1.0","3.0"
"Anthony","Wallis"," 2031",NA,"May","7","2002","2.0","1.0"
"Anthony","Wallis"," COSC","2031","Apr","3","2002","3.0","1.0"
"Anthony","Wallis"," COSC","2031","Mar","30","2002","4.0","3.0"
"Anthony","Wallis"," COSC","2031","Mar","20","2002","2.0","4.0"
"Anthony","Wallis"," COSC","2031","Feb","19","2002","2.0","3.0"
"Anthony","Wallis"," COSC","2031","Nov","25","2001","1.5","3.0"
"Anthony","Wallis"," COSC","2031","Jul","5","2001","3.0","3.0"
"Anthony","Wallis"," COSC","3201","Jul","5","2001","2.5","2.0"
