"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Anthony","Nield"," PSYC","2120","Feb","24","2019","2.0","4.0"
"Anthony","Nield"," LEAR",NA,"Sep","14","2014","4.0","4.0"
"Anthony","Nield"," PSYC","2210","Sep","11","2014","1.0","4.0"
"Anthony","Nield"," PSYC","2210","Sep","4","2014","4.0","5.0"
"Anthony","Nield"," PSYC","2210","Jul","23","2014","3.5","5.0"
"Anthony","Nield"," PSYC","3260","Apr","13","2014","1.5","4.0"
"Anthony","Nield"," PSYC","2210","Apr","3","2014","2.0","3.0"
"Anthony","Nield"," PSYC","2210","Mar","20","2014","2.0","5.0"
"Anthony","Nield"," 3260",NA,"Feb","26","2014","3.5","3.0"
"Anthony","Nield"," PSY","2210","Dec","4","2013","2.0","5.0"
"Anthony","Nield"," 3260",NA,"Apr","30","2013","5.0","3.0"
"Anthony","Nield"," 2210",NA,"Mar","11","2013","4.0","2.0"
"Anthony","Nield"," LEAR",NA,"Mar","19","2012","1.0","5.0"
"Anthony","Nield"," LEAR",NA,"Nov","7","2011","4.0","3.0"
"Anthony","Nield"," LEAR",NA,"Dec","3","2010","3.0","3.0"
"Anthony","Nield"," PSYC","3260","Mar","13","2010","4.0","3.0"
"Anthony","Nield"," PSYC","2210","Jan","8","2010","5.0","2.0"
"Anthony","Nield"," PSYC","3260","Dec","8","2009","4.5","3.0"
"Anthony","Nield"," PSYC","2210","May","21","2009","2.5","5.0"
"Anthony","Nield"," PSYC","2210","Feb","27","2009","5.0","1.0"
"Anthony","Nield"," STAT","2020","Sep","7","2007","4.5","1.0"
"Anthony","Nield"," PSYC","3260","Aug","8","2007","4.5","4.0"
"Anthony","Nield"," PSYC","2210","Jul","4","2007","3.5","5.0"
"Anthony","Nield"," STAT","2020","Jun","12","2007","2.0","5.0"
"Anthony","Nield"," LEAR","1","Jun","8","2007","3.5","3.0"
"Anthony","Nield"," PSYC","2020","Feb","20","2007","2.5","4.0"
"Anthony","Nield"," PSYC","3260","Jan","3","2007","3.5","3.0"
"Anthony","Nield"," PSYC","0000","Dec","1","2006","1.5","5.0"
"Anthony","Nield"," PSYC","3260","Nov","29","2006","4.0","5.0"
"Anthony","Nield"," PSYC","2020","Aug","14","2006","1.0","2.0"
"Anthony","Nield"," COGN",NA,"Jul","27","2006","1.5","5.0"
"Anthony","Nield"," PSYC",NA,"Jun","13","2006","4.5","2.0"
"Anthony","Nield"," COGN",NA,"Apr","30","2006","2.5","5.0"
"Anthony","Nield"," LEAR",NA,"Apr","22","2006","2.5","5.0"
"Anthony","Nield"," COGN",NA,"Apr","11","2006","3.5","5.0"
"Anthony","Nield"," 2020",NA,"Mar","29","2006","1.5","4.0"
"Anthony","Nield"," PSYC","2020","Jan","22","2006","3.5","1.0"
"Anthony","Nield"," LEAR",NA,"Dec","23","2005","2.5","5.0"
"Anthony","Nield"," PSYC","2030","Oct","25","2005","4.0","2.0"
"Anthony","Nield"," PSYC",NA,"Sep","3","2005","2.0","4.0"
"Anthony","Nield"," PSYC","2030","Aug","16","2005","2.5","3.0"
"Anthony","Nield"," MOTI",NA,"Aug","9","2005","2.0","4.0"
"Anthony","Nield"," MOTI",NA,"Aug","3","2005","3.0","2.0"
"Anthony","Nield"," MOTI",NA,"Aug","1","2005","3.0","2.0"
"Anthony","Nield"," STAT",NA,"Jun","29","2005","3.0","1.0"
"Anthony","Nield"," PSYC",NA,"Jun","5","2005","1.0","5.0"
"Anthony","Nield"," LEAR",NA,"May","26","2005","5.0","4.0"
"Anthony","Nield"," STAT",NA,"May","6","2005","3.5","4.0"
"Anthony","Nield"," STAT",NA,"Apr","28","2005","1.0","5.0"
"Anthony","Nield"," LEAR",NA,"Apr","26","2005","2.0","5.0"
"Anthony","Nield"," LEAR",NA,"Apr","12","2005","1.0","5.0"
"Anthony","Nield"," STAT",NA,"Mar","27","2005","1.0","3.0"
"Anthony","Nield"," LEAR",NA,"Feb","22","2005","1.5","5.0"
"Anthony","Nield"," LEAR",NA,"Feb","16","2005","1.5","5.0"
"Anthony","Nield"," LEAR",NA,"Jan","23","2005","3.0","2.0"
"Anthony","Nield"," COGN",NA,"Jan","20","2005","2.5","3.0"
"Anthony","Nield"," LEAR",NA,"Jan","18","2005","4.5","3.0"
"Anthony","Nield"," COGN","3260","Jan","5","2005","5.0","2.0"
"Anthony","Nield"," LEAR",NA,"Dec","13","2004","1.5","5.0"
"Anthony","Nield"," LEAR",NA,"Dec","10","2004","1.0","5.0"
"Anthony","Nield"," COGN",NA,"Dec","6","2004","2.0","4.0"
"Anthony","Nield"," PSYC",NA,"Nov","23","2004","1.0","5.0"
"Anthony","Nield"," PSYC","4170","Oct","23","2004","4.5","3.0"
"Anthony","Nield"," LEAR",NA,"Oct","19","2004","1.5","4.0"
"Anthony","Nield"," PSYC","2210","Oct","5","2004","1.5","4.0"
"Anthony","Nield"," LEAR",NA,"Oct","2","2004","1.5","4.0"
"Anthony","Nield"," MOTI",NA,"Sep","24","2004","3.0","4.0"
"Anthony","Nield"," COGN",NA,"Sep","10","2004","1.0","5.0"
"Anthony","Nield"," LEAR",NA,"Sep","1","2004","3.0","2.0"
"Anthony","Nield"," STAT",NA,"Aug","11","2004","1.0","5.0"
"Anthony","Nield"," COGN",NA,"Aug","11","2004","2.5","5.0"
"Anthony","Nield"," STAT",NA,"Jun","7","2004","2.5","5.0"
"Anthony","Nield"," MOTI",NA,"May","6","2004","1.0","5.0"
"Anthony","Nield"," LEAR",NA,"May","5","2004","3.5","5.0"
"Anthony","Nield"," PSYC","2210","Apr","22","2004","5.0","3.0"
"Anthony","Nield"," PSYC","2210","Apr","21","2004","1.0","5.0"
"Anthony","Nield"," COGN",NA,"Mar","31","2004","1.5","5.0"
"Anthony","Nield"," PSYC",NA,"Mar","23","2004","1.0","5.0"
