"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Bruce","Smardon"," POLS","1090","Jun","11","2019","3.0","3.0"
"Bruce","Smardon"," POLS","1000","Apr","24","2019","4.0","1.0"
"Bruce","Smardon"," POLS","1000","Mar","22","2019","5.0","3.0"
"Bruce","Smardon"," POLS","1000","Sep","29","2018","5.0","3.0"
"Bruce","Smardon"," POLS","1000","Aug","31","2018","5.0","2.0"
"Bruce","Smardon"," POLS","1000","Aug","31","2018","4.0","2.0"
"Bruce","Smardon"," POLS","1090","Jan","18","2018","5.0","2.0"
"Bruce","Smardon"," POLS","4117","Jan","3","2018","5.0","3.0"
"Bruce","Smardon"," POLS","1090","Apr","15","2017","2.0","3.0"
"Bruce","Smardon"," POLS","1090","Nov","21","2016","4.0","3.0"
"Bruce","Smardon"," POLS","1090","Aug","28","2016","4.0","2.0"
"Bruce","Smardon"," POLS","1090","Apr","27","2016","4.0","1.0"
"Bruce","Smardon"," POLS","1000","Apr","27","2016","4.0","1.0"
"Bruce","Smardon"," POLS","1000","Apr","27","2016","4.0","2.0"
"Bruce","Smardon"," POLS","1090","Apr","13","2016","4.0","2.0"
"Bruce","Smardon"," POLS","1090","Apr","9","2016","1.5","4.0"
"Bruce","Smardon"," POLS","1090","Feb","25","2016","1.0","5.0"
"Bruce","Smardon"," POLS","1000","Nov","1","2015","3.5","3.0"
"Bruce","Smardon"," POLS","1090","Sep","18","2015","4.0","3.0"
"Bruce","Smardon"," POLS","1090","May","20","2015","4.5","3.0"
"Bruce","Smardon"," POLS","1000","Nov","15","2014","4.5","3.0"
"Bruce","Smardon"," POL","1000","Oct","8","2014","4.5","2.0"
"Bruce","Smardon"," POLS","1000","Jun","24","2014","4.0","1.0"
"Bruce","Smardon"," POL","1000","May","7","2014","5.0","1.0"
"Bruce","Smardon"," POLS","1000","Jan","11","2013","4.0","2.0"
"Bruce","Smardon"," POLS","1000","Jan","9","2013","3.0","1.0"
"Bruce","Smardon"," POLS","1000","Oct","7","2011","4.0","1.0"
"Bruce","Smardon"," POLS","1000","Aug","15","2010","5.0","2.0"
"Bruce","Smardon"," POLS","1000","Aug","4","2010","4.5","2.0"
"Bruce","Smardon"," POLS","1090","Jun","3","2009","3.0","2.0"
"Bruce","Smardon"," POLS",NA,"Mar","17","2008","5.0","3.0"
"Bruce","Smardon"," POLS","2910","Oct","22","2006","3.5","3.0"
"Bruce","Smardon"," POLS","1010","Jul","26","2006","4.5","1.0"
"Bruce","Smardon"," POLS","1090","Jun","16","2006","4.5","2.0"
"Bruce","Smardon"," POLS","1090","Jun","1","2006","5.0","2.0"
"Bruce","Smardon"," POLS","2910","May","6","2006","5.0","2.0"
"Bruce","Smardon"," POLS","2910","Mar","15","2006","5.0","2.0"
"Bruce","Smardon"," POLS","2910","Oct","19","2005","4.5","3.0"
"Bruce","Smardon"," 1090",NA,"Sep","26","2005","4.5","2.0"
"Bruce","Smardon"," 2910",NA,"Sep","19","2005","4.5","2.0"
"Bruce","Smardon"," POLS","2900","Aug","20","2005","5.0","1.0"
"Bruce","Smardon"," POLS","1090","Jun","28","2005","5.0","1.0"
"Bruce","Smardon"," BUSG",NA,"Jun","23","2005","5.0","1.0"
"Bruce","Smardon"," POLS","2910","Jun","20","2005","5.0","2.0"
"Bruce","Smardon"," POLS","2910","Jun","14","2005","4.0","4.0"
"Bruce","Smardon"," POLS","1090","May","16","2005","5.0","2.0"
"Bruce","Smardon"," POLS","1090","Apr","18","2005","4.5","3.0"
"Bruce","Smardon"," POLS","2910","Apr","5","2005","1.5","4.0"
