"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Byron","Wall"," NATS","1510","Mar","30","2011","3.5","2.0"
"Byron","Wall"," NATS","1730","Mar","30","2010","4.5","3.0"
"Byron","Wall"," NATS","1510","Jan","4","2010","2.5","2.0"
"Byron","Wall"," NATS","1730","Dec","13","2009","3.5","3.0"
"Byron","Wall"," NATS","1510","Nov","23","2009","4.0","2.0"
"Byron","Wall"," NATS","1730","Jun","4","2009","4.0","4.0"
"Byron","Wall"," NATS","1730","Jun","5","2008","3.0","2.0"
"Byron","Wall"," NATS","1730","Sep","18","2007","5.0","1.0"
"Byron","Wall"," NATS","1730","Aug","22","2007","2.5","2.0"
"Byron","Wall"," NATS","1730","Jun","15","2007","5.0","2.0"
"Byron","Wall"," NATS","1730","Jun","13","2007","4.0","2.0"
"Byron","Wall"," NATS","1730","Jun","7","2007","4.5","3.0"
"Byron","Wall"," NATS","1840","Sep","27","2006","1.0","5.0"
"Byron","Wall"," NATS","1840","Sep","26","2006","4.0","1.0"
"Byron","Wall"," NATS","1730","Aug","14","2006","2.0","3.0"
"Byron","Wall"," NATS","1840","Jun","21","2006","5.0","1.0"
"Byron","Wall"," NATS","1730","Jun","20","2006","4.5","4.0"
"Byron","Wall"," NATS","1730","May","3","2006","5.0","2.0"
"Byron","Wall"," NATS","1730","May","3","2006","5.0","3.0"
"Byron","Wall"," NATS","1730","Apr","16","2006","5.0","1.0"
"Byron","Wall"," NATS","1730","Apr","13","2006","4.0","1.0"
"Byron","Wall"," NATS","1730","Apr","1","2006","5.0","2.0"
"Byron","Wall"," NATS","1730","Mar","6","2006","5.0","1.0"
"Byron","Wall"," NATS","1730","Feb","27","2006","2.5","3.0"
"Byron","Wall"," NATS","1730","Feb","11","2006","3.0","2.0"
"Byron","Wall"," SCIE",NA,"Dec","23","2005","5.0","1.0"
"Byron","Wall"," NATS","1730","Dec","11","2005","4.5","2.0"
"Byron","Wall"," NATS","1730","Dec","9","2005","5.0","1.0"
"Byron","Wall"," NATS","1840","Nov","29","2005","5.0","2.0"
"Byron","Wall"," NATS","1730","Nov","3","2005","4.0","2.0"
"Byron","Wall"," NATS",NA,"Sep","26","2005","4.0","2.0"
"Byron","Wall"," NATS","1840","Aug","2","2005","3.5","1.0"
"Byron","Wall"," NATS",NA,"May","3","2005","5.0","1.0"
"Byron","Wall"," NATS","1840","Mar","3","2005","5.0","1.0"
"Byron","Wall"," NATS","1840","Nov","1","2004","5.0","1.0"
"Byron","Wall"," NATS","1730","Aug","8","2004","3.5","1.0"
"Byron","Wall"," NATS","1730","Jul","21","2004","5.0","2.0"
"Byron","Wall"," NATS","1730","Jun","27","2004","5.0","1.0"
"Byron","Wall"," NATS","1730","Jun","23","2004","5.0","1.0"
"Byron","Wall"," NATS","1840","Apr","28","2004","2.5","3.0"
"Byron","Wall"," NATS","1840","Apr","26","2004","5.0","1.0"
"Byron","Wall"," NATS","1840","Apr","15","2004","5.0","1.0"
"Byron","Wall"," NATS","1730","Apr","7","2004","3.5","2.0"
"Byron","Wall"," NATS",NA,"Mar","27","2004","5.0","1.0"
"Byron","Wall"," NATS","1730","Feb","13","2004","3.0","4.0"
"Byron","Wall"," NATS","1730","Feb","3","2004","3.0","2.0"
"Byron","Wall"," 1840",NA,"Feb","1","2004","4.5","1.0"
"Byron","Wall"," NATS","1730","Dec","13","2003","5.0","1.0"
"Byron","Wall"," NATS","1730","Nov","28","2003","5.0","1.0"
"Byron","Wall"," NATS","1730","Nov","28","2003","2.5","1.0"
"Byron","Wall"," NATS","1840","Nov","27","2003","3.5","1.0"
"Byron","Wall"," NATS","1840","Nov","25","2003","5.0","1.0"
"Byron","Wall"," NATS","1840","Nov","24","2003","3.5","2.0"
"Byron","Wall"," NATS","1840","Nov","22","2003","5.0","1.0"
"Byron","Wall"," NATS","1840","Nov","21","2003","5.0","2.0"
"Byron","Wall"," NATS","1840","Nov","21","2003","4.5","2.0"
"Byron","Wall"," NATS","1840","Nov","20","2003","4.5","1.0"
"Byron","Wall"," 1840",NA,"Nov","20","2003","5.0","1.0"
"Byron","Wall"," NATS","1840","Nov","20","2003","5.0","1.0"
"Byron","Wall"," NATS","1730","Aug","27","2003","3.5","4.0"
"Byron","Wall"," NATS","1730","Jun","17","2003","5.0","2.0"
"Byron","Wall"," 1730",NA,"May","23","2003","4.0","2.0"
"Byron","Wall"," NATS","1730","Apr","27","2003","5.0","2.0"
"Byron","Wall"," 1730",NA,"Apr","25","2003","5.0","2.0"
"Byron","Wall"," NATS","1730","Apr","18","2003","5.0","3.0"
"Byron","Wall"," NATS","1730","Apr","17","2003","5.0","2.0"
"Byron","Wall"," NATS","1730","Apr","16","2003","5.0","1.0"
"Byron","Wall"," 1750",NA,"Apr","13","2003","5.0","4.0"
"Byron","Wall"," NATS","1730","Apr","9","2003","4.0","2.0"
"Byron","Wall"," NATS","1730","Apr","9","2003","3.0","3.0"
"Byron","Wall"," NATS","1730","Apr","4","2003","5.0","1.0"
"Byron","Wall"," NATS","1750","Mar","28","2003","4.5","1.0"
"Byron","Wall"," NATS",NA,"Mar","22","2003","5.0","2.0"
"Byron","Wall"," NATS","1730","Mar","10","2003","5.0","1.0"
"Byron","Wall"," NATS","1840","Mar","8","2003","5.0","2.0"
"Byron","Wall"," NATS","1730","Mar","5","2003","5.0","1.0"
"Byron","Wall"," NAT","1730","Mar","5","2003","4.0","3.0"
"Byron","Wall"," NATS","1730","Jan","25","2003","5.0","1.0"
"Byron","Wall"," NATS","1730","Jan","8","2003","4.5","3.0"
"Byron","Wall"," NATS","1730","Jan","6","2003","5.0","1.0"
"Byron","Wall"," 1730",NA,"Dec","27","2002","5.0","2.0"
"Byron","Wall"," 1730",NA,"Dec","18","2002","4.5","2.0"
"Byron","Wall"," NATS","1730","Dec","13","2002","2.5","1.0"
"Byron","Wall"," NATS","1730","Dec","12","2002","5.0","1.0"
"Byron","Wall"," NATS","1730","Jul","15","2002","5.0","1.0"
"Byron","Wall"," NATS","1840","May","26","2002","5.0","1.0"
"Byron","Wall"," 1730",NA,"Apr","29","2002","5.0","1.0"
"Byron","Wall"," 6363",NA,"Apr","18","2002","5.0","1.0"
"Byron","Wall"," NATS","1730","Apr","11","2002","5.0","1.0"
"Byron","Wall"," NATS","1730","Mar","26","2002","4.5","2.0"
"Byron","Wall"," NATS","1730","Mar","12","2002","5.0","1.0"
"Byron","Wall"," 1730",NA,"Mar","11","2002","5.0","1.0"
"Byron","Wall"," SCNA","17","Oct","26","2001","5.0","2.0"
