"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Colin","Steel"," BIOL","3060","Jan","4","2016","4.0","3.0"
"Colin","Steel"," BIO","3060","Jan","3","2016","3.0","4.0"
"Colin","Steel"," BIOL","3060","Dec","23","2015","5.0","3.0"
"Colin","Steel"," BIOL","3060","Dec","17","2015","5.0","3.0"
"Colin","Steel"," 3060",NA,"Jun","23","2013","2.5","3.0"
"Colin","Steel"," BIOL","3060","Jan","18","2013","2.5","5.0"
"Colin","Steel"," BIOL","3060","Jul","5","2012","4.0","3.0"
"Colin","Steel"," BIOL","3060","Jun","11","2012","4.0","2.0"
"Colin","Steel"," BIOL","3060","Apr","17","2012","4.5","3.0"
"Colin","Steel"," A","3060","Feb","13","2011","2.0","4.0"
"Colin","Steel"," BIOL","3060","Dec","25","2010","1.0","5.0"
"Colin","Steel"," BIOL","3060","Dec","27","2009","2.5","3.0"
"Colin","Steel"," ANML","1","Nov","17","2009","3.0","5.0"
"Colin","Steel"," BIO","4310","Feb","20","2008","1.0","5.0"
"Colin","Steel"," BIOL","3060","Jan","4","2008","4.5","3.0"
"Colin","Steel"," BIOL","3060","Nov","30","2007","3.5","4.0"
"Colin","Steel"," OTHE",NA,"Jun","28","2006","1.0","3.0"
"Colin","Steel"," ANIM",NA,"Aug","31","2005","1.0","3.0"
"Colin","Steel"," TIME",NA,"Aug","18","2005","4.0","3.0"
"Colin","Steel"," BIOL","3060","Feb","21","2005","3.5","2.0"
"Colin","Steel"," BIOL","3060","May","10","2004","1.5","5.0"
"Colin","Steel"," BIOL","4310","Aug","7","2003","1.5","2.0"
"Colin","Steel"," TIME",NA,"May","27","2003","4.0","2.0"
"Colin","Steel"," BIO","4310","Apr","12","2003","1.5","4.0"
"Colin","Steel"," ANML",NA,"Mar","20","2003","2.0","5.0"
"Colin","Steel"," BIO","4310","Mar","3","2003","2.5","5.0"
"Colin","Steel"," 3060",NA,"Jan","24","2003","4.0","2.0"
"Colin","Steel"," 3060",NA,"Jan","22","2003","2.0","5.0"
"Colin","Steel"," 3060",NA,"Jan","13","2003","2.0","4.0"
"Colin","Steel"," 4310",NA,"Sep","5","2002","3.0","3.0"
"Colin","Steel"," BIO","3060","Aug","12","2002","5.0","1.0"
"Colin","Steel"," NATS","1610","Jun","5","2001","3.5","2.0"
