"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"David","Johnson"," PHIL","3280","Dec","15","2009","3.0","4.0"
"David","Johnson"," PHIL","2090","Jun","17","2009","1.5","2.0"
"David","Johnson"," PHIL","3280","Feb","12","2009","4.0","2.0"
"David","Johnson"," PHIL","2090","Jan","3","2008","4.5","2.0"
"David","Johnson"," PHIL","3","Dec","13","2007","1.5","3.0"
"David","Johnson"," PHIL","2080","Nov","9","2007","4.5","2.0"
"David","Johnson"," PHIL","3280","Aug","31","2007","1.0","5.0"
"David","Johnson"," PHIL",NA,"Nov","14","2005","1.0","5.0"
"David","Johnson"," PHIL","2090","Nov","2","2005","5.0","1.0"
"David","Johnson"," PHIL","2090","Oct","3","2005","5.0","3.0"
"David","Johnson"," PHIL","2090","Apr","25","2005","3.5","3.0"
"David","Johnson"," PHIL","2090","Mar","25","2005","3.0","4.0"
"David","Johnson"," PHIL","2090","Mar","19","2005","4.0","3.0"
"David","Johnson"," PHIL","2090","Feb","7","2005","2.0","3.0"
"David","Johnson"," PHIL",NA,"Jan","25","2005","2.5","4.0"
"David","Johnson"," COGS",NA,"Aug","25","2004","4.0","2.0"
"David","Johnson"," PHIL","2090","Aug","21","2004","4.0","3.0"
"David","Johnson"," PHIL","3280","Apr","6","2004","1.5","3.0"
"David","Johnson"," PHIL","2090","Apr","5","2004","3.5","3.0"
"David","Johnson"," PHIL","4090","Apr","4","2004","4.0","4.0"
"David","Johnson"," PHIL","2090","Mar","24","2004","2.0","3.0"
"David","Johnson"," PHIL","2270","Nov","22","2003","4.5","3.0"
"David","Johnson"," PHIL","2090","Sep","8","2003","1.5","3.0"
"David","Johnson"," PHIL","2090","Sep","6","2003","1.0","5.0"
"David","Johnson"," PHIL",NA,"Apr","15","2003","5.0","3.0"
"David","Johnson"," PHIL","2270","Feb","25","2003","2.0","2.0"
"David","Johnson"," 2090",NA,"Dec","18","2002","3.0","4.0"
"David","Johnson"," PHIL","2080","Dec","17","2002","2.0","3.0"
"David","Johnson"," PHIL","2090","Nov","20","2002","2.5","4.0"
"David","Johnson"," PHIL","2090","Jun","17","2002","1.0","5.0"
