"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Diane","Jurkowski"," ADMS","1010","Jul","17","2015","2.5","4.0"
"Diane","Jurkowski"," ADMS","1010","Jul","17","2015","2.0","4.0"
"Diane","Jurkowski"," ADMS","3930","May","12","2015","1.0","5.0"
"Diane","Jurkowski","ADMS","3930","Dec","20","2014","1.0","5.0"
"Diane","Jurkowski","ADMS","3930","Aug","26","2014","1.0","5.0"
"Diane","Jurkowski","ADMS","3930","Aug","13","2014","1.0","5.0"
"Diane","Jurkowski","ADMS","3930","Apr","7","2014","1.0","5.0"
"Diane","Jurkowski"," ADMS","3930","Apr","3","2014","1.0","5.0"
"Diane","Jurkowski","ADMS","3930","Jan","9","2014","1.0","5.0"
"Diane","Jurkowski"," ADMS","1010","Jan","2","2014","4.0","4.0"
"Diane","Jurkowski","ADMS","3930","Dec","10","2013","1.0","5.0"
"Diane","Jurkowski"," ADMS","1010","Sep","11","2013","1.5","5.0"
"Diane","Jurkowski","ADMS","3930","Apr","16","2013","1.0","5.0"
"Diane","Jurkowski"," ADMS","1010","Jan","13","2013","1.0","5.0"
"Diane","Jurkowski"," ADMS",NA,"Jan","9","2013","1.5","4.0"
"Diane","Jurkowski"," ADMS","2400","Jan","11","2012","3.0","1.0"
"Diane","Jurkowski"," ADMS","1010","Jan","5","2012","2.5","4.0"
"Diane","Jurkowski"," ADMS","2400","Dec","1","2011","1.0","5.0"
"Diane","Jurkowski"," ADMS","1010","Oct","31","2011","2.0","4.0"
"Diane","Jurkowski"," ADMS","1010","Oct","1","2011","4.5","3.0"
"Diane","Jurkowski"," ADMS","2400","Aug","25","2011","1.5","5.0"
"Diane","Jurkowski"," ADMS","1010","Aug","1","2011","1.0","5.0"
"Diane","Jurkowski"," ADMS","1010","May","8","2011","5.0","1.0"
"Diane","Jurkowski"," ADMS","1010","May","4","2011","4.0","2.0"
"Diane","Jurkowski"," ADMS","1010","May","4","2011","4.0","2.0"
"Diane","Jurkowski"," ADMS","1010","May","3","2011","1.0","5.0"
"Diane","Jurkowski"," ADMS","1010","Apr","28","2011","2.0","5.0"
"Diane","Jurkowski"," ADMS","1010","Apr","11","2011","1.0","5.0"
"Diane","Jurkowski"," ADMS","1010","Mar","3","2011","1.0","5.0"
"Diane","Jurkowski"," ADMS","1010","Jan","18","2011","1.0","4.0"
"Diane","Jurkowski"," ADMS","1010","Jan","15","2011","1.0","5.0"
"Diane","Jurkowski"," ADMS","1010","Jan","12","2011","1.0","5.0"
"Diane","Jurkowski"," ADSM","1010","Jan","4","2011","2.0","4.0"
"Diane","Jurkowski"," ADSM","1010","Jan","4","2011","2.0","4.0"
"Diane","Jurkowski"," ADMS","2400","Sep","13","2010","3.0","4.0"
"Diane","Jurkowski"," ADMS","1010","Jul","22","2010","2.5","4.0"
"Diane","Jurkowski"," WEHE",NA,"Jul","14","2010","1.0","5.0"
"Diane","Jurkowski"," ADMS","2400","May","20","2010","4.0","3.0"
"Diane","Jurkowski"," ADMS","2400","Apr","29","2010","1.5","5.0"
"Diane","Jurkowski"," ADMS","1010","Apr","29","2010","4.5","4.0"
"Diane","Jurkowski"," ADMS","1010","Apr","6","2010","2.0","4.0"
"Diane","Jurkowski"," ADMS",NA,"Feb","25","2010","1.5","5.0"
"Diane","Jurkowski"," ADMS","1000","Feb","18","2010","1.0","3.0"
"Diane","Jurkowski"," ADMS","1000","Feb","3","2010","1.0","5.0"
"Diane","Jurkowski"," ADMS","1010","Jan","13","2010","5.0","2.0"
"Diane","Jurkowski"," ADMS","2400","Jan","10","2010","2.0","4.0"
"Diane","Jurkowski"," ADMS","1010","Dec","6","2009","2.0","4.0"
"Diane","Jurkowski"," ADMS","1010","Nov","27","2009","1.5","5.0"
"Diane","Jurkowski"," ADMS","1010","Sep","25","2009","2.0","5.0"
"Diane","Jurkowski"," ADMS","1010","Sep","8","2009","1.0","5.0"
"Diane","Jurkowski"," ADMS","1010","Sep","2","2009","4.0","4.0"
"Diane","Jurkowski"," ADMS","1000","Aug","14","2009","1.0","5.0"
"Diane","Jurkowski"," ADMS","1010","Aug","8","2009","2.5","5.0"
"Diane","Jurkowski"," ADMS","1000","Aug","2","2009","1.5","4.0"
"Diane","Jurkowski"," ADMS","1010","Jul","31","2009","4.5","3.0"
"Diane","Jurkowski"," ADMS","1010","Jul","25","2009","3.0","3.0"
"Diane","Jurkowski"," ADMS","1010","Jun","11","2009","2.0","1.0"
"Diane","Jurkowski"," ADMS","1000","May","22","2009","1.0","5.0"
"Diane","Jurkowski"," ADMS","2400","Mar","21","2009","1.5","5.0"
"Diane","Jurkowski"," ADMS","1000","Feb","4","2009","1.0","5.0"
"Diane","Jurkowski"," ADMS","1010","Jan","17","2009","1.0","5.0"
"Diane","Jurkowski"," ADMS","100","Sep","16","2008","1.0","5.0"
"Diane","Jurkowski"," ADMS","1010","Aug","3","2008","1.5","5.0"
"Diane","Jurkowski"," ADMS","1000","Jul","9","2008","1.0","5.0"
"Diane","Jurkowski"," ADMS","2400","Jun","15","2008","1.0","5.0"
"Diane","Jurkowski"," ADMS","1010","Jun","5","2008","1.0","5.0"
"Diane","Jurkowski"," ADMN","1010","Jun","1","2008","1.0","5.0"
"Diane","Jurkowski"," ADMS","1010","May","27","2008","4.0","2.0"
"Diane","Jurkowski"," ADMS","2400","May","15","2008","2.0","5.0"
"Diane","Jurkowski"," ADMS","1010","May","1","2008","1.0","5.0"
"Diane","Jurkowski"," ADMS","1010","Apr","21","2008","3.5","1.0"
"Diane","Jurkowski"," ADMS","2400","Apr","19","2008","1.0","5.0"
"Diane","Jurkowski"," ADMS","1010","Mar","19","2008","1.0","5.0"
"Diane","Jurkowski"," ADMS","1010","Mar","4","2008","1.0","5.0"
"Diane","Jurkowski"," ADMS","1010","Jan","3","2008","3.0","3.0"
"Diane","Jurkowski"," ADMS","1010","Dec","9","2007","1.0","5.0"
"Diane","Jurkowski"," ADMS","2400","Dec","7","2007","1.0","5.0"
"Diane","Jurkowski"," ADMS","1010","Dec","6","2007","1.0","5.0"
"Diane","Jurkowski"," ADMS","1010","Nov","28","2007","3.0","5.0"
"Diane","Jurkowski"," ADMS","1010","Nov","28","2007","3.0","5.0"
"Diane","Jurkowski"," ADMS","1010","Nov","21","2007","1.0","5.0"
"Diane","Jurkowski"," ADMS","2400","Nov","19","2007","1.0","5.0"
"Diane","Jurkowski"," ADMA","1010","Oct","19","2007","1.0","5.0"
"Diane","Jurkowski"," ADMI","1010","Oct","7","2007","2.0","5.0"
"Diane","Jurkowski"," ADMS","1010","Sep","4","2007","1.5","5.0"
"Diane","Jurkowski"," ADMS","2400","Jun","14","2007","1.0","5.0"
"Diane","Jurkowski"," ADMS","2400","May","29","2007","1.0","5.0"
"Diane","Jurkowski"," ADMS",NA,"May","18","2007","2.5","5.0"
"Diane","Jurkowski"," ADMS","1010","Apr","14","2007","4.5","5.0"
"Diane","Jurkowski"," ADMS",NA,"Mar","8","2007","1.0","5.0"
