"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Doba","Goodman"," PSYC","2020","Jun","13","2012","4.0","3.0"
"Doba","Goodman"," PSYC","2020","May","7","2012","4.0","2.0"
"Doba","Goodman"," PSYC","2020","Apr","16","2012","5.0","2.0"
"Doba","Goodman"," STAT",NA,"Mar","19","2012","3.0","2.0"
"Doba","Goodman"," PSYC","2020","Jan","21","2012","4.0","3.0"
"Doba","Goodman"," PSYC","2020","Jan","18","2011","3.0","4.0"
"Doba","Goodman"," PSYC","2020","Nov","11","2010","3.5","3.0"
"Doba","Goodman"," PSYC","2020","Aug","7","2010","4.0","1.0"
"Doba","Goodman"," PSYC","2030","Jun","20","2010","5.0","2.0"
"Doba","Goodman"," PSYC","2020","Jan","3","2010","2.0","5.0"
"Doba","Goodman"," STAT","2030","Nov","10","2009","5.0","1.0"
"Doba","Goodman"," STAT","2020","Jul","20","2009","5.0","3.0"
"Doba","Goodman"," PSYC",NA,"Feb","1","2009","1.0","1.0"
"Doba","Goodman"," STAT","2020","Jul","14","2008","5.0","1.0"
"Doba","Goodman"," PSYC","2020","May","6","2008","5.0","2.0"
"Doba","Goodman"," PSYC","2020","Apr","25","2008","3.0","2.0"
"Doba","Goodman"," STAT","2020","Oct","22","2007","3.0","3.0"
"Doba","Goodman"," PSYC","4170","Jun","3","2007","5.0","3.0"
"Doba","Goodman"," STAT","2020","May","30","2007","4.5","2.0"
"Doba","Goodman"," STAT","4170","Apr","5","2007","5.0","2.0"
"Doba","Goodman"," PSY","2020","Dec","1","2006","5.0","3.0"
"Doba","Goodman"," PSYC","4170","Nov","29","2006","4.0","3.0"
"Doba","Goodman"," PSYC","2020","Oct","13","2006","5.0","3.0"
"Doba","Goodman"," STAT","2020","Sep","12","2006","4.5","3.0"
"Doba","Goodman"," PSYC","2020","Jul","18","2006","5.0","2.0"
"Doba","Goodman"," PSYC","4170","Apr","9","2006","4.0","2.0"
"Doba","Goodman"," 2020",NA,"Mar","20","2006","1.5","4.0"
"Doba","Goodman"," PSYC","2020","Jan","9","2006","1.0","5.0"
"Doba","Goodman"," PSYC","2020","Sep","7","2005","1.0","4.0"
"Doba","Goodman"," 2020",NA,"Jul","17","2005","2.0","5.0"
"Doba","Goodman"," STAT",NA,"Jun","15","2005","1.5","4.0"
"Doba","Goodman"," PSYC","2020","May","23","2005","1.5","3.0"
"Doba","Goodman"," PSYC","2020","May","2","2005","5.0","3.0"
"Doba","Goodman"," STAT",NA,"Apr","19","2005","1.0","5.0"
"Doba","Goodman"," STAT",NA,"Apr","7","2005","4.5","3.0"
"Doba","Goodman"," THES",NA,"Mar","27","2005","5.0","1.0"
"Doba","Goodman"," STAT",NA,"Jan","17","2005","5.0","3.0"
"Doba","Goodman"," PSYC","2020","Jan","13","2005","5.0","3.0"
"Doba","Goodman"," 2020",NA,"Jan","11","2005","4.0","3.0"
"Doba","Goodman"," PSYC","2020","Jan","6","2005","2.5","3.0"
"Doba","Goodman"," PSYC",NA,"Nov","6","2004","3.0","3.0"
"Doba","Goodman"," PSYC","2020","Nov","3","2004","1.0","5.0"
"Doba","Goodman"," STAT",NA,"Oct","2","2004","5.0","2.0"
"Doba","Goodman"," PSYC","2022","Aug","6","2004","4.0","3.0"
"Doba","Goodman"," 4170",NA,"Jul","19","2004","2.5","3.0"
"Doba","Goodman"," STAT",NA,"May","18","2004","1.0","5.0"
"Doba","Goodman"," 2020",NA,"May","1","2004","4.5","4.0"
"Doba","Goodman"," PSYC","2020","Apr","4","2004","4.5","3.0"
"Doba","Goodman"," PSYC","2020","Apr","3","2004","3.5","2.0"
"Doba","Goodman"," 4170",NA,"Mar","26","2004","4.5","3.0"
"Doba","Goodman"," PSYC","4100","Feb","11","2004","4.0","3.0"
"Doba","Goodman"," STAT",NA,"Nov","27","2003","5.0","2.0"
"Doba","Goodman"," 2020",NA,"Feb","7","2003","2.5","3.0"
"Doba","Goodman"," STAT",NA,"Jan","31","2003","5.0","2.0"
"Doba","Goodman"," DEVP",NA,"Dec","30","2002","2.0","4.0"
"Doba","Goodman"," PSYC","2020","Dec","17","2002","5.0","3.0"
"Doba","Goodman"," PSYC","2020","Dec","17","2002","4.5","4.0"
"Doba","Goodman"," PSYC","2020","Dec","13","2002","5.0","3.0"
"Doba","Goodman"," STAT",NA,"Dec","12","2002","1.0","5.0"
"Doba","Goodman"," PSYC","2021","Sep","25","2002","3.0","3.0"
"Doba","Goodman"," PSY","2021","Jun","8","2002","2.0","5.0"
"Doba","Goodman"," PSY","2021","Apr","17","2002","3.5","2.0"
"Doba","Goodman"," PSYC","2020","Apr","9","2002","2.0","3.0"
"Doba","Goodman"," PSYC","2021","Apr","8","2002","1.5","3.0"
"Doba","Goodman"," PSYC","2020","Mar","17","2002","1.5","5.0"
"Doba","Goodman"," PSYC","2021","Feb","9","2002","4.0","2.0"
