"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Donald","Hastie"," CHEM","1001","May","27","2018","2.0","3.0"
"Donald","Hastie"," CHEM","1001","May","23","2018","3.0","4.0"
"Donald","Hastie"," CHEM","1001","May","10","2018","1.0","4.0"
"Donald","Hastie"," CHEM","1001","Apr","28","2018","1.0","5.0"
"Donald","Hastie"," CHEM","1000","Apr","10","2017","3.0","3.0"
"Donald","Hastie"," CHEM","1000","Jan","24","2017","1.0","5.0"
"Donald","Hastie"," CHEM","1000","Jan","12","2017","3.0","3.0"
"Donald","Hastie"," CHEM","1000","Jan","6","2017","5.0","2.0"
"Donald","Hastie"," CHEM","1000","Jan","3","2017","5.0","3.0"
"Donald","Hastie"," CHEM","1000","Jan","3","2017","3.0","4.0"
"Donald","Hastie"," CHEM","1000","Dec","21","2016","1.0","3.0"
"Donald","Hastie"," CHEM","1000","Dec","14","2016","5.0","2.0"
"Donald","Hastie"," CHEM","1000","Aug","16","2013","3.0","3.0"
"Donald","Hastie"," CHEM","1001","Dec","24","2011","3.0","5.0"
"Donald","Hastie"," CHEM",NA,"Mar","18","2011","5.0","1.0"
"Donald","Hastie"," CHEM","1001","Mar","17","2011","2.0","4.0"
"Donald","Hastie"," CHEM","1000","Feb","1","2011","2.0","3.0"
"Donald","Hastie"," CHEM","1000","Jan","14","2011","4.0","3.0"
"Donald","Hastie"," CHEM","1000","Jan","4","2011","1.5","5.0"
"Donald","Hastie"," CHEM","1000","Dec","9","2010","1.0","5.0"
"Donald","Hastie"," CHEM","1000","Nov","26","2010","3.5","5.0"
"Donald","Hastie"," CHEM","1000","Nov","12","2010","2.5","4.0"
"Donald","Hastie"," CHEM","1000","Nov","4","2010","4.5","1.0"
"Donald","Hastie"," NATS","1780","Apr","14","2010","1.0","5.0"
"Donald","Hastie"," CHEM","1000","Apr","5","2010","1.5","5.0"
"Donald","Hastie"," CHEM","1000","Apr","1","2010","1.5","5.0"
"Donald","Hastie"," CHEM","1001","Apr","1","2010","3.0","3.0"
"Donald","Hastie"," CHEM","1000","Mar","15","2010","1.0","5.0"
"Donald","Hastie"," CHEM","1000","Feb","20","2010","4.0","2.0"
"Donald","Hastie"," CHEM","1000","Feb","7","2010","3.0","4.0"
"Donald","Hastie"," NATS","1780","Jan","30","2010","3.0","2.0"
"Donald","Hastie"," CHEM","1000","Jan","27","2010","2.0","5.0"
"Donald","Hastie"," CHEM","1000","Jan","3","2010","3.0","3.0"
"Donald","Hastie"," CHEM","1000","Nov","20","2009","4.0","3.0"
"Donald","Hastie"," CHEM","1000","Nov","13","2009","1.5","4.0"
"Donald","Hastie"," CHEM","1000","Oct","28","2009","1.5","5.0"
"Donald","Hastie"," CHEM","1000","Sep","20","2009","5.0","2.0"
"Donald","Hastie"," CHEM","1001","Sep","7","2009","5.0","1.0"
"Donald","Hastie"," CHEM","1001","Apr","21","2009","5.0","3.0"
"Donald","Hastie"," CHEM","1001","Feb","26","2009","5.0","3.0"
"Donald","Hastie"," CHEM","1001","Aug","26","2008","2.0","3.0"
"Donald","Hastie"," CHEM","1001","Aug","4","2008","4.5","2.0"
"Donald","Hastie"," CHEM","1001","Jul","26","2008","1.5","2.0"
"Donald","Hastie"," CHEM",NA,"Jun","8","2008","5.0","3.0"
"Donald","Hastie"," CHEM","1001","May","21","2008","5.0","1.0"
"Donald","Hastie"," CHEM","1001","May","6","2008","5.0","2.0"
"Donald","Hastie"," CHEM","1001","Apr","13","2008","5.0","2.0"
"Donald","Hastie"," CHEM","2080","Mar","23","2008","2.5","3.0"
"Donald","Hastie"," CHEM",NA,"Feb","15","2008","2.5","5.0"
"Donald","Hastie"," CHEM","1001","Nov","28","2007","5.0","1.0"
"Donald","Hastie"," CHEM","1001","Nov","27","2007","5.0","1.0"
"Donald","Hastie"," CHEM","1001","Nov","27","2007","5.0","1.0"
"Donald","Hastie"," CHEM","1001","Nov","27","2007","5.0","1.0"
"Donald","Hastie"," CHEM","1001","Nov","27","2007","5.0","1.0"
"Donald","Hastie"," CHEM","1001","Jun","28","2007","4.5","3.0"
"Donald","Hastie"," CHEM","2080","Oct","23","2006","2.5","4.0"
"Donald","Hastie"," CHEM","1000","Aug","14","2006","5.0","2.0"
"Donald","Hastie"," CHEM","1000","Aug","2","2006","1.0","5.0"
"Donald","Hastie"," CHEM","1000","May","25","2006","1.0","5.0"
"Donald","Hastie"," CHEM","1000","May","10","2006","1.0","5.0"
"Donald","Hastie"," CHEM","1000","May","3","2006","3.0","4.0"
"Donald","Hastie"," 1000","CHEM","May","1","2006","1.5","4.0"
"Donald","Hastie"," CHEM","1000","Apr","14","2006","4.5","2.0"
"Donald","Hastie"," CHEM","1000","Mar","6","2006","1.0","3.0"
"Donald","Hastie"," CHEM",NA,"Dec","25","2005","3.0","4.0"
"Donald","Hastie"," CHEM","1000","Dec","13","2005","1.0","5.0"
"Donald","Hastie"," CHEM","1000","Dec","5","2005","1.0","5.0"
"Donald","Hastie"," 1000",NA,"Nov","20","2005","1.0","5.0"
"Donald","Hastie"," 1000","CHEM","Nov","14","2005","1.0","3.0"
"Donald","Hastie"," CHEM","1000","Oct","28","2005","1.0","5.0"
"Donald","Hastie"," CHEM","1000","Jun","30","2005","4.0","5.0"
"Donald","Hastie"," CHEM","1000","Jun","22","2005","4.0","4.0"
"Donald","Hastie"," CHEM","1000","Jun","20","2005","4.0","3.0"
"Donald","Hastie"," CHEM",NA,"Jun","15","2005","1.0","5.0"
"Donald","Hastie"," CHEM","1000","Jun","9","2005","3.0","5.0"
"Donald","Hastie"," CHEM","1000","Jun","2","2005","5.0","2.0"
"Donald","Hastie"," CHEM",NA,"May","14","2005","1.0","5.0"
"Donald","Hastie"," CHEM","1000","May","3","2005","1.0","5.0"
"Donald","Hastie"," CHEM","1000","Apr","18","2005","1.0","5.0"
"Donald","Hastie"," CHEM","1000","Apr","1","2005","3.5","3.0"
"Donald","Hastie"," CHEM","1000","Jan","26","2005","5.0","2.0"
"Donald","Hastie"," CHEM","1000","Jan","25","2005","4.0","2.0"
"Donald","Hastie"," CHEM","1000","Jan","15","2005","4.0","5.0"
"Donald","Hastie"," CHEM","1000","Jan","12","2005","4.0","4.0"
"Donald","Hastie"," CHEM","1000","Jan","11","2005","1.5","5.0"
"Donald","Hastie"," CHEM","1000","Jan","5","2005","1.5","5.0"
"Donald","Hastie"," CHEM","1000","Jan","5","2005","2.5","1.0"
"Donald","Hastie"," CHEM","1000","Jan","2","2005","3.5","5.0"
"Donald","Hastie"," CHEM","1000","Dec","27","2004","5.0","1.0"
"Donald","Hastie"," CHEM","1000","Dec","24","2004","4.0","3.0"
"Donald","Hastie"," CHEM","1000","Dec","12","2004","4.5","3.0"
"Donald","Hastie"," CHEM","1000","Dec","5","2004","3.5","3.0"
"Donald","Hastie"," CHEM","1000","Nov","23","2004","5.0","2.0"
"Donald","Hastie"," CHEM","1000","Nov","21","2004","1.0","5.0"
"Donald","Hastie"," CHEM","1000","Nov","18","2004","4.0","5.0"
"Donald","Hastie"," CHEM","1000","Nov","17","2004","1.0","5.0"
"Donald","Hastie"," CHEM","1000","Nov","14","2004","5.0","1.0"
"Donald","Hastie"," CHEM","1000","Oct","23","2004","4.0","3.0"
"Donald","Hastie"," CHEM","1000","Oct","19","2004","1.5","4.0"
"Donald","Hastie"," CHEM","1000","Oct","10","2004","5.0","4.0"
"Donald","Hastie"," BIOL","1010","Oct","5","2004","1.0","4.0"
"Donald","Hastie"," CHEM","1000","Oct","2","2004","5.0","3.0"
"Donald","Hastie"," CHEM","1000","Oct","2","2004","4.5","3.0"
"Donald","Hastie"," CHEM","1000","Oct","1","2004","5.0","3.0"
"Donald","Hastie"," 1000",NA,"Sep","30","2004","5.0","4.0"
"Donald","Hastie"," 1000",NA,"Aug","10","2004","4.0","4.0"
"Donald","Hastie"," CHEM","1000","Jun","22","2004","4.5","5.0"
"Donald","Hastie"," CHEM","1000","May","3","2004","3.0","5.0"
"Donald","Hastie"," NATS","1780","Apr","16","2004","5.0","2.0"
"Donald","Hastie"," CHEM","1000","Mar","27","2004","4.0","3.0"
"Donald","Hastie"," CHEM","1000","Mar","3","2004","3.5","5.0"
"Donald","Hastie"," NATS","1780","Feb","10","2004","3.5","1.0"
"Donald","Hastie"," NATS","1780","Dec","11","2003","5.0","1.0"
"Donald","Hastie"," CHEM","1000","Nov","30","2003","4.0","4.0"
"Donald","Hastie"," CHEM","1000","Nov","10","2003","5.0","3.0"
"Donald","Hastie"," CHEM","1000","Nov","2","2003","4.5","3.0"
"Donald","Hastie"," NATS","1790","Oct","28","2003","4.0","3.0"
"Donald","Hastie"," NATS","1780","Oct","7","2003","5.0","2.0"
"Donald","Hastie"," CHEM","1000","Sep","17","2003","5.0","2.0"
"Donald","Hastie"," CHEM","1000","Sep","6","2003","5.0","1.0"
"Donald","Hastie"," CHEM","1000","Aug","24","2003","2.5","5.0"
"Donald","Hastie"," NATS","1780","Aug","11","2003","4.0","3.0"
"Donald","Hastie"," CHEM","1000","Jul","9","2003","3.5","3.0"
"Donald","Hastie"," 1000",NA,"Jul","7","2003","5.0","1.0"
"Donald","Hastie"," NATS","1780","Jun","19","2003","4.0","3.0"
"Donald","Hastie"," NATS","1780","Jun","10","2003","5.0","1.0"
"Donald","Hastie"," CHEM","1000","May","12","2003","4.0","3.0"
"Donald","Hastie"," NATS","1780","May","5","2003","5.0","2.0"
"Donald","Hastie"," CHEM","1000","Apr","20","2003","3.0","3.0"
"Donald","Hastie"," CHEM","1000","Apr","12","2003","4.0","3.0"
"Donald","Hastie"," CHEM","1000","Apr","11","2003","4.5","2.0"
"Donald","Hastie"," NATS","1780","Mar","26","2003","5.0","3.0"
"Donald","Hastie"," NATS","1780","Jan","10","2003","4.0","3.0"
"Donald","Hastie"," CHEM","1000","Jan","10","2003","4.0","3.0"
"Donald","Hastie"," CHEM","100","Dec","19","2002","4.0","2.0"
"Donald","Hastie"," CHEM","1000","Dec","19","2002","5.0","2.0"
"Donald","Hastie"," CHEM","1000","Dec","19","2002","2.5","3.0"
"Donald","Hastie"," NATS","1780","Dec","10","2002","5.0","2.0"
"Donald","Hastie"," CHEM","1000","Dec","8","2002","5.0","4.0"
"Donald","Hastie"," CHEM","1000","Dec","3","2002","4.5","3.0"
"Donald","Hastie"," CHEM","1000","Nov","22","2002","3.0","5.0"
"Donald","Hastie"," CHEM","1000","Nov","17","2002","3.0","3.0"
"Donald","Hastie"," CHEM","1000","Oct","25","2002","4.0","4.0"
"Donald","Hastie"," CHEM","1000","Oct","22","2002","3.5","4.0"
"Donald","Hastie"," CHEM","1000","May","6","2002","4.5","3.0"
"Donald","Hastie"," CHEM","1000","May","6","2002","4.0","2.0"
"Donald","Hastie"," CHEM","1000","May","6","2002","4.0","2.0"
"Donald","Hastie"," CHEM","1000","May","6","2002","5.0","3.0"
"Donald","Hastie"," NATS","1780","Apr","26","2002","4.0","4.0"
"Donald","Hastie"," 1000",NA,"Apr","3","2002","3.0","4.0"
"Donald","Hastie"," CHEM","1000","Mar","16","2002","5.0","2.0"
"Donald","Hastie"," CHEM","1000","Feb","26","2002","4.5","3.0"
"Donald","Hastie"," CHEM","3450","Feb","18","2002","3.0","2.0"
"Donald","Hastie"," CHEM","1000","Jan","25","2002","4.5","4.0"
"Donald","Hastie"," CHEM","1000","Jan","1","2002","4.0","3.0"
