"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Dorathy","Moore"," SOSC","1210","Apr","18","2011","5.0","1.0"
"Dorathy","Moore"," SOSC","1210","Jan","11","2011","2.5","5.0"
"Dorathy","Moore"," SOSC","1210","Jun","16","2010","4.0","2.0"
"Dorathy","Moore"," SOSC","1210","Apr","29","2010","1.5","4.0"
"Dorathy","Moore"," SOSC","1210","Sep","11","2009","5.0","4.0"
"Dorathy","Moore"," SOSC","1210","Aug","12","2009","4.0","3.0"
"Dorathy","Moore"," SOSC","1210","Jun","3","2009","1.0","5.0"
"Dorathy","Moore"," SOSC","1210","Mar","19","2009","1.0","5.0"
"Dorathy","Moore"," SOSC","1210","Jan","20","2009","4.0","5.0"
"Dorathy","Moore"," SOSC","1210","Sep","8","2008","4.0","4.0"
"Dorathy","Moore"," SOSC","1210","Aug","15","2008","5.0","2.0"
"Dorathy","Moore"," SOSC","1210","Jul","21","2008","2.5","5.0"
"Dorathy","Moore"," SOSC","1210","Jul","6","2008","4.5","3.0"
"Dorathy","Moore"," SOSC","1210","Apr","18","2008","4.5","2.0"
"Dorathy","Moore"," SOSC","1210","Mar","25","2008","5.0","2.0"
"Dorathy","Moore"," SOSC","1210","Mar","2","2008","4.0","2.0"
"Dorathy","Moore"," SOSC","1210","Jul","26","2007","1.0","5.0"
"Dorathy","Moore"," SOSC","1210","May","16","2007","3.5","2.0"
"Dorathy","Moore"," SOSC","1210","Feb","14","2007","4.5","4.0"
"Dorathy","Moore"," SOSC","1210","Feb","5","2007","4.5","2.0"
"Dorathy","Moore"," SOSC","1210","Jan","4","2007","3.0","4.0"
"Dorathy","Moore"," SOSC","1210","Nov","8","2006","5.0","2.0"
"Dorathy","Moore"," SOSC","1210","Jun","20","2006","2.0","3.0"
"Dorathy","Moore"," SOSC","1210","Apr","21","2006","5.0","4.0"
"Dorathy","Moore"," 1210",NA,"Apr","3","2006","5.0","1.0"
"Dorathy","Moore"," FAMI",NA,"Mar","6","2006","2.0","4.0"
"Dorathy","Moore"," 1210",NA,"Jan","14","2006","3.5","3.0"
"Dorathy","Moore"," LAWS","4","Dec","7","2005","4.5","2.0"
"Dorathy","Moore"," SOSC","1210","Oct","17","2005","1.5","5.0"
"Dorathy","Moore"," SOSC","1210","Jun","20","2005","4.0","3.0"
"Dorathy","Moore"," SOSC","1210","Apr","5","2005","2.5","4.0"
"Dorathy","Moore"," SOSC","1210","Apr","4","2005","3.0","3.0"
"Dorathy","Moore"," SOSC","1210","Mar","23","2005","1.0","5.0"
"Dorathy","Moore"," SOSC","3991","Mar","23","2005","2.5","4.0"
"Dorathy","Moore"," 3150",NA,"Feb","15","2005","1.5","5.0"
"Dorathy","Moore"," SOSC","1210","Jan","26","2005","2.0","4.0"
"Dorathy","Moore"," LAWA",NA,"Jan","25","2005","1.0","5.0"
"Dorathy","Moore"," LAWS",NA,"Jan","24","2005","1.0","5.0"
"Dorathy","Moore"," SOSC","1210","Jan","12","2005","3.0","3.0"
"Dorathy","Moore"," SOSC","1210","Jan","3","2005","4.5","3.0"
"Dorathy","Moore"," SOSC","1210","Nov","23","2004","1.5","5.0"
"Dorathy","Moore"," SOSC","1210","Nov","19","2004","3.5","4.0"
"Dorathy","Moore"," HUMR",NA,"Sep","18","2004","1.5","4.0"
"Dorathy","Moore"," SOSC","1210","Sep","14","2004","2.0","4.0"
"Dorathy","Moore"," SOSC","1220","Sep","9","2004","4.0","3.0"
"Dorathy","Moore"," SOSC",NA,"Jun","22","2004","5.0","3.0"
"Dorathy","Moore"," SOCS","1210","Jun","2","2004","5.0","3.0"
"Dorathy","Moore"," SOCI",NA,"May","29","2004","1.0","5.0"
"Dorathy","Moore"," 1210",NA,"May","28","2004","4.0","2.0"
"Dorathy","Moore"," SOSC","1210","May","27","2004","3.5","5.0"
"Dorathy","Moore"," 1210",NA,"May","26","2004","1.0","5.0"
"Dorathy","Moore"," SC","1210","May","25","2004","5.0","3.0"
"Dorathy","Moore"," SOSC","1210","Apr","6","2004","4.0","4.0"
"Dorathy","Moore"," SOSC","1210","Mar","28","2004","2.0","5.0"
"Dorathy","Moore"," 1210",NA,"Mar","26","2004","5.0","2.0"
"Dorathy","Moore"," 1210",NA,"Mar","22","2004","5.0","3.0"
"Dorathy","Moore"," SOSC","1210","Feb","21","2004","5.0","3.0"
"Dorathy","Moore"," SOSC","1210","Feb","13","2004","3.0","5.0"
"Dorathy","Moore"," SOSC","4350","Feb","13","2004","1.5","2.0"
"Dorathy","Moore"," SOSC","1210","Nov","14","2003","2.5","4.0"
"Dorathy","Moore"," SOSC","1210","Oct","28","2003","1.0","3.0"
"Dorathy","Moore"," SOSC","1010","Sep","15","2003","1.0","5.0"
"Dorathy","Moore"," SOSC","1210","Sep","8","2003","1.0","5.0"
