"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Eli","Brettler"," MATH","1190","Apr","14","2016","3.5","1.0"
"Eli","Brettler"," MATH","1190","Apr","14","2016","3.5","1.0"
"Eli","Brettler"," MATH","1019","Feb","1","2016","1.0","5.0"
"Eli","Brettler"," MATH","1200","Jul","28","2015","4.5","3.0"
"Eli","Brettler"," MATH","1550","May","23","2015","1.5","5.0"
"Eli","Brettler"," MATH","1090","Apr","20","2014","4.0","3.0"
"Eli","Brettler"," MATH","2030","Dec","25","2013","5.0","1.0"
"Eli","Brettler"," MAT","1510","Aug","16","2013","5.0","3.0"
"Eli","Brettler"," MAT","1510","Aug","16","2013","5.0","3.0"
"Eli","Brettler"," MATH","1510","Jun","13","2013","5.0","4.0"
"Eli","Brettler"," MATH","2030","Jul","31","2012","4.0","2.0"
"Eli","Brettler"," MATH","2030","Mar","23","2012","5.0","2.0"
"Eli","Brettler"," MATH","2030","Mar","18","2012","4.0","5.0"
"Eli","Brettler"," MATH","1200","Mar","18","2012","5.0","4.0"
"Eli","Brettler"," MATH","1510","Aug","31","2011","3.0","4.0"
"Eli","Brettler"," MATH","1510","Jul","25","2011","3.0","3.0"
"Eli","Brettler"," MATH","1505","Jul","10","2011","4.0","4.0"
"Eli","Brettler"," MATH","1200","Mar","23","2011","5.0","3.0"
"Eli","Brettler"," MATH","1090","Jan","14","2011","5.0","4.0"
"Eli","Brettler"," MATH","2222","Apr","21","2008","5.0","4.0"
"Eli","Brettler"," MATH","2222","Jan","15","2008","5.0","4.0"
"Eli","Brettler"," MATH","3204","Jun","11","2007","4.5","3.0"
"Eli","Brettler"," MATH","1030","Feb","13","2007","1.0","5.0"
"Eli","Brettler"," MATH","3110","Dec","19","2006","1.0","3.0"
"Eli","Brettler"," MATH","1025","May","25","2006","3.5","2.0"
"Eli","Brettler"," MATH","1014","Apr","11","2006","3.5","3.0"
"Eli","Brettler"," MATH","1025","Jan","28","2006","4.0","2.0"
"Eli","Brettler"," 3110",NA,"Oct","26","2005","1.0","5.0"
"Eli","Brettler"," SETS",NA,"Sep","5","2005","4.5","3.0"
"Eli","Brettler"," COSC","1019","May","1","2005","2.5","5.0"
"Eli","Brettler"," MATH","2310","Apr","9","2005","1.5","3.0"
"Eli","Brettler"," MATH","3110","Mar","26","2005","2.0","3.0"
"Eli","Brettler"," MATH","1019","Jan","12","2005","1.5","5.0"
"Eli","Brettler"," 1019",NA,"Jan","4","2005","1.0","5.0"
"Eli","Brettler"," COSC","1019","Jan","3","2005","1.0","2.0"
"Eli","Brettler"," MATH","3110","Dec","21","2004","3.0","3.0"
"Eli","Brettler"," MATH","3110","Dec","2","2004","2.5","5.0"
"Eli","Brettler"," MATH","2090","Aug","25","2004","4.5","3.0"
"Eli","Brettler"," MATH","1090","Jul","21","2004","2.5","4.0"
"Eli","Brettler"," MATH","3210","Apr","20","2004","1.0","4.0"
"Eli","Brettler"," 1090",NA,"Apr","14","2004","2.0","5.0"
"Eli","Brettler"," 2090",NA,"Mar","31","2004","1.0","5.0"
"Eli","Brettler"," BC","1800","Mar","18","2004","1.5","1.0"
"Eli","Brettler"," 2090",NA,"Mar","5","2004","1.5","5.0"
"Eli","Brettler"," 1090",NA,"Feb","14","2004","5.0","2.0"
"Eli","Brettler"," 1090",NA,"Dec","6","2003","5.0","3.0"
"Eli","Brettler"," MATH",NA,"Sep","25","2003","1.0","5.0"
"Eli","Brettler"," MATH",NA,"Aug","2","2003","1.0","5.0"
"Eli","Brettler"," MATH","3210","Jul","25","2003","4.5","5.0"
"Eli","Brettler"," MATH",NA,"Jun","3","2003","1.0","5.0"
"Eli","Brettler"," MATH","2090","May","6","2003","2.5","5.0"
"Eli","Brettler"," 2090",NA,"Apr","27","2003","1.0","5.0"
"Eli","Brettler"," MATH",NA,"Apr","24","2003","1.0","5.0"
"Eli","Brettler"," MATH","1090","Apr","17","2003","1.5","4.0"
"Eli","Brettler"," MATH",NA,"Apr","9","2003","4.0","3.0"
"Eli","Brettler"," MATH",NA,"Apr","4","2003","4.0","2.0"
"Eli","Brettler"," 1090",NA,"Feb","22","2003","3.5","3.0"
"Eli","Brettler"," 2090",NA,"Feb","12","2003","1.0","5.0"
"Eli","Brettler"," MATH","3110","Jan","26","2003","1.5","5.0"
"Eli","Brettler"," MATH",NA,"Jan","17","2003","1.0","5.0"
"Eli","Brettler"," MATH","1090","Dec","20","2002","3.0","5.0"
"Eli","Brettler"," 1090",NA,"Dec","17","2002","2.0","3.0"
"Eli","Brettler"," MATH","1090","Dec","14","2002","3.0","5.0"
"Eli","Brettler"," 1090",NA,"Dec","8","2002","4.5","3.0"
"Eli","Brettler"," MATH","2090","Oct","29","2002","1.0","5.0"
"Eli","Brettler"," MATH","1090","Jul","11","2002","1.0","5.0"
"Eli","Brettler"," MATH","1030","Apr","9","2002","2.0","2.0"
"Eli","Brettler"," MATH","2090","Apr","4","2002","1.0","5.0"
"Eli","Brettler"," MATH","2090","Apr","3","2002","5.0","5.0"
"Eli","Brettler"," MATH","2090","Mar","28","2002","2.5","4.0"
"Eli","Brettler"," 1011",NA,"Mar","28","2002","1.5","3.0"
"Eli","Brettler"," 1010",NA,"Mar","11","2002","1.0","5.0"
"Eli","Brettler"," MATH","2320","Feb","8","2002","1.0","5.0"
"Eli","Brettler"," MATH","1090","Jan","25","2002","2.0","5.0"
"Eli","Brettler"," MATH","2320","Dec","6","2001","1.0","5.0"
"Eli","Brettler"," MATH","2320","Dec","6","2001","2.5","5.0"
"Eli","Brettler"," MATH","2090","Nov","22","2001","4.0","4.0"
"Eli","Brettler"," MATH","1090","Oct","2","2001","2.0","4.0"
"Eli","Brettler"," ITEC","1011","Sep","3","2001","4.0","1.0"
"Eli","Brettler"," MATH","1131","Aug","15","2001","4.5","3.0"
"Eli","Brettler"," 1310",NA,"Jul","6","2001","1.0","3.0"
"Eli","Brettler"," MATH","2090","Jul","5","2001","1.0","1.0"
"Eli","Brettler"," MATH","2090","Jul","5","2001","4.5","4.0"
"Eli","Brettler"," MATH","3170","Jul","2","2001","1.0","5.0"
"Eli","Brettler"," MATH","1090","May","15","2001","1.0","5.0"
