"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Elio","Costa"," 2761","HUMA","Aug","22","2017","5.0","4.0"
"Elio","Costa"," IT","300","Apr","13","2013","1.5","5.0"
"Elio","Costa"," DANT",NA,"Nov","8","2011","5.0","2.0"
"Elio","Costa"," DANT","2","Nov","8","2011","5.0","2.0"
"Elio","Costa"," IT","2200","May","9","2010","5.0","2.0"
"Elio","Costa"," CINE",NA,"Apr","18","2006","4.0","4.0"
"Elio","Costa"," ITAL",NA,"Nov","24","2005","1.0","5.0"
"Elio","Costa"," ITAL",NA,"Oct","15","2005","1.0","5.0"
"Elio","Costa"," DANT",NA,"Oct","14","2005","2.5","3.0"
"Elio","Costa"," ITAL",NA,"Oct","4","2005","4.5","3.0"
"Elio","Costa"," ITAL",NA,"Aug","3","2005","1.0","5.0"
"Elio","Costa"," IT","4330","Apr","19","2005","2.0","2.0"
"Elio","Costa"," IT","4330","Mar","22","2005","3.5","2.0"
"Elio","Costa"," IT",NA,"Sep","13","2004","3.5","3.0"
"Elio","Costa"," ITAL",NA,"Jul","6","2004","1.0","5.0"
"Elio","Costa"," DANT",NA,"Jun","1","2004","5.0","3.0"
"Elio","Costa"," SUMM",NA,"Mar","10","2004","4.5","3.0"
"Elio","Costa"," DANT",NA,"Feb","12","2004","4.0","3.0"
"Elio","Costa"," ITA","2200","Nov","13","2003","2.0","3.0"
"Elio","Costa"," 2761","HUMA","Sep","13","2003","2.5","4.0"
"Elio","Costa"," HUMA","2761","Jun","9","2003","2.5","4.0"
"Elio","Costa"," IT","2761","Jun","1","2003","2.5","4.0"
"Elio","Costa"," IT","2761","Oct","10","2002","3.0","5.0"
"Elio","Costa"," HUMA","27","Aug","18","2002","3.0","5.0"
"Elio","Costa"," LIT","2200","Apr","5","2002","4.0","4.0"
"Elio","Costa"," ITAL",NA,"Feb","4","2002","1.0","5.0"
