"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Eric","Ruppert"," CSE","3101","Jun","10","2019","5.0","4.0"
"Eric","Ruppert"," EECS","3101","Aug","5","2018","1.0","5.0"
"Eric","Ruppert"," EECS","2001","Jan","17","2018","1.0","5.0"
"Eric","Ruppert"," MATH","1560","May","3","2017","5.0","2.0"
"Eric","Ruppert"," EECS","2001","Jan","8","2017","2.0","5.0"
"Eric","Ruppert"," CSE","2001","Dec","16","2016","1.0","5.0"
"Eric","Ruppert"," EECS","2001","Dec","14","2016","5.0","5.0"
"Eric","Ruppert"," EECS","2001","Apr","22","2016","4.5","4.0"
"Eric","Ruppert"," EECS","2001","Apr","18","2016","5.0","4.0"
"Eric","Ruppert"," EECS","2001","Apr","5","2016","3.5","5.0"
"Eric","Ruppert"," EECS","2001","Apr","5","2016","4.0","4.0"
"Eric","Ruppert"," EECS","2001","Jan","20","2016","2.5","5.0"
"Eric","Ruppert"," CSE","3101","Jan","6","2016","4.5","4.0"
"Eric","Ruppert"," EECS","2001","Apr","15","2015","4.0","4.0"
"Eric","Ruppert"," EECS","2001","Apr","9","2015","5.0","4.0"
"Eric","Ruppert"," CSE","6117","Jan","13","2015","5.0","4.0"
"Eric","Ruppert"," CSE","2001","Jan","1","2015","4.5","4.0"
"Eric","Ruppert"," CSE","4115","Dec","16","2012","5.0","5.0"
"Eric","Ruppert"," CSE","2021","Apr","24","2011","3.0","5.0"
"Eric","Ruppert"," CSE","2001","Mar","23","2011","5.0","3.0"
"Eric","Ruppert"," CSE","2001","Feb","3","2011","5.0","5.0"
"Eric","Ruppert"," CSE","2001","Dec","20","2010","1.5","5.0"
"Eric","Ruppert"," CSE","2001","Dec","7","2010","1.0","4.0"
"Eric","Ruppert"," CSE","2001","Sep","12","2010","1.0","5.0"
"Eric","Ruppert"," CSE","2001","Oct","6","2009","4.5","4.0"
"Eric","Ruppert"," CSE","3101","Jul","23","2009","5.0","4.0"
"Eric","Ruppert"," CSE","3101","Apr","16","2009","5.0","4.0"
"Eric","Ruppert"," CSE","3101","Apr","15","2009","1.0","5.0"
"Eric","Ruppert"," CSE","3101","Mar","6","2009","1.0","5.0"
"Eric","Ruppert"," COCS","3101","Feb","26","2009","3.5","1.0"
"Eric","Ruppert"," CSE","2001","Jul","16","2008","1.0","5.0"
"Eric","Ruppert"," CSE","2001","May","15","2008","4.0","4.0"
"Eric","Ruppert"," COSC","6117","May","2","2008","1.5","5.0"
"Eric","Ruppert"," 2001",NA,"Dec","8","2005","5.0","3.0"
"Eric","Ruppert"," 2001",NA,"Jun","19","2005","3.5","3.0"
"Eric","Ruppert"," COSC","2001","Mar","30","2005","5.0","3.0"
"Eric","Ruppert"," COSC","3101","Nov","10","2004","5.0","3.0"
"Eric","Ruppert"," COSC","3101","Oct","2","2004","5.0","3.0"
"Eric","Ruppert"," 2001",NA,"Sep","30","2004","4.5","3.0"
"Eric","Ruppert"," COSC","3101","Jul","29","2004","1.0","5.0"
"Eric","Ruppert"," COSC","3101","Jul","17","2004","5.0","3.0"
"Eric","Ruppert"," 3101",NA,"Mar","25","2004","1.0","2.0"
"Eric","Ruppert"," COSC","3101","Sep","8","2003","1.0","5.0"
"Eric","Ruppert"," 3101",NA,"Jul","21","2003","2.0","5.0"
"Eric","Ruppert"," COSC","3101","May","5","2003","3.5","5.0"
"Eric","Ruppert"," COSC","3101","Mar","10","2003","4.0","2.0"
"Eric","Ruppert"," COSC","3101","Sep","12","2002","5.0","3.0"
"Eric","Ruppert"," COSC","3101","Sep","25","2001","4.0","3.0"
