"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Eshrat","Arjomandi"," CSE","1020","Jul","6","2010","1.0","5.0"
"Eshrat","Arjomandi"," CSE","1020","Sep","7","2006","1.0","5.0"
"Eshrat","Arjomandi"," 1020",NA,"Jul","12","2006","3.0","4.0"
"Eshrat","Arjomandi"," CSE","1020","Mar","9","2006","1.0","5.0"
"Eshrat","Arjomandi"," COSC","1020","Jan","22","2006","1.0","5.0"
"Eshrat","Arjomandi"," COSC","1020","Jun","20","2005","1.0","5.0"
"Eshrat","Arjomandi"," COSC","1020","May","1","2005","2.0","4.0"
"Eshrat","Arjomandi"," COSC","1020","Jan","4","2005","4.5","1.0"
"Eshrat","Arjomandi"," COSC","1020","Dec","22","2004","1.0","5.0"
"Eshrat","Arjomandi"," COSC","1030","Nov","26","2004","1.0","4.0"
"Eshrat","Arjomandi"," COSC","1030","Nov","24","2004","1.0","4.0"
"Eshrat","Arjomandi"," COMP",NA,"Nov","17","2004","5.0","1.0"
"Eshrat","Arjomandi"," COSC",NA,"Dec","23","2003","5.0","1.0"
"Eshrat","Arjomandi"," COSC","1030","Oct","17","2003","1.0","5.0"
"Eshrat","Arjomandi"," COSC","1030","Sep","11","2003","1.0","4.0"
"Eshrat","Arjomandi"," 1030",NA,"Jun","15","2003","1.0","5.0"
"Eshrat","Arjomandi"," COSC","1030","Jun","12","2003","5.0","1.0"
"Eshrat","Arjomandi"," CORD",NA,"Jun","3","2003","1.0","5.0"
"Eshrat","Arjomandi"," COSC","1030","May","30","2003","4.5","4.0"
"Eshrat","Arjomandi"," COSC",NA,"May","13","2003","1.0","3.0"
"Eshrat","Arjomandi"," COSC","1030","Apr","17","2003","4.5","1.0"
"Eshrat","Arjomandi"," COSC","1030","Mar","5","2003","1.0","5.0"
"Eshrat","Arjomandi"," COSC",NA,"Jan","9","2003","1.0","5.0"
"Eshrat","Arjomandi"," 1030",NA,"Jan","9","2003","1.0","5.0"
"Eshrat","Arjomandi"," COSC","1030","Jan","9","2003","1.0","5.0"
"Eshrat","Arjomandi"," 1030",NA,"Dec","18","2002","1.0","5.0"
"Eshrat","Arjomandi"," 1030",NA,"Dec","18","2002","1.5","4.0"
"Eshrat","Arjomandi"," COSC","1030","Nov","15","2002","1.0","5.0"
"Eshrat","Arjomandi"," 1030",NA,"Sep","4","2002","1.0","5.0"
"Eshrat","Arjomandi"," COSC","1030","Jul","19","2002","3.0","3.0"
"Eshrat","Arjomandi"," COSC","1020","Jun","24","2002","4.0","5.0"
"Eshrat","Arjomandi"," COSC","1030","May","6","2002","1.0","3.0"
"Eshrat","Arjomandi"," COSC","1030","Jan","22","2002","5.0","1.0"
