"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Franc","Sturino"," HIST","4053","May","12","2020","4.0","3.0"
"Franc","Sturino"," HUMA","3902","Nov","27","2019","1.0","5.0"
"Franc","Sturino"," HIST","4035","Aug","20","2014","1.0","5.0"
"Franc","Sturino"," HIST","3581","Jan","9","2014","1.0","4.0"
"Franc","Sturino"," H","1","Nov","8","2011","5.0","1.0"
"Franc","Sturino"," HIST","4000","Feb","25","2010","5.0","2.0"
"Franc","Sturino"," POLS","4000","May","2","2007","5.0","1.0"
"Franc","Sturino"," HIST",NA,"Apr","10","2006","1.0","5.0"
"Franc","Sturino"," HIST",NA,"Mar","11","2006","1.0","5.0"
"Franc","Sturino"," HIST",NA,"Dec","28","2005","1.0","5.0"
"Franc","Sturino"," HIST",NA,"Dec","14","2005","1.0","5.0"
"Franc","Sturino"," ITAL",NA,"Nov","7","2005","1.0","5.0"
"Franc","Sturino"," HIST",NA,"Aug","22","2005","1.0","5.0"
"Franc","Sturino"," HIST","4000","Jan","6","2005","3.0","1.0"
"Franc","Sturino"," AK","4210","Dec","26","2004","1.5","4.0"
"Franc","Sturino"," HIST","3","May","24","2004","4.0","2.0"
"Franc","Sturino"," HIST","3550","Sep","9","2003","2.0","3.0"
"Franc","Sturino"," HIST","3100","Mar","31","2002","1.5","3.0"
