"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Gary","Butler"," HUMA","1900","Jul","29","2016","5.0","2.0"
"Gary","Butler"," HUMA","1900","Apr","9","2016","4.0","3.0"
"Gary","Butler"," HUMA","1900","Feb","6","2016","2.0","5.0"
"Gary","Butler"," HUMA","1900","Sep","8","2015","3.0","2.0"
"Gary","Butler"," 1900",NA,"Jun","24","2015","4.0","2.0"
"Gary","Butler"," HUMA","1900","Dec","1","2014","1.0","5.0"
"Gary","Butler"," HUMA","2970","Dec","2","2013","5.0","2.0"
"Gary","Butler"," HUMA","2970","Jul","9","2013","1.5","5.0"
"Gary","Butler"," HUMA","2970","Jun","14","2009","1.0","5.0"
"Gary","Butler"," SOSC","3664","May","5","2009","2.0","2.0"
"Gary","Butler"," HUMA","2970","Aug","25","2008","2.5","3.0"
"Gary","Butler"," HUMA","2979","Apr","15","2008","2.5","4.0"
"Gary","Butler"," HUMA","2970","Aug","5","2005","4.5","2.0"
"Gary","Butler"," HUMA","2970","Apr","13","2005","1.5","3.0"
"Gary","Butler"," HUMA","2970","Apr","11","2005","3.0","2.0"
"Gary","Butler"," HUMA","2970","Feb","9","2005","1.0","5.0"
"Gary","Butler"," HUMA","2970","Jan","21","2005","1.0","5.0"
"Gary","Butler"," 2970",NA,"Jan","20","2005","1.0","5.0"
"Gary","Butler"," HUMA","2970","Dec","5","2004","2.0","4.0"
"Gary","Butler"," HUMA","2970","Nov","23","2004","2.0","4.0"
"Gary","Butler"," HUMA","2970","Sep","22","2004","2.0","2.0"
"Gary","Butler"," HUMA","2970","Jul","6","2004","2.5","2.0"
"Gary","Butler"," 2970",NA,"Jun","2","2004","4.0","2.0"
"Gary","Butler"," HUMA","2970","May","27","2004","1.5","2.0"
"Gary","Butler"," HUMA","2970","Feb","8","2004","5.0","1.0"
"Gary","Butler"," HUMA","2970","Sep","20","2003","4.5","2.0"
"Gary","Butler"," HUMA","1925","Apr","16","2003","4.5","2.0"
"Gary","Butler"," HUMA","1925","May","1","2002","3.0","4.0"
"Gary","Butler"," HUMA","1925","Mar","29","2002","3.5","2.0"
"Gary","Butler"," HUMA","1925","Dec","18","2001","2.0","3.0"
