"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Gordon","Turpin"," CSE","1520","Jun","26","2012","4.5","1.0"
"Gordon","Turpin"," CSE","1030","Apr","30","2012","2.0","3.0"
"Gordon","Turpin"," CSE","1030","Apr","9","2012","1.0","5.0"
"Gordon","Turpin"," CSE","2011","Dec","21","2011","3.0","3.0"
"Gordon","Turpin"," CSE","1520","Dec","19","2011","3.0","3.0"
"Gordon","Turpin"," CSE","2001","Oct","4","2011","4.0","2.0"
"Gordon","Turpin"," CSE","3221","Aug","10","2011","4.0","4.0"
"Gordon","Turpin"," CSE","2011","Jun","29","2011","2.0","5.0"
"Gordon","Turpin"," CSE","1520","Jun","19","2011","5.0","1.0"
"Gordon","Turpin"," CSE","1030","May","15","2011","3.0","2.0"
"Gordon","Turpin"," CSE","2031","May","7","2011","3.0","3.0"
"Gordon","Turpin"," CSE","1520","May","3","2011","4.5","5.0"
"Gordon","Turpin"," CSE","1520","May","2","2011","4.0","2.0"
"Gordon","Turpin"," CSE","1520","Apr","15","2011","4.0","3.0"
"Gordon","Turpin"," CSE","2031","Feb","14","2011","2.5","4.0"
"Gordon","Turpin"," CSE","2031","Dec","31","2010","2.5","2.0"
"Gordon","Turpin"," CSE","1520","Aug","30","2010","3.5","3.0"
"Gordon","Turpin"," CSE","1520","Dec","27","2009","4.5","2.0"
"Gordon","Turpin"," CSE","1520","Dec","17","2009","3.0","2.0"
"Gordon","Turpin"," CSE","2011","Sep","14","2009","3.0","2.0"
"Gordon","Turpin"," CSE","2011","Jun","21","2009","3.0","1.0"
"Gordon","Turpin"," CSE","1520","Mar","8","2009","1.0","5.0"
"Gordon","Turpin"," COSC","3022","Aug","19","2008","2.0","5.0"
"Gordon","Turpin"," CSE","2031","May","17","2008","5.0","1.0"
"Gordon","Turpin"," CSE","2031","May","15","2008","4.0","2.0"
"Gordon","Turpin"," CSE","1520","Feb","6","2008","1.0","5.0"
"Gordon","Turpin"," CSE","2011","Jan","14","2008","1.0","5.0"
"Gordon","Turpin"," CSE","1520","Jan","6","2008","2.0","4.0"
"Gordon","Turpin"," COSC","1520","Jan","6","2008","3.0","3.0"
"Gordon","Turpin"," CSE","2031","Jan","4","2008","2.0","4.0"
"Gordon","Turpin"," CSE","1020","Oct","21","2007","1.0","5.0"
"Gordon","Turpin"," CS","2031","Jun","27","2007","3.0","4.0"
"Gordon","Turpin"," ITEC","3220","May","15","2007","1.0","5.0"
"Gordon","Turpin"," CSE","2001","Mar","14","2007","4.0","3.0"
"Gordon","Turpin"," CSE","1020","Nov","2","2006","1.5","3.0"
"Gordon","Turpin"," CSE","3221","May","10","2006","1.0","4.0"
"Gordon","Turpin"," COSC","2001","Dec","18","2005","2.0","4.0"
"Gordon","Turpin"," COSC","2031","Nov","24","2005","1.5","5.0"
"Gordon","Turpin"," COSC","2031","Nov","10","2005","5.0","4.0"
"Gordon","Turpin"," CSE","3421","Oct","31","2005","4.0","3.0"
"Gordon","Turpin"," 3221","ETC","Sep","22","2005","1.0","4.0"
"Gordon","Turpin"," COSC","3221","Aug","21","2005","3.0","4.0"
"Gordon","Turpin"," COSC","2031","Jul","29","2005","4.0","3.0"
"Gordon","Turpin"," COSC","3221","Jun","10","2005","1.5","4.0"
