"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Greg","Malszecki"," KIN","1000","Oct","21","2018","5.0","4.0"
"Greg","Malszecki"," BODY",NA,"Jan","2","2015","5.0","2.0"
"Greg","Malszecki"," SOCI","3670","Jun","17","2013","4.5","2.0"
"Greg","Malszecki"," SOCI",NA,"Apr","4","2013","5.0","2.0"
"Greg","Malszecki"," SOCI",NA,"Mar","28","2013","5.0","3.0"
"Greg","Malszecki"," FND","0100","Apr","24","2012","5.0","2.0"
"Greg","Malszecki"," KIN","1000","Jun","13","2010","4.0","3.0"
"Greg","Malszecki"," KINE","1000","Jan","21","2010","5.0","3.0"
"Greg","Malszecki"," KINE","4375","Dec","3","2009","5.0","2.0"
"Greg","Malszecki"," KINE","4375","Jun","29","2009","4.5","3.0"
"Greg","Malszecki"," KINE","4270","Mar","11","2009","5.0","1.0"
"Greg","Malszecki"," KINE","4000","Mar","8","2009","4.5","1.0"
"Greg","Malszecki"," KINE","4000","Sep","2","2008","4.5","2.0"
"Greg","Malszecki"," KINE","1000","Aug","18","2007","5.0","1.0"
"Greg","Malszecki"," KINE","4270","Aug","6","2007","5.0","3.0"
"Greg","Malszecki"," KINE","1000","Jul","6","2007","4.5","1.0"
"Greg","Malszecki"," KINE","1000","Apr","27","2007","5.0","2.0"
"Greg","Malszecki"," KINE","1000","Mar","16","2007","4.0","3.0"
"Greg","Malszecki"," PHYS","101","Aug","28","2006","5.0","2.0"
"Greg","Malszecki"," GEND","4030","Aug","18","2006","4.5","2.0"
"Greg","Malszecki"," KINE","1000","Jun","20","2006","5.0","1.0"
"Greg","Malszecki"," KINE","1000","Apr","11","2006","5.0","3.0"
"Greg","Malszecki"," KINE","1000","Apr","1","2006","5.0","4.0"
"Greg","Malszecki"," KINE","1000","Mar","30","2006","5.0","1.0"
"Greg","Malszecki"," KINE","1000","Mar","29","2006","2.0","2.0"
"Greg","Malszecki"," KINE","1000","Mar","23","2006","4.0","3.0"
"Greg","Malszecki"," KINE","1000","Jan","5","2006","5.0","3.0"
"Greg","Malszecki"," 4350",NA,"Dec","26","2005","5.0","1.0"
"Greg","Malszecki"," WOME",NA,"Nov","28","2005","5.0","4.0"
"Greg","Malszecki"," KINE",NA,"Nov","9","2005","4.5","2.0"
"Greg","Malszecki"," KIN","1000","Oct","23","2005","4.5","3.0"
"Greg","Malszecki"," KINE","1000","Sep","27","2005","4.0","2.0"
"Greg","Malszecki"," KINE","1000","Jun","14","2005","5.0","3.0"
"Greg","Malszecki"," KINE","1000","May","13","2005","5.0","3.0"
"Greg","Malszecki"," KINE","1000","Apr","20","2005","4.5","2.0"
"Greg","Malszecki"," 1000",NA,"Apr","19","2005","5.0","3.0"
"Greg","Malszecki"," HIST",NA,"Mar","22","2005","5.0","2.0"
"Greg","Malszecki"," KINE","1000","Mar","14","2005","5.0","3.0"
"Greg","Malszecki"," KIN","1000","Jan","8","2005","5.0","3.0"
"Greg","Malszecki"," KINE","1000","Jan","4","2005","5.0","3.0"
"Greg","Malszecki"," KINE","1000","Nov","4","2004","5.0","2.0"
"Greg","Malszecki"," KINE","1000","Oct","22","2004","5.0","2.0"
"Greg","Malszecki"," KINE","1000","Oct","20","2004","2.5","3.0"
"Greg","Malszecki"," KINE","1000","Aug","18","2004","3.5","3.0"
"Greg","Malszecki"," KINE",NA,"Aug","4","2004","5.0","2.0"
"Greg","Malszecki"," KINE","1000","Jul","22","2004","4.5","2.0"
"Greg","Malszecki"," KIN","1000","May","27","2004","4.5","2.0"
"Greg","Malszecki"," KINE",NA,"May","3","2004","5.0","2.0"
"Greg","Malszecki"," KINE","1000","Apr","23","2004","5.0","2.0"
"Greg","Malszecki"," KINE","1000","Apr","22","2004","4.5","2.0"
"Greg","Malszecki"," KINE","1000","Apr","20","2004","5.0","2.0"
"Greg","Malszecki"," KINE","1000","Apr","4","2004","5.0","1.0"
"Greg","Malszecki"," KINE","1000","Mar","24","2004","5.0","2.0"
"Greg","Malszecki"," KINE","1000","Mar","22","2004","5.0","3.0"
"Greg","Malszecki"," KINE","1000","Mar","18","2004","5.0","3.0"
"Greg","Malszecki"," 1000",NA,"Feb","17","2004","5.0","3.0"
"Greg","Malszecki"," KINE","1000","Feb","16","2004","5.0","1.0"
"Greg","Malszecki"," KINE","1000","Feb","14","2004","5.0","1.0"
"Greg","Malszecki"," KINE","1000","Feb","12","2004","5.0","2.0"
"Greg","Malszecki"," KINE","1000","Feb","11","2004","5.0","1.0"
"Greg","Malszecki"," KINE","1000","Feb","5","2004","4.0","3.0"
"Greg","Malszecki"," KINE","1000","Feb","3","2004","5.0","2.0"
"Greg","Malszecki"," KINE","1000","Dec","18","2003","5.0","1.0"
"Greg","Malszecki"," KINE","1000","Dec","10","2003","5.0","1.0"
"Greg","Malszecki"," 1000",NA,"Dec","7","2003","5.0","1.0"
"Greg","Malszecki"," 1000",NA,"Dec","7","2003","5.0","2.0"
"Greg","Malszecki"," 1000",NA,"Dec","3","2003","5.0","3.0"
"Greg","Malszecki"," KINE","1000","Nov","28","2003","4.5","1.0"
"Greg","Malszecki"," KINE","1000","Nov","26","2003","4.5","3.0"
"Greg","Malszecki"," KINE","1000","Nov","13","2003","5.0","1.0"
"Greg","Malszecki"," KINE","1000","Nov","7","2003","5.0","1.0"
"Greg","Malszecki"," KINE","1000","Nov","4","2003","4.5","3.0"
"Greg","Malszecki"," KINE","1000","May","30","2003","5.0","2.0"
"Greg","Malszecki"," 1000",NA,"May","18","2003","4.5","3.0"
"Greg","Malszecki"," KINE","1000","Apr","21","2003","2.5","2.0"
"Greg","Malszecki"," KINE","1000","Apr","16","2003","5.0","1.0"
"Greg","Malszecki"," KINE","1000","Apr","14","2003","4.5","2.0"
"Greg","Malszecki"," KINE","1000","Apr","11","2003","4.0","1.0"
"Greg","Malszecki"," KINE","1000","Apr","5","2003","4.0","4.0"
"Greg","Malszecki"," KINE","1000","Apr","3","2003","4.0","2.0"
"Greg","Malszecki"," KINE","1000","Apr","2","2003","5.0","3.0"
"Greg","Malszecki"," KINE","1000","Mar","16","2003","5.0","1.0"
"Greg","Malszecki"," KINE","1010","Mar","1","2003","5.0","2.0"
"Greg","Malszecki"," KINE","1000","Feb","16","2003","3.0","1.0"
"Greg","Malszecki"," 1000",NA,"Feb","13","2003","4.0","2.0"
"Greg","Malszecki"," KINE","1000","Jan","30","2003","4.0","2.0"
"Greg","Malszecki"," KINE","1000","Jan","15","2003","5.0","2.0"
"Greg","Malszecki"," KIN","1000","Jan","14","2003","3.5","2.0"
"Greg","Malszecki"," KINE","1000","Jan","10","2003","5.0","3.0"
"Greg","Malszecki"," KINE","1000","Jan","9","2003","4.0","2.0"
"Greg","Malszecki"," 1000",NA,"Jan","7","2003","5.0","2.0"
"Greg","Malszecki"," KINE","1000","Jan","6","2003","4.5","3.0"
"Greg","Malszecki"," KINE","1000","Jan","3","2003","4.0","1.0"
"Greg","Malszecki"," 1000",NA,"Dec","24","2002","5.0","1.0"
"Greg","Malszecki"," 1000",NA,"Dec","17","2002","4.0","3.0"
"Greg","Malszecki"," KINE","1000","Dec","17","2002","3.5","3.0"
"Greg","Malszecki"," KINE","1000","Dec","17","2002","5.0","2.0"
"Greg","Malszecki"," KINE","1000","Dec","17","2002","3.0","2.0"
"Greg","Malszecki"," KINE","1000","Nov","29","2002","4.5","3.0"
"Greg","Malszecki"," KINE","1000","Nov","13","2002","4.5","3.0"
"Greg","Malszecki"," 1000",NA,"Nov","12","2002","5.0","2.0"
"Greg","Malszecki"," KIN","1000","Oct","19","2002","5.0","2.0"
"Greg","Malszecki"," KIN","1000","Oct","4","2002","5.0","3.0"
"Greg","Malszecki"," 1000",NA,"Sep","21","2002","5.0","2.0"
"Greg","Malszecki"," KINE","1000","Jun","17","2002","2.5","4.0"
"Greg","Malszecki"," KIN","1000","May","11","2002","4.5","2.0"
"Greg","Malszecki"," KINE","1000","May","6","2002","4.5","2.0"
"Greg","Malszecki"," KINE","1000","Apr","15","2002","3.0","4.0"
"Greg","Malszecki"," KINE","1000","Apr","7","2002","3.5","3.0"
"Greg","Malszecki"," KIN","1000","Apr","7","2002","4.5","3.0"
"Greg","Malszecki"," 1000",NA,"Apr","2","2002","4.0","2.0"
"Greg","Malszecki"," KINE","1000","Mar","31","2002","4.0","3.0"
"Greg","Malszecki"," 1000",NA,"Mar","27","2002","5.0","2.0"
"Greg","Malszecki"," KINE","2010","Mar","25","2002","4.0","3.0"
"Greg","Malszecki"," KIN","1000","Mar","21","2002","2.0","2.0"
"Greg","Malszecki"," HIST",NA,"Mar","17","2002","4.5","3.0"
"Greg","Malszecki"," 1000",NA,"Mar","13","2002","4.5","2.0"
"Greg","Malszecki"," KINE","1000","Oct","13","2001","5.0","3.0"
"Greg","Malszecki"," KIN","1000","Sep","28","2001","5.0","2.0"
