"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Gregory","Albo"," POLS","3145","Feb","25","2017","3.0","4.0"
"Gregory","Albo"," HREQ","3125","Feb","16","2016","3.0","5.0"
"Gregory","Albo"," POLS","3125","Nov","25","2013","4.0","4.0"
"Gregory","Albo"," POLS","3125","May","24","2011","4.0","2.0"
"Gregory","Albo"," POLS","3125","Jan","29","2011","2.5","3.0"
"Gregory","Albo"," POLS","3125","Jan","27","2011","4.0","2.0"
"Gregory","Albo"," POLS","3125","Jul","24","2007","5.0","5.0"
"Gregory","Albo"," POLS","3125","Jul","6","2007","3.5","4.0"
"Gregory","Albo"," POLS","3125","Jan","5","2007","5.0","3.0"
"Gregory","Albo"," POLS","3125","Nov","5","2006","5.0","2.0"
"Gregory","Albo"," POLS","3125","Feb","24","2006","5.0","3.0"
"Gregory","Albo"," POLS","3145","Jan","29","2006","1.0","5.0"
"Gregory","Albo"," POLS","5000","Jul","12","2005","4.5","4.0"
"Gregory","Albo"," POLS","6270","Jan","12","2005","4.5","4.0"
"Gregory","Albo"," POLS",NA,"Jul","15","2004","5.0","4.0"
"Gregory","Albo"," POLS","2610","Feb","25","2004","1.0","5.0"
"Gregory","Albo"," POLS",NA,"Nov","19","2003","1.0","5.0"
"Gregory","Albo"," 2610",NA,"Sep","20","2003","1.0","5.0"
"Gregory","Albo"," 4470",NA,"May","10","2003","5.0","3.0"
"Gregory","Albo"," POLS","2610","Apr","22","2003","4.5","2.0"
"Gregory","Albo"," POLS",NA,"Feb","28","2003","4.5","3.0"
"Gregory","Albo"," POLS","2610","Nov","7","2002","1.0","5.0"
"Gregory","Albo"," POLS","6000","Apr","13","2002","4.0","5.0"
