"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Gunnar","Gotshalks"," EECS","3401","Feb","13","2017","3.0","3.0"
"Gunnar","Gotshalks"," EECS","1550","Feb","10","2017","1.0","5.0"
"Gunnar","Gotshalks"," CSE","3311","Dec","30","2016","1.0","4.0"
"Gunnar","Gotshalks"," CSE","3311","Dec","10","2016","2.0","5.0"
"Gunnar","Gotshalks"," EECS","3401","Apr","22","2016","3.5","4.0"
"Gunnar","Gotshalks"," CSE","3401","May","3","2015","3.5","4.0"
"Gunnar","Gotshalks"," 3401",NA,"Apr","16","2015","5.0","3.0"
"Gunnar","Gotshalks"," 3311",NA,"Dec","21","2014","4.0","4.0"
"Gunnar","Gotshalks"," 3311",NA,"Dec","21","2014","5.0","4.0"
"Gunnar","Gotshalks"," 3311",NA,"Dec","15","2014","4.0","4.0"
"Gunnar","Gotshalks"," 3401",NA,"Oct","27","2014","4.5","3.0"
"Gunnar","Gotshalks"," 3311",NA,"Oct","23","2014","5.0","4.0"
"Gunnar","Gotshalks"," EECS","3401","Sep","11","2014","1.0","5.0"
"Gunnar","Gotshalks"," CSE","3311","Dec","1","2013","3.5","5.0"
"Gunnar","Gotshalks"," DATA",NA,"Nov","19","2013","2.0","4.0"
"Gunnar","Gotshalks"," CSE","3311","Oct","29","2013","1.0","5.0"
"Gunnar","Gotshalks"," CSE","3311","Oct","23","2013","1.0","5.0"
"Gunnar","Gotshalks"," CSE","3311","Oct","15","2013","2.0","5.0"
"Gunnar","Gotshalks"," CSE","3311","Sep","23","2013","1.0","5.0"
"Gunnar","Gotshalks"," CSE","3311","May","11","2012","3.5","2.0"
"Gunnar","Gotshalks"," CSE","3311","May","5","2012","1.0","5.0"
"Gunnar","Gotshalks"," CSE","3311","Mar","24","2012","1.0","5.0"
"Gunnar","Gotshalks"," CSE","3401","Dec","19","2011","4.0","3.0"
"Gunnar","Gotshalks"," CSE","3401","Oct","19","2010","1.5","5.0"
"Gunnar","Gotshalks"," CSE","3311","May","26","2009","1.5","5.0"
"Gunnar","Gotshalks"," CSE","3311","Feb","27","2009","3.0","5.0"
"Gunnar","Gotshalks"," CSE","2011","Oct","12","2008","1.0","4.0"
"Gunnar","Gotshalks"," F","2011","Sep","24","2008","1.0","5.0"
"Gunnar","Gotshalks"," CSE","3311","Nov","22","2007","5.0","4.0"
"Gunnar","Gotshalks"," CSE","3311","Dec","19","2006","1.0","4.0"
"Gunnar","Gotshalks"," CS","3311","Nov","16","2006","1.0","5.0"
"Gunnar","Gotshalks"," CS","3311","Nov","7","2006","2.0","5.0"
"Gunnar","Gotshalks"," 3311",NA,"Dec","15","2004","2.0","4.0"
"Gunnar","Gotshalks"," COSC","3401","Dec","12","2004","4.0","2.0"
"Gunnar","Gotshalks"," COSC","3401","Dec","10","2004","3.0","4.0"
"Gunnar","Gotshalks"," COSC","3311","Dec","9","2004","1.0","5.0"
"Gunnar","Gotshalks"," COSC","3401","Dec","8","2004","1.5","4.0"
"Gunnar","Gotshalks"," 3401",NA,"Nov","27","2004","1.0","5.0"
"Gunnar","Gotshalks"," 3311",NA,"Nov","26","2004","2.5","5.0"
"Gunnar","Gotshalks"," 4401",NA,"Nov","26","2004","4.5","4.0"
"Gunnar","Gotshalks"," COSC","3311","Nov","11","2004","1.0","5.0"
"Gunnar","Gotshalks"," COSC","3401","Nov","9","2004","1.0","5.0"
"Gunnar","Gotshalks"," COSC","3401","Nov","9","2004","1.0","5.0"
"Gunnar","Gotshalks"," 3401",NA,"Oct","12","2004","1.0","5.0"
"Gunnar","Gotshalks"," 2011",NA,"Aug","25","2004","1.5","4.0"
"Gunnar","Gotshalks"," COSC","3311","Aug","11","2004","1.0","4.0"
"Gunnar","Gotshalks"," COSC","1010","May","6","2004","1.0","5.0"
"Gunnar","Gotshalks"," 1020",NA,"Apr","19","2004","1.0","5.0"
"Gunnar","Gotshalks"," COSC",NA,"Apr","19","2004","1.0","5.0"
"Gunnar","Gotshalks"," 4311",NA,"Mar","22","2004","2.0","4.0"
"Gunnar","Gotshalks"," COSC","3311","Feb","27","2004","1.0","4.0"
"Gunnar","Gotshalks"," COSC","3401","Sep","21","2003","5.0","3.0"
"Gunnar","Gotshalks"," 3311",NA,"Jul","3","2003","1.0","5.0"
"Gunnar","Gotshalks"," 3311",NA,"Jun","6","2003","1.0","5.0"
"Gunnar","Gotshalks"," 3311",NA,"Apr","25","2003","2.5","5.0"
"Gunnar","Gotshalks"," 2021",NA,"Feb","19","2003","2.5","5.0"
"Gunnar","Gotshalks"," 3401",NA,"Jan","1","2003","2.0","5.0"
"Gunnar","Gotshalks"," 2011",NA,"Dec","20","2002","2.0","5.0"
"Gunnar","Gotshalks"," 3401",NA,"Dec","17","2002","3.5","3.0"
"Gunnar","Gotshalks"," 3401",NA,"Dec","8","2002","2.0","5.0"
"Gunnar","Gotshalks"," COSC","2011","Dec","6","2001","4.0","5.0"
"Gunnar","Gotshalks"," COSC",NA,"Sep","4","2001","1.0","5.0"
"Gunnar","Gotshalks"," COSC","2011","Jul","5","2001","5.0","5.0"
