"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Hamzeh","Roumani"," EECS","3481","Dec","27","2019","4.0","3.0"
"Hamzeh","Roumani"," CSE","3481","Nov","7","2019","5.0","3.0"
"Hamzeh","Roumani"," EECS","1022","Apr","21","2019","5.0","1.0"
"Hamzeh","Roumani"," EECS","1022","Mar","18","2019","5.0","3.0"
"Hamzeh","Roumani"," EECS","2021","Dec","11","2017","1.0","5.0"
"Hamzeh","Roumani"," EECS","1022","Apr","23","2017","4.0","5.0"
"Hamzeh","Roumani"," EECS","2021","Apr","16","2017","5.0","4.0"
"Hamzeh","Roumani"," EECS","1022","Mar","27","2017","5.0","3.0"
"Hamzeh","Roumani"," EECS","1022","Dec","11","2016","5.0","3.0"
"Hamzeh","Roumani"," CSE","4413","Dec","2","2016","1.0","5.0"
"Hamzeh","Roumani"," CSE","4413","Nov","11","2016","4.0","4.0"
"Hamzeh","Roumani"," EECS","4413","Nov","8","2016","5.0","2.0"
"Hamzeh","Roumani"," EECS","4413","Jul","14","2016","5.0","2.0"
"Hamzeh","Roumani"," EECS","1020","Jun","22","2016","5.0","3.0"
"Hamzeh","Roumani"," EECS","1022","May","9","2016","5.0","2.0"
"Hamzeh","Roumani"," EECS","1022","Apr","7","2016","5.0","2.0"
"Hamzeh","Roumani"," EECS","1020","Jan","9","2016","5.0","2.0"
"Hamzeh","Roumani"," CSE","2021","Oct","25","2015","4.5","2.0"
"Hamzeh","Roumani"," EECS","1020","Oct","13","2015","5.0","2.0"
"Hamzeh","Roumani"," EECS","1020","Jun","27","2015","5.0","3.0"
"Hamzeh","Roumani"," CSE","1020","May","28","2015","1.5","4.0"
"Hamzeh","Roumani"," CSE","1020","Apr","16","2015","5.0","2.0"
"Hamzeh","Roumani"," 1020",NA,"Feb","5","2015","5.0","2.0"
"Hamzeh","Roumani"," CSE","4413","Jan","10","2015","4.5","4.0"
"Hamzeh","Roumani"," MULT",NA,"Jan","8","2015","5.0","3.0"
"Hamzeh","Roumani"," 1020",NA,"Nov","19","2014","5.0","1.0"
"Hamzeh","Roumani"," 3481",NA,"Oct","11","2014","4.0","4.0"
"Hamzeh","Roumani"," CSE","3481","Jul","4","2013","5.0","2.0"
"Hamzeh","Roumani"," CSE","3481","Jun","9","2013","5.0","2.0"
"Hamzeh","Roumani"," CSE","4413","Feb","10","2013","5.0","4.0"
"Hamzeh","Roumani"," CSE","2021","Jan","30","2013","4.0","5.0"
"Hamzeh","Roumani"," CSEM",NA,"Jan","20","2013","5.0","1.0"
"Hamzeh","Roumani"," CSE","4413","Dec","10","2012","5.0","3.0"
"Hamzeh","Roumani"," CSE","3481","Jan","6","2012","5.0","3.0"
"Hamzeh","Roumani"," CSE","3481","Sep","20","2011","5.0","2.0"
"Hamzeh","Roumani"," CSE","2021","May","7","2011","5.0","4.0"
"Hamzeh","Roumani"," CSE","2021","Apr","12","2011","5.0","3.0"
"Hamzeh","Roumani"," CSE","2021","Mar","23","2011","5.0","3.0"
"Hamzeh","Roumani"," CSE","2021","Feb","14","2011","2.5","4.0"
"Hamzeh","Roumani"," CSE","2021","Sep","19","2009","4.5","4.0"
"Hamzeh","Roumani"," CSE","1020","Aug","20","2009","5.0","1.0"
"Hamzeh","Roumani"," COSC","2021","Apr","11","2008","5.0","1.0"
"Hamzeh","Roumani"," CSE","1030","Mar","5","2008","5.0","3.0"
"Hamzeh","Roumani"," CSE","2021","Jan","23","2008","5.0","1.0"
"Hamzeh","Roumani"," CSE","2021","Jan","23","2008","5.0","1.0"
"Hamzeh","Roumani"," CSE","2021","Jan","23","2008","5.0","1.0"
"Hamzeh","Roumani"," CSE","4413","Jan","14","2008","5.0","4.0"
