"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Hans","Joshi"," SCMA","1025","Jun","22","2015","2.0","2.0"
"Hans","Joshi"," 1520",NA,"Apr","22","2015","4.0","1.0"
"Hans","Joshi"," MATH","1025","Dec","17","2014","2.5","2.0"
"Hans","Joshi"," MATH","1025","Dec","17","2014","2.5","3.0"
"Hans","Joshi"," MATH","1013","Dec","12","2014","2.0","3.0"
"Hans","Joshi"," 1025",NA,"Nov","25","2014","2.0","3.0"
"Hans","Joshi"," 1025",NA,"Oct","22","2014","2.0","3.0"
"Hans","Joshi"," MATH","1025","Feb","24","2014","2.0","2.0"
"Hans","Joshi"," MATH","1025","Feb","5","2014","1.5","2.0"
"Hans","Joshi"," MATH","1025","Jan","10","2014","3.0","2.0"
"Hans","Joshi"," MATH","1025","Jan","2","2014","1.5","2.0"
"Hans","Joshi"," MATH","1530","Jun","22","2013","1.5","2.0"
"Hans","Joshi"," ECON","1530","Jan","8","2013","1.0","4.0"
"Hans","Joshi"," ECON","1530","Aug","21","2012","5.0","1.0"
"Hans","Joshi"," MATH","1025","Aug","15","2012","3.0","1.0"
"Hans","Joshi"," MATH","1310","Aug","5","2012","1.5","3.0"
"Hans","Joshi"," MATH","1031","Jul","18","2012","3.0","3.0"
"Hans","Joshi"," MATH","1300","Jul","2","2012","1.5","2.0"
"Hans","Joshi"," MATH","1300","Jun","25","2012","1.0","5.0"
"Hans","Joshi"," MATH","1300","Jun","25","2012","1.5","4.0"
"Hans","Joshi"," MATH","1530","Jan","1","2012","1.0","4.0"
"Hans","Joshi"," CALC","1505","Aug","15","2011","2.5","4.0"
"Hans","Joshi"," CALC","1505","Aug","1","2011","1.0","3.0"
"Hans","Joshi"," MATH","1505","Jul","18","2011","5.0","2.0"
"Hans","Joshi"," MATH","1410","Apr","12","2011","5.0","2.0"
"Hans","Joshi"," ECON","1530","Jan","5","2011","3.0","2.0"
"Hans","Joshi"," ECON","1530","Jan","4","2011","2.0","4.0"
"Hans","Joshi"," ECON","1530","Dec","21","2010","1.0","4.0"
"Hans","Joshi"," MATH","1505","Dec","9","2010","4.5","3.0"
"Hans","Joshi"," MATH","1014","Dec","23","2009","4.0","1.0"
"Hans","Joshi"," MATH","1025","Nov","28","2009","1.0","1.0"
"Hans","Joshi"," MATH","101","Sep","7","2009","4.0","1.0"
"Hans","Joshi"," MATH","1505","Sep","6","2009","4.5","3.0"
"Hans","Joshi"," MATH","1505","Aug","6","2009","4.0","2.0"
"Hans","Joshi"," MATH","1021","Jul","1","2009","2.0","3.0"
"Hans","Joshi"," MATH","1505","Jun","1","2009","3.5","3.0"
"Hans","Joshi"," MATH","1505","May","29","2009","1.0","5.0"
"Hans","Joshi"," ASDF","202","May","25","2009","1.0","5.0"
"Hans","Joshi"," MATH","1505","Feb","18","2009","2.0","3.0"
"Hans","Joshi"," MATH","1014","Feb","6","2009","3.0","2.0"
"Hans","Joshi"," MATH","1520","Nov","6","2008","2.0","3.0"
"Hans","Joshi"," CALC","1505","Sep","30","2008","2.0","3.0"
"Hans","Joshi"," CALC",NA,"Sep","9","2008","3.0","3.0"
"Hans","Joshi"," MATH","1505","Sep","8","2008","3.0","3.0"
"Hans","Joshi"," MATH","1014","Aug","17","2008","4.0","2.0"
"Hans","Joshi"," MATH","2022","Jul","17","2008","2.5","3.0"
"Hans","Joshi"," MATH","1014","Feb","6","2008","1.0","5.0"
"Hans","Joshi"," MATH","1014","Feb","4","2008","3.0","1.0"
"Hans","Joshi"," MATH","1505","Aug","8","2007","1.0","5.0"
"Hans","Joshi"," MATH","1505","Jun","18","2006","1.0","4.0"
"Hans","Joshi"," MATH","1505","Jun","7","2006","1.0","5.0"
"Hans","Joshi"," 1014",NA,"Apr","18","2006","3.5","2.0"
"Hans","Joshi"," MATH","1515","Dec","22","2005","1.0","3.0"
"Hans","Joshi"," MATH","2015","Dec","20","2005","1.5","5.0"
"Hans","Joshi"," MATH","1515","Nov","28","2005","3.0","1.0"
"Hans","Joshi"," MATH","1515","Nov","3","2005","1.5","3.0"
"Hans","Joshi"," MATH","1510","Apr","4","2005","5.0","4.0"
"Hans","Joshi"," MATH","1710","Oct","29","2004","5.0","1.0"
"Hans","Joshi"," MATH","1550","Oct","14","2004","4.0","3.0"
