"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Harris","Breslow"," COM","1150","Dec","28","2011","3.5","4.0"
"Harris","Breslow"," COMM","200","Mar","15","2007","5.0","2.0"
"Harris","Breslow"," INTR",NA,"May","19","2004","3.0","3.0"
"Harris","Breslow"," 2310",NA,"May","13","2004","5.0","3.0"
"Harris","Breslow"," SOSC","2310","Dec","3","2003","1.0","5.0"
"Harris","Breslow"," LL",NA,"Apr","24","2003","4.0","2.0"
"Harris","Breslow"," SOSC","2310","Apr","16","2003","4.0","2.0"
"Harris","Breslow"," SOSC","2310","Oct","14","2002","1.0","3.0"
"Harris","Breslow"," 2310",NA,"Oct","2","2002","1.0","5.0"
"Harris","Breslow"," 2310",NA,"Aug","25","2002","3.0","3.0"
"Harris","Breslow"," SOSC","2310","Apr","21","2002","2.5","3.0"
"Harris","Breslow"," MASS",NA,"Apr","7","2002","2.0","3.0"
"Harris","Breslow"," INTO",NA,"Feb","5","2002","1.0","2.0"
"Harris","Breslow"," SOSC","2310","Jan","6","2002","1.5","4.0"
"Harris","Breslow"," SOSC","2310","Dec","6","2001","1.0","1.0"
"Harris","Breslow"," 2310",NA,"Aug","29","2001","2.0","3.0"
"Harris","Breslow"," SOSC","2310","Aug","15","2001","3.0","3.0"
"Harris","Breslow"," SOSC","2310","Jul","23","2001","2.5","3.0"
