"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Helene","Massam"," MATH","3131","Dec","7","2018","1.0","5.0"
"Helene","Massam"," MATH","3131","Sep","6","2018","1.0","5.0"
"Helene","Massam"," MATH","3131","Jan","20","2016","3.5","4.0"
"Helene","Massam"," MATH","3131","Nov","5","2015","1.0","5.0"
"Helene","Massam"," 6620",NA,"Jan","29","2015","4.5","1.0"
"Helene","Massam"," MATH","4630","Dec","16","2014","5.0","1.0"
"Helene","Massam"," MATH","3131","Dec","15","2014","1.0","5.0"
"Helene","Massam"," MATH",NA,"Aug","14","2013","4.5","2.0"
"Helene","Massam"," MATH","3132","Nov","9","2012","5.0","2.0"
"Helene","Massam"," MATH","4630","Sep","22","2012","4.5","4.0"
"Helene","Massam"," MATH","3131","Oct","11","2011","1.0","5.0"
"Helene","Massam"," MATH","3131","Jun","23","2011","1.0","5.0"
"Helene","Massam"," MATH","3131","Mar","17","2011","2.5","5.0"
"Helene","Massam"," MATH",NA,"Dec","20","2010","1.0","5.0"
"Helene","Massam"," MATH","3131","Dec","19","2010","3.5","4.0"
"Helene","Massam"," MATH","3131","Dec","14","2010","3.5","4.0"
"Helene","Massam"," MATH","3132","Mar","2","2009","1.0","3.0"
"Helene","Massam"," MATH",NA,"Feb","24","2006","1.0","5.0"
"Helene","Massam"," MATH","6620","Feb","14","2006","1.0","5.0"
"Helene","Massam"," MATH","3131","Mar","31","2005","1.0","5.0"
"Helene","Massam"," MATH","3230","Feb","17","2005","4.0","2.0"
"Helene","Massam"," MATH","2560","Dec","20","2004","1.0","5.0"
"Helene","Massam"," MATH","3131","Dec","17","2004","2.0","5.0"
"Helene","Massam"," MATH","2560","Nov","8","2004","1.0","5.0"
"Helene","Massam"," STAT",NA,"Sep","4","2004","1.0","5.0"
"Helene","Massam"," MATH","3131","Jun","6","2004","1.0","5.0"
"Helene","Massam"," 6621",NA,"Jul","16","2003","4.0","5.0"
"Helene","Massam"," MATH","2560","Apr","23","2003","1.5","5.0"
"Helene","Massam"," STAT",NA,"Apr","13","2003","1.0","5.0"
"Helene","Massam"," STAT","2560","Apr","13","2003","1.0","4.0"
"Helene","Massam"," MATH","2560","Jul","27","2002","1.0","5.0"
"Helene","Massam"," STAT","2560","Jul","18","2002","2.5","5.0"
"Helene","Massam"," MATH","2560","Apr","28","2002","1.0","4.0"
"Helene","Massam"," STAT","2560","Mar","31","2002","1.5","4.0"
"Helene","Massam"," MATH","2560","Mar","1","2002","1.0","5.0"
"Helene","Massam"," STAT","2560","Nov","18","2001","2.0","4.0"
