"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Ileana","Guiasu"," MATH","1505","May","2","2013","4.0","4.0"
"Ileana","Guiasu"," MATH","1505","Jun","29","2011","1.0","4.0"
"Ileana","Guiasu"," MATH","1505","May","9","2010","3.5","3.0"
"Ileana","Guiasu"," MATH","1505","May","4","2010","3.0","2.0"
"Ileana","Guiasu"," MATH","1014","Feb","24","2009","5.0","1.0"
"Ileana","Guiasu"," MATH","1014","Feb","7","2009","4.0","5.0"
"Ileana","Guiasu"," MATH","1014","Sep","19","2008","5.0","1.0"
"Ileana","Guiasu"," CALC","1013","Sep","8","2008","2.0","3.0"
"Ileana","Guiasu"," MATH","1013","Aug","25","2008","1.5","5.0"
"Ileana","Guiasu"," CALC","1014","Jun","20","2007","1.0","5.0"
"Ileana","Guiasu"," MATH","1013","Sep","6","2006","3.5","1.0"
"Ileana","Guiasu"," MATH","1013","Jul","27","2006","2.0","3.0"
"Ileana","Guiasu"," 1013",NA,"Nov","25","2005","5.0","1.0"
"Ileana","Guiasu"," CALC","1013","Nov","16","2005","3.0","2.0"
"Ileana","Guiasu"," MATH","1013","Oct","13","2005","5.0","2.0"
"Ileana","Guiasu"," MATH","1013","Oct","4","2005","3.5","1.0"
"Ileana","Guiasu"," MATH","1013","Sep","18","2005","2.0","2.0"
"Ileana","Guiasu"," 1013",NA,"Jan","3","2005","1.0","5.0"
"Ileana","Guiasu"," MATH","1014","Sep","22","2004","1.0","4.0"
"Ileana","Guiasu"," 1310",NA,"Jul","27","2004","4.5","2.0"
"Ileana","Guiasu"," MATH","1014","May","20","2004","1.5","3.0"
"Ileana","Guiasu"," MATH","1013","May","3","2004","1.5","1.0"
"Ileana","Guiasu"," MATH","1014","Apr","12","2004","4.0","4.0"
"Ileana","Guiasu"," 1013",NA,"Mar","27","2004","1.5","1.0"
"Ileana","Guiasu"," 1014",NA,"Feb","4","2004","2.0","1.0"
"Ileana","Guiasu"," MATH","2015","Dec","19","2003","1.0","4.0"
"Ileana","Guiasu"," MTH","2015","Dec","18","2003","1.0","2.0"
"Ileana","Guiasu"," MATH","2015","Dec","13","2003","4.0","4.0"
"Ileana","Guiasu"," MATH","2015","Dec","12","2003","5.0","1.0"
"Ileana","Guiasu"," MATH","1013","Dec","9","2003","4.0","1.0"
"Ileana","Guiasu"," MATH","2015","Nov","17","2003","1.0","4.0"
"Ileana","Guiasu"," MATH","1025","Nov","14","2003","1.5","4.0"
"Ileana","Guiasu"," MATH","2015","Nov","5","2003","4.5","2.0"
"Ileana","Guiasu"," MATH","2015","Oct","10","2003","2.5","1.0"
"Ileana","Guiasu"," MATH","1515","Sep","14","2003","1.5","1.0"
"Ileana","Guiasu"," 1310",NA,"Aug","26","2003","5.0","3.0"
"Ileana","Guiasu"," MATH","1310","Jul","23","2003","4.5","1.0"
"Ileana","Guiasu"," MATH","1025","Apr","27","2003","5.0","1.0"
"Ileana","Guiasu"," MATH","1310","Apr","24","2003","2.5","4.0"
"Ileana","Guiasu"," 1300",NA,"Apr","2","2003","1.0","4.0"
"Ileana","Guiasu"," 1025",NA,"Jan","21","2003","3.0","2.0"
"Ileana","Guiasu"," MATH","2221","Jan","7","2003","5.0","2.0"
"Ileana","Guiasu"," 1300",NA,"Jan","7","2003","1.5","3.0"
"Ileana","Guiasu"," 1300",NA,"Dec","18","2002","5.0","1.0"
"Ileana","Guiasu"," 1310",NA,"Aug","31","2002","1.0","3.0"
"Ileana","Guiasu"," MATH","1300","Jul","29","2002","3.5","2.0"
"Ileana","Guiasu"," MATH","1300","Nov","22","2001","1.0","4.0"
