"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Imogen","Coe"," BIOL","1010","Jun","14","2009","1.0","5.0"
"Imogen","Coe"," BIO","0000","May","25","2009","5.0","1.0"
"Imogen","Coe"," BIO","000","May","22","2009","1.0","5.0"
"Imogen","Coe"," BIOL","1010","Apr","29","2008","1.0","5.0"
"Imogen","Coe"," BIOL","1010","Feb","6","2005","1.0","3.0"
"Imogen","Coe"," 1010",NA,"May","12","2004","3.0","4.0"
"Imogen","Coe"," BIO","1010","Apr","20","2004","1.0","4.0"
"Imogen","Coe"," BIOL","1010","Mar","23","2004","1.0","1.0"
"Imogen","Coe"," BIOL","1010","Feb","12","2004","1.0","4.0"
"Imogen","Coe"," BIOL","1010","Jan","3","2004","1.0","4.0"
"Imogen","Coe"," 1000",NA,"Dec","15","2003","1.0","5.0"
"Imogen","Coe"," 2020",NA,"Nov","20","2003","3.0","3.0"
"Imogen","Coe"," BIOL","1010","Sep","15","2003","3.0","2.0"
"Imogen","Coe"," BIO","1010","Sep","11","2003","1.0","5.0"
"Imogen","Coe"," 1010",NA,"Aug","21","2003","1.5","3.0"
"Imogen","Coe"," 1010",NA,"May","29","2003","1.0","4.0"
"Imogen","Coe"," BIOL","1010","May","12","2003","2.0","3.0"
"Imogen","Coe"," BIOL","1010","Apr","20","2003","3.5","2.0"
"Imogen","Coe"," BIOL","1000","Apr","4","2003","1.0","5.0"
"Imogen","Coe"," BIO","1010","Feb","3","2003","2.0","4.0"
"Imogen","Coe"," BIOL","1010","Jan","6","2003","2.0","4.0"
"Imogen","Coe"," BIO","1010","Dec","19","2002","1.0","3.0"
"Imogen","Coe"," BIOL","1010","Dec","6","2002","2.0","2.0"
"Imogen","Coe"," BIO","1010","Nov","29","2002","4.0","3.0"
"Imogen","Coe"," BIOL","1010","Nov","15","2002","2.5","3.0"
"Imogen","Coe"," BIO","1010","Nov","14","2002","4.0","3.0"
"Imogen","Coe"," BIOL","1010","Oct","22","2002","2.0","4.0"
"Imogen","Coe"," BIOL","1010","Jul","28","2002","4.5","1.0"
"Imogen","Coe"," BIOL","1010","Apr","23","2002","3.0","4.0"
"Imogen","Coe"," BIO","1010","Apr","2","2002","2.0","5.0"
"Imogen","Coe"," 1010",NA,"Mar","23","2002","1.0","5.0"
"Imogen","Coe"," BIOL","1010","Mar","16","2002","1.5","5.0"
"Imogen","Coe"," BIO","1010","Mar","13","2002","3.5","4.0"
"Imogen","Coe"," BIOL","1010","Feb","9","2002","3.0","2.0"
"Imogen","Coe"," BIO","1010","Feb","4","2002","1.5","5.0"
"Imogen","Coe"," BIOL","1010","Jan","25","2002","4.0","1.0"
"Imogen","Coe"," BIO","1010","Dec","3","2001","1.0","5.0"
"Imogen","Coe"," BIOL","1010","Jul","24","2001","1.5","5.0"
