"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"J","Ridpath"," ECO","101","Jan","10","2011","4.5","5.0"
"J","Ridpath"," ECON","1000","Feb","27","2006","2.0","4.0"
"J","Ridpath"," SOSC",NA,"Jul","11","2005","5.0","3.0"
"J","Ridpath"," ECON",NA,"Apr","7","2005","1.0","5.0"
"J","Ridpath"," ECON","1000","May","19","2004","3.0","4.0"
"J","Ridpath"," ECON","1000","Mar","9","2004","3.0","4.0"
"J","Ridpath"," ECON","1000","Dec","22","2003","5.0","3.0"
"J","Ridpath"," ECON","1000","Sep","9","2003","4.0","2.0"
"J","Ridpath"," ECON","1000","Apr","24","2003","1.5","4.0"
"J","Ridpath"," ECON","1010","Sep","27","2002","1.0","5.0"
"J","Ridpath"," ECON","1000","Sep","8","2002","3.0","5.0"
"J","Ridpath"," ECO","101","Sep","7","2002","5.0","4.0"
"J","Ridpath"," ECON","1000","Aug","19","2002","1.0","5.0"
"J","Ridpath"," 1000",NA,"Jul","13","2002","2.0","3.0"
"J","Ridpath"," ECON","1010","May","10","2002","4.5","2.0"
"J","Ridpath"," ECON","1000","Apr","14","2002","3.5","3.0"
"J","Ridpath"," ECON","1000","Apr","13","2002","1.0","4.0"
"J","Ridpath"," ECON","1000","Apr","7","2002","1.0","5.0"
"J","Ridpath"," ECON","1000","Mar","30","2002","1.0","5.0"
"J","Ridpath"," ECON","1010","Mar","21","2002","1.0","5.0"
"J","Ridpath"," ECON","1000","Feb","19","2002","5.0","2.0"
"J","Ridpath"," SOSC","1010","Feb","18","2002","2.0","1.0"
"J","Ridpath"," 1000",NA,"Aug","21","2001","1.0","5.0"
"J","Ridpath"," ECN","1000","Jul","25","2001","1.0","5.0"
"J","Ridpath"," ECON","1000","Jul","2","2001","1.0","5.0"
"J","Ridpath"," 1000",NA,"Jun","30","2001","1.0","5.0"
