"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"James","Laxer","POLS","3125","Mar","30","2018","4.0","2.0"
"James","Laxer"," POLS","3135","Feb","27","2018","5.0","3.0"
"James","Laxer"," POLS","4181","Oct","19","2017","5.0","2.0"
"James","Laxer","POLS","3125","Aug","4","2017","3.0","2.0"
"James","Laxer","HREQ","3125","Aug","2","2017","5.0","3.0"
"James","Laxer"," HREQ","4181","Apr","8","2017","5.0","3.0"
"James","Laxer"," 3125",NA,"Nov","22","2014","5.0","3.0"
"James","Laxer"," POLS","4181","Sep","11","2013","5.0","1.0"
"James","Laxer"," POLS","4181","May","4","2013","5.0","3.0"
"James","Laxer"," HREQ","3125","Jan","13","2013","2.5","2.0"
"James","Laxer"," POLS","4181","Jan","15","2011","5.0","2.0"
"James","Laxer"," POLS","4620","Jan","2","2011","5.0","1.0"
"James","Laxer"," POLS","3125","Sep","7","2010","3.5","2.0"
"James","Laxer"," POLS","2910","Jan","3","2010","5.0","1.0"
"James","Laxer"," POLS","4181","Nov","28","2009","5.0","1.0"
"James","Laxer"," POLS","2910","Jul","7","2009","5.0","3.0"
"James","Laxer"," POLS","3125","May","15","2009","3.0","4.0"
"James","Laxer"," POLS","312","Oct","29","2008","3.5","5.0"
"James","Laxer"," POLA",NA,"Feb","28","2008","5.0","1.0"
"James","Laxer"," POLS","2910","Jan","10","2008","5.0","2.0"
"James","Laxer"," POLS","100","Jan","8","2008","5.0","1.0"
"James","Laxer"," POLS","3125","Sep","30","2007","5.0","2.0"
"James","Laxer"," POLS","3125","Jul","16","2007","5.0","1.0"
"James","Laxer"," POLS","3850","Jun","12","2006","5.0","1.0"
"James","Laxer"," POLS","3580","Apr","24","2006","5.0","2.0"
"James","Laxer"," POLS","3580","Mar","29","2006","5.0","2.0"
"James","Laxer"," POLS","2910","Feb","24","2006","5.0","3.0"
"James","Laxer"," POLS","2910","Feb","7","2006","5.0","3.0"
"James","Laxer"," POLS","2920","Dec","3","2005","5.0","2.0"
"James","Laxer"," POLE",NA,"Nov","23","2005","5.0","2.0"
"James","Laxer"," POLS","2900","Sep","26","2005","5.0","2.0"
"James","Laxer"," AKPO","3420","Sep","6","2005","5.0","1.0"
"James","Laxer"," AKPO","3420","May","15","2005","5.0","1.0"
"James","Laxer"," AKPO","3420","May","8","2005","5.0","1.0"
"James","Laxer"," POLS","3420","Apr","26","2005","5.0","2.0"
"James","Laxer"," 3580",NA,"Apr","19","2005","5.0","2.0"
"James","Laxer"," CDNP",NA,"Mar","18","2005","5.0","3.0"
"James","Laxer"," POLS","3420","Mar","16","2005","5.0","3.0"
"James","Laxer"," SOCI","3690","Sep","24","2004","4.5","1.0"
"James","Laxer"," INTE",NA,"Sep","9","2004","5.0","1.0"
"James","Laxer"," POLS","3580","Aug","26","2004","5.0","2.0"
"James","Laxer"," POLS","3420","Jun","28","2004","5.0","1.0"
"James","Laxer"," POLS","3420","Dec","18","2003","5.0","2.0"
"James","Laxer"," POLE",NA,"Oct","27","2003","5.0","2.0"
"James","Laxer"," 1760",NA,"Feb","7","2002","5.0","2.0"
"James","Laxer"," 2100",NA,"Feb","6","2002","5.0","2.0"
"James","Laxer"," POLS","2100","Dec","18","2001","5.0","3.0"
"James","Laxer"," POL","2100","Dec","16","2001","5.0","2.0"
