"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Janice","Newson"," 2070",NA,"May","28","2015","1.5","3.0"
"Janice","Newson"," SOCI","2070","Mar","24","2015","4.5","4.0"
"Janice","Newson"," 2070",NA,"Feb","23","2015","1.5","5.0"
"Janice","Newson"," SOCI","2070","Feb","10","2015","3.0","4.0"
"Janice","Newson"," SOCI",NA,"Apr","23","2012","4.5","2.0"
"Janice","Newson"," SOCI","2070","Mar","28","2011","5.0","2.0"
"Janice","Newson"," SOCI","2070","Oct","27","2010","5.0","3.0"
"Janice","Newson"," WMST",NA,"Aug","27","2010","5.0","3.0"
"Janice","Newson"," SOCI","2070","Jun","17","2008","4.0","2.0"
"Janice","Newson"," SOCI","2070","Jun","12","2008","3.5","3.0"
"Janice","Newson"," SOCI","2070","Apr","10","2008","4.0","3.0"
"Janice","Newson"," SOCI","2070","Apr","3","2008","4.5","2.0"
"Janice","Newson"," SOC","2070","Mar","27","2008","4.0","4.0"
"Janice","Newson"," SOCI","2070","Mar","27","2008","5.0","3.0"
"Janice","Newson"," SOCI","2070","Sep","11","2006","2.5","3.0"
"Janice","Newson"," SOCI","2070","Jul","4","2006","5.0","1.0"
"Janice","Newson"," SOCI",NA,"Apr","11","2006","5.0","2.0"
"Janice","Newson"," SOCI","2070","Feb","10","2006","5.0","1.0"
"Janice","Newson"," SOCI","2070","Jun","15","2005","5.0","1.0"
"Janice","Newson"," SOCI","2070","Jun","8","2005","5.0","1.0"
"Janice","Newson"," 2070",NA,"Jun","5","2005","1.0","4.0"
"Janice","Newson"," SOCI","2070","May","29","2005","4.5","2.0"
"Janice","Newson"," SOCI","4900","Feb","25","2005","5.0","3.0"
"Janice","Newson"," SOCI","2200","Feb","6","2005","1.0","3.0"
"Janice","Newson"," SOCI",NA,"Nov","18","2004","1.0","5.0"
"Janice","Newson"," 2070",NA,"Jun","18","2004","2.5","3.0"
"Janice","Newson"," 2070",NA,"Jun","9","2004","3.5","3.0"
"Janice","Newson"," 4930",NA,"May","13","2004","5.0","3.0"
"Janice","Newson"," SOCI","2070","May","8","2004","1.0","5.0"
"Janice","Newson"," SOCI","4930","Apr","4","2004","5.0","4.0"
"Janice","Newson"," SOCI","2070","Mar","30","2004","1.5","5.0"
"Janice","Newson"," SOCI","2070","Mar","1","2004","2.0","4.0"
"Janice","Newson"," 2070",NA,"Jul","4","2003","1.5","3.0"
"Janice","Newson"," SOCI","4930","May","13","2003","5.0","2.0"
"Janice","Newson"," SOSC","2070","Apr","16","2003","5.0","4.0"
"Janice","Newson"," SOCI","2070","Apr","11","2003","2.0","4.0"
"Janice","Newson"," SOCI","2070","Mar","25","2003","1.5","5.0"
"Janice","Newson"," POLS",NA,"Mar","17","2003","1.5","5.0"
"Janice","Newson"," SOCI",NA,"Jan","13","2003","5.0","3.0"
"Janice","Newson"," SCIT",NA,"Dec","9","2002","5.0","1.0"
"Janice","Newson"," 2070",NA,"Oct","15","2002","2.0","3.0"
"Janice","Newson"," 2070",NA,"Jun","24","2002","5.0","1.0"
"Janice","Newson"," 4930",NA,"Apr","1","2002","4.5","3.0"
"Janice","Newson"," POLS","2610","Feb","6","2002","1.0","5.0"
"Janice","Newson"," 2070",NA,"Sep","21","2001","1.0","5.0"
