"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Jean","Noble"," FACS","1010","Aug","10","2014","5.0","3.0"
"Jean","Noble"," ENG","1300","Aug","30","2006","1.0","3.0"
"Jean","Noble"," ENG",NA,"Sep","24","2005","4.0","2.0"
"Jean","Noble"," EN","1250","Jan","3","2005","1.5","3.0"
"Jean","Noble"," ENGL",NA,"Jun","14","2004","1.5","3.0"
"Jean","Noble"," FACS","1010","Jun","13","2004","5.0","3.0"
"Jean","Noble"," ENG","1200","Mar","28","2004","1.0","5.0"
"Jean","Noble"," FACT","1010","Dec","9","2003","4.0","2.0"
"Jean","Noble"," WMNS","450","Oct","7","2003","5.0","2.0"
"Jean","Noble"," WS","300","Sep","21","2003","2.0","3.0"
"Jean","Noble"," EN","1300","Aug","20","2003","4.0","3.0"
"Jean","Noble"," ENG","1300","Jun","25","2003","3.0","3.0"
"Jean","Noble"," EN","3160","Apr","15","2003","5.0","4.0"
"Jean","Noble"," FACS","4920","Apr","1","2003","4.0","4.0"
"Jean","Noble"," EN","1300","Mar","30","2003","4.0","2.0"
"Jean","Noble"," ENG","3660","Mar","4","2003","5.0","5.0"
"Jean","Noble"," FACS","1010","Feb","5","2003","4.0","2.0"
"Jean","Noble"," ENG","1000","Dec","19","2002","5.0","2.0"
"Jean","Noble"," 1300",NA,"Dec","17","2002","4.0","2.0"
"Jean","Noble"," ENG","1300","Nov","30","2002","3.5","2.0"
"Jean","Noble"," E","3160","Nov","20","2002","4.0","3.0"
"Jean","Noble"," WS","101","Oct","16","2002","5.0","2.0"
"Jean","Noble"," WS","101","Sep","12","2002","5.0","1.0"
"Jean","Noble"," EN","4100","May","6","2002","5.0","2.0"
"Jean","Noble"," EN","1300","Aug","28","2001","4.5","2.0"
