"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Joan","Allen"," SOC","4680","Oct","28","2017","5.0","4.0"
"Joan","Allen"," SOCI","3110","Oct","21","2017","4.0","3.0"
"Joan","Allen"," SOCI","3550","Jun","13","2017","1.0","5.0"
"Joan","Allen"," SOCI","3550","Jun","8","2017","1.0","3.0"
"Joan","Allen"," SOCI","3550","Mar","2","2017","2.0","3.0"
"Joan","Allen"," SOCI","3110","Jan","20","2017","1.0","3.0"
"Joan","Allen"," SOCI","3110","Jun","1","2015","4.0","2.0"
"Joan","Allen"," SOCI","3110","May","14","2015","1.0","4.0"
"Joan","Allen"," 3550",NA,"Apr","19","2015","3.5","2.0"
"Joan","Allen"," 4670",NA,"Dec","19","2014","5.0","1.0"
"Joan","Allen"," 4670",NA,"Dec","11","2014","5.0","3.0"
"Joan","Allen"," 3110",NA,"Nov","17","2014","1.0","5.0"
"Joan","Allen"," SOCI","4670","Feb","4","2014","5.0","2.0"
"Joan","Allen"," SOCI","4670","Feb","1","2014","4.0","2.0"
"Joan","Allen"," SOCI","4670","Dec","6","2013","5.0","3.0"
"Joan","Allen"," SOCI","4000","Oct","17","2013","5.0","1.0"
"Joan","Allen"," SOCI","3110","May","1","2013","2.0","3.0"
"Joan","Allen"," SOCI","4680","Apr","10","2013","4.5","2.0"
"Joan","Allen"," SOCI","3310","Jan","29","2013","1.0","3.0"
"Joan","Allen"," SOCI",NA,"Dec","20","2012","4.5","2.0"
"Joan","Allen"," SOCI","4670","Dec","13","2012","4.5","3.0"
"Joan","Allen"," AGIN","4680","Nov","26","2012","5.0","1.0"
"Joan","Allen"," SOCI","4680","Nov","26","2012","5.0","1.0"
"Joan","Allen"," SOCI","4680","Oct","18","2012","5.0","3.0"
"Joan","Allen"," SOCI","4670","Apr","14","2012","5.0","1.0"
"Joan","Allen"," WOME","4000","Dec","12","2011","4.5","2.0"
"Joan","Allen"," SOCI","4680","Dec","5","2011","4.5","3.0"
"Joan","Allen"," SOCI","3110","Sep","28","2011","2.0","3.0"
"Joan","Allen"," HUM","01","Jun","28","2011","5.0","4.0"
"Joan","Allen"," SOC","3110","May","24","2011","4.5","4.0"
"Joan","Allen"," SOCI","3110","Jan","2","2011","3.0","2.0"
"Joan","Allen"," SOCI","3110","Dec","21","2010","4.5","1.0"
"Joan","Allen"," SOCI","4670","Dec","13","2010","5.0","3.0"
"Joan","Allen"," SOCI","4680","May","7","2010","4.0","1.0"
"Joan","Allen"," SOCI","4680","May","5","2010","4.0","1.0"
"Joan","Allen"," PHIL","2170","May","19","2007","5.0","4.0"
"Joan","Allen"," HUMA","1650","Apr","2","2007","4.0","2.0"
"Joan","Allen"," HUMA","1650","Apr","9","2006","5.0","3.0"
"Joan","Allen"," SOC","4680","Apr","8","2006","5.0","3.0"
"Joan","Allen"," HUMA","1650","Apr","3","2006","1.5","4.0"
"Joan","Allen"," HUMA","1650","Feb","20","2006","1.0","5.0"
"Joan","Allen"," HUM","1650","Nov","13","2005","4.5","2.0"
"Joan","Allen"," HUMA","1650","Oct","25","2005","1.0","1.0"
"Joan","Allen"," SOC",NA,"Jan","21","2005","1.0","5.0"
"Joan","Allen"," HUMA","1650","Jan","17","2005","1.0","2.0"
"Joan","Allen"," NETW",NA,"Sep","13","2004","1.0","2.0"
"Joan","Allen"," HUMA","1650","Jun","3","2004","1.0","2.0"
"Joan","Allen"," PHIL","1000","Apr","6","2004","2.0","5.0"
"Joan","Allen"," PHIL","1000","Feb","26","2004","3.0","4.0"
"Joan","Allen"," HUMA","1650","Nov","4","2003","3.5","4.0"
"Joan","Allen"," PHIL","1000","Oct","23","2003","3.0","3.0"
"Joan","Allen"," HUMA","1650","Sep","10","2003","1.0","3.0"
"Joan","Allen"," HUMA","1650","Jul","24","2003","4.5","3.0"
"Joan","Allen"," HUMA",NA,"Jun","16","2003","1.5","2.0"
"Joan","Allen"," HUMA","1650","Jun","5","2003","4.5","3.0"
"Joan","Allen"," 1650",NA,"Jun","4","2003","3.0","3.0"
"Joan","Allen"," SOC","4680","Jun","3","2003","4.0","5.0"
"Joan","Allen"," HUMA","1650","May","29","2003","4.0","4.0"
"Joan","Allen"," HUMA","1650","Mar","10","2003","1.0","3.0"
"Joan","Allen"," HUMA",NA,"Feb","26","2003","2.5","1.0"
"Joan","Allen"," SOC","3850","Sep","4","2002","1.5","3.0"
"Joan","Allen"," 6363",NA,"Aug","27","2002","1.5","1.0"
"Joan","Allen"," 1650",NA,"Jul","28","2002","2.0","4.0"
"Joan","Allen"," HUMA","1650","Apr","21","2002","3.5","1.0"
"Joan","Allen"," HUMA","1650","Apr","4","2002","2.5","1.0"
"Joan","Allen"," SOCS","1900","Apr","3","2002","5.0","3.0"
"Joan","Allen"," HUMA","1650","Jan","6","2002","3.0","1.0"
"Joan","Allen"," HUMA","1650","Jul","5","2001","1.0","5.0"
"Joan","Allen"," HUMA","1650","Jun","2","2001","2.5","1.0"
