"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"John","Amanatides"," EECS","3431","Dec","7","2016","1.0","5.0"
"John","Amanatides"," EECS","3431","Nov","30","2016","1.0","5.0"
"John","Amanatides"," EECS","3431","Nov","30","2016","2.0","4.0"
"John","Amanatides"," CSE","1520","Jun","15","2013","5.0","3.0"
"John","Amanatides"," CSE","1520","Jul","18","2011","1.0","5.0"
"John","Amanatides"," CSE","1520","Jan","22","2007","5.0","1.0"
"John","Amanatides"," CSE","1520","Dec","14","2006","1.0","4.0"
"John","Amanatides"," CSE","1530","Aug","29","2006","2.5","4.0"
"John","Amanatides"," CSE","1530","Mar","20","2006","2.5","4.0"
"John","Amanatides"," COSC","1520","Feb","7","2006","4.0","2.0"
"John","Amanatides"," COSC",NA,"Oct","27","2004","1.0","5.0"
"John","Amanatides"," INGE",NA,"Oct","8","2004","1.0","5.0"
"John","Amanatides"," COSC","2001","Aug","25","2004","4.5","3.0"
"John","Amanatides"," COSC","1030","Apr","14","2004","5.0","3.0"
"John","Amanatides"," COSC",NA,"Dec","4","2003","5.0","2.0"
"John","Amanatides"," 1030",NA,"Jun","13","2003","2.0","5.0"
"John","Amanatides"," DEPA",NA,"Jun","3","2003","5.0","1.0"
"John","Amanatides"," COSC","1030","Apr","1","2003","5.0","3.0"
"John","Amanatides"," 1030",NA,"Dec","8","2002","5.0","1.0"
"John","Amanatides"," COSC","1030","Sep","8","2002","5.0","1.0"
"John","Amanatides"," 1030",NA,"Sep","5","2002","5.0","1.0"
"John","Amanatides"," 1030",NA,"Jul","11","2002","5.0","3.0"
"John","Amanatides"," NOID",NA,"May","6","2002","3.0","4.0"
"John","Amanatides"," CS","1030","Apr","9","2002","3.0","2.0"
"John","Amanatides"," COSC","1030","Mar","31","2002","5.0","1.0"
"John","Amanatides"," COSC","1030","Feb","26","2002","5.0","1.0"
"John","Amanatides"," COSC","1030","Feb","3","2002","4.0","2.0"
"John","Amanatides"," COSC","1030","Dec","6","2001","4.0","3.0"
"John","Amanatides"," COSC","1030","Sep","25","2001","4.0","2.0"
"John","Amanatides"," COSC","1030","May","15","2001","5.0","2.0"
