"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"John","Dwyer"," HUMA","1170","May","2","2013","3.5","4.0"
"John","Dwyer"," HUMA","1170","Mar","17","2013","5.0","4.0"
"John","Dwyer"," HUMA","1170","Nov","12","2012","5.0","2.0"
"John","Dwyer"," HUMA","1170","Jan","21","2010","4.5","3.0"
"John","Dwyer"," HUMA","3890","Jun","19","2009","5.0","5.0"
"John","Dwyer"," SOSC","2340","Aug","9","2008","4.5","3.0"
"John","Dwyer"," HUMA","1170","May","7","2008","5.0","1.0"
"John","Dwyer"," HUMA","1170","Apr","3","2008","4.0","4.0"
"John","Dwyer"," HUMA","1170","Oct","14","2007","2.5","4.0"
"John","Dwyer"," HUMA","1170","Oct","5","2007","1.0","5.0"
"John","Dwyer"," SOSC","2340","May","3","2007","3.0","5.0"
"John","Dwyer"," SOSC","2340","Apr","25","2007","3.0","5.0"
"John","Dwyer"," SOSC","2340","Apr","21","2007","5.0","3.0"
"John","Dwyer"," SOSC","2340","Jan","11","2007","5.0","4.0"
"John","Dwyer"," SOSC","2340","Dec","11","2006","3.0","3.0"
"John","Dwyer"," SOSC","2340","Dec","5","2006","4.0","2.0"
"John","Dwyer"," SOSC","2340","Nov","24","2006","5.0","3.0"
"John","Dwyer"," SOSC","2340","Nov","11","2006","5.0","1.0"
"John","Dwyer"," BUSO","2930","Nov","9","2006","5.0","4.0"
"John","Dwyer"," SOSC","2340","Sep","7","2006","3.0","5.0"
"John","Dwyer"," SOSC","2340","Aug","29","2006","5.0","2.0"
"John","Dwyer"," BUSI",NA,"Aug","14","2006","1.0","1.0"
"John","Dwyer"," SOSC","2340","Jun","6","2006","4.0","2.0"
"John","Dwyer"," SOSC","2340","May","25","2006","4.0","2.0"
"John","Dwyer"," SOSC","2340","Apr","26","2006","1.0","4.0"
"John","Dwyer"," 2340","SOCI","Apr","25","2006","5.0","3.0"
"John","Dwyer"," SOSC","2340","Apr","20","2006","1.0","5.0"
"John","Dwyer"," SOSC","2340","Apr","19","2006","1.5","4.0"
"John","Dwyer"," SOSC","2340","Apr","6","2006","4.0","2.0"
