"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Judith","Schwarz"," VISA","3084","Apr","28","2017","4.0","4.0"
"Judith","Schwarz"," VISA","3084","Aug","6","2016","5.0","2.0"
"Judith","Schwarz"," VISA","3086","Jul","20","2016","1.0","1.0"
"Judith","Schwarz"," VISA","3084","Jun","27","2015","4.0","3.0"
"Judith","Schwarz"," VISA","101","Sep","19","2010","3.0","3.0"
"Judith","Schwarz"," VISA","1000","Apr","23","2009","5.0","1.0"
"Judith","Schwarz"," VISA","1000","Jul","28","2008","2.0","1.0"
"Judith","Schwarz"," VISA","1000","Jan","24","2008","2.0","5.0"
"Judith","Schwarz"," VISA","3000","Aug","24","2007","1.0","3.0"
"Judith","Schwarz"," VISA","3000","Aug","24","2007","1.5","3.0"
"Judith","Schwarz"," DRAW","2082","Jun","6","2006","5.0","3.0"
"Judith","Schwarz"," SCUL",NA,"May","6","2006","3.0","3.0"
"Judith","Schwarz"," SCUL",NA,"Aug","17","2005","2.0","4.0"
"Judith","Schwarz"," VISA","3080","Apr","24","2005","4.5","4.0"
"Judith","Schwarz"," VISA","5630","Mar","29","2005","3.5","3.0"
"Judith","Schwarz"," VISA",NA,"Nov","24","2004","2.5","3.0"
"Judith","Schwarz"," VISA",NA,"Nov","9","2004","1.0","5.0"
"Judith","Schwarz"," VISA","3030","Jul","12","2004","1.0","5.0"
"Judith","Schwarz"," 4","YRSC","Feb","6","2004","4.5","3.0"
"Judith","Schwarz"," VISA","3080","May","10","2003","1.0","3.0"
"Judith","Schwarz"," ART","3122","Apr","17","2003","1.0","1.0"
"Judith","Schwarz"," SCUL",NA,"Apr","5","2003","1.0","5.0"
"Judith","Schwarz"," 2082",NA,"Apr","3","2002","1.0","5.0"
"Judith","Schwarz"," DRW","301","Jul","10","2001","1.0","5.0"
