"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Karen","Valihora"," EN","4073","May","17","2017","5.0","3.0"
"Karen","Valihora"," 2001","EN","Jan","16","2017","2.0","4.0"
"Karen","Valihora"," EN","2001","Apr","9","2016","3.5","2.0"
"Karen","Valihora"," EN","2001","Mar","30","2016","3.5","3.0"
"Karen","Valihora"," EN","2001","Dec","10","2015","4.0","4.0"
"Karen","Valihora"," EN","3560","May","21","2014","1.0","3.0"
"Karen","Valihora"," EN","3560","May","14","2014","2.5","3.0"
"Karen","Valihora"," EN","3560","Apr","22","2014","1.0","5.0"
"Karen","Valihora"," EN","3560","Oct","25","2013","4.5","4.0"
"Karen","Valihora"," 2001","EN","Feb","4","2013","1.0","5.0"
"Karen","Valihora"," EN","2001","Dec","14","2012","4.5","2.0"
"Karen","Valihora"," EN","2001","Dec","6","2011","3.5","4.0"
"Karen","Valihora"," LITT",NA,"Dec","22","2010","3.5","4.0"
"Karen","Valihora"," ENA",NA,"Nov","21","2010","2.5","5.0"
"Karen","Valihora"," ENG","3230","Jan","23","2010","1.5","3.0"
"Karen","Valihora"," ENGA",NA,"Jun","3","2009","2.5","4.0"
"Karen","Valihora"," EN","3230","May","30","2009","4.5","1.0"
"Karen","Valihora"," ENG","3230","May","27","2009","5.0","3.0"
"Karen","Valihora"," EN","3230","May","22","2009","4.5","2.0"
"Karen","Valihora"," ENG","0807","Jul","6","2008","5.0","5.0"
"Karen","Valihora"," MILT",NA,"Jul","6","2008","5.0","3.0"
"Karen","Valihora"," EN","3230","May","13","2008","4.5","2.0"
"Karen","Valihora"," EN","3230","Sep","2","2007","4.0","3.0"
"Karen","Valihora"," ENG","3230","Jul","14","2007","1.5","4.0"
"Karen","Valihora"," ENGR","300","Nov","23","2006","4.5","3.0"
"Karen","Valihora"," ENGS",NA,"Oct","26","2006","4.5","2.0"
"Karen","Valihora"," ENG","3230","Oct","18","2006","2.0","4.0"
"Karen","Valihora"," EN",NA,"Jul","17","2006","1.5","4.0"
"Karen","Valihora"," ENGL",NA,"Jun","23","2006","1.0","5.0"
"Karen","Valihora"," EN","3755","May","24","2006","5.0","3.0"
"Karen","Valihora"," 1","STYE","Apr","5","2006","5.0","2.0"
"Karen","Valihora"," EPIC",NA,"Apr","1","2006","5.0","2.0"
"Karen","Valihora"," THEN",NA,"Dec","5","2005","1.0","3.0"
"Karen","Valihora"," ENGR",NA,"Oct","18","2005","4.0","4.0"
"Karen","Valihora"," ENGA",NA,"Sep","22","2005","1.5","4.0"
"Karen","Valihora"," EPIC",NA,"Sep","17","2005","5.0","2.0"
"Karen","Valihora"," LITA",NA,"Aug","29","2005","5.0","4.0"
"Karen","Valihora"," 1050",NA,"Aug","15","2005","1.0","5.0"
