"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Lew","Lowther"," CSE","1520","Aug","27","2016","2.0","4.0"
"Lew","Lowther"," CSE","1520","Jan","10","2016","3.0","2.0"
"Lew","Lowther"," CSE","1520","Aug","28","2015","3.5","2.0"
"Lew","Lowther"," 1520",NA,"Jul","16","2015","4.0","2.0"
"Lew","Lowther"," CSE","1520","Apr","19","2014","3.0","3.0"
"Lew","Lowther"," CSE","1520","Apr","16","2014","3.0","3.0"
"Lew","Lowther"," CSE","1520","Mar","22","2014","2.5","4.0"
"Lew","Lowther"," HUMA","1650","Aug","21","2013","4.5","1.0"
"Lew","Lowther"," CSE","1520","Apr","3","2013","2.5","5.0"
"Lew","Lowther"," CSE","1520","Dec","6","2012","1.0","2.0"
"Lew","Lowther"," CSE","1520","Jul","12","2012","1.0","1.0"
"Lew","Lowther"," CSE","1520","Jul","2","2012","3.5","2.0"
"Lew","Lowther"," MATH","13","Mar","28","2012","5.0","1.0"
"Lew","Lowther"," CSE","1520","Dec","19","2011","3.0","3.0"
"Lew","Lowther"," CSE","1530","Sep","24","2009","4.5","1.0"
"Lew","Lowther"," CSE","1530","Jun","10","2009","5.0","3.0"
"Lew","Lowther"," CSE","1520","Apr","12","2009","2.5","3.0"
"Lew","Lowther"," CSE","1520","Mar","27","2009","4.0","3.0"
"Lew","Lowther"," CSE","1520","Feb","1","2009","1.0","5.0"
"Lew","Lowther"," CSE","1520","Oct","7","2008","3.0","5.0"
"Lew","Lowther"," COSC",NA,"Sep","12","2008","1.5","5.0"
"Lew","Lowther"," CSE","1530","May","23","2008","2.0","5.0"
"Lew","Lowther"," CSE","1520","May","21","2008","3.5","2.0"
"Lew","Lowther"," COMP",NA,"Oct","11","2007","4.0","3.0"
"Lew","Lowther"," CSE","1510","Jun","25","2007","3.0","3.0"
"Lew","Lowther"," CSE","1520","Jan","29","2007","4.0","3.0"
"Lew","Lowther"," CSE","1520","Jan","15","2007","4.5","3.0"
"Lew","Lowther"," CSE","1520","Dec","18","2006","3.5","3.0"
"Lew","Lowther"," CSE","1520","Nov","26","2006","4.0","4.0"
"Lew","Lowther"," CSE","1520","Apr","27","2006","2.5","4.0"
"Lew","Lowther"," CSE","1520","Apr","18","2006","4.0","2.0"
"Lew","Lowther"," CSE","1530","Mar","28","2006","1.0","5.0"
"Lew","Lowther"," CSE","1520","Mar","12","2006","1.0","5.0"
"Lew","Lowther"," CSE","1520","Mar","12","2006","1.0","5.0"
"Lew","Lowther"," HUMA","1650","Feb","20","2006","1.0","5.0"
"Lew","Lowther"," CSE","1520","Feb","8","2006","3.0","2.0"
"Lew","Lowther"," C",NA,"Jan","19","2006","1.0","5.0"
