"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Logan","Donaldson"," BIOL","4020","Jan","24","2020","5.0","4.0"
"Logan","Donaldson"," BIOL","4020","Jan","15","2019","5.0","4.0"
"Logan","Donaldson"," BIOL","3100","Jun","22","2018","5.0","4.0"
"Logan","Donaldson"," BIOL","4030","Dec","23","2015","1.0","5.0"
"Logan","Donaldson"," BIOL","4030","Nov","21","2015","2.0","5.0"
"Logan","Donaldson"," 6021",NA,"Oct","27","2015","1.0","4.0"
"Logan","Donaldson"," BIOL","2060","Sep","1","2012","2.5","5.0"
"Logan","Donaldson"," BIOL","4030","Jun","27","2012","3.0","2.0"
"Logan","Donaldson"," BIOL","2060","Jan","31","2012","4.0","5.0"
"Logan","Donaldson"," BIOL","2060","Dec","18","2011","1.0","4.0"
"Logan","Donaldson"," 1010",NA,"Oct","13","2011","2.0","4.0"
"Logan","Donaldson"," BIOL","3100","Aug","29","2011","4.0","1.0"
"Logan","Donaldson"," BIOL","2060","Jan","6","2011","1.0","5.0"
"Logan","Donaldson"," BIOL","2060","Jan","6","2011","2.0","4.0"
"Logan","Donaldson"," BIOL","1010","Feb","4","2010","3.0","3.0"
"Logan","Donaldson"," BIOL","4020","Jan","3","2010","3.0","3.0"
"Logan","Donaldson"," BIOL","1010","Nov","18","2009","2.5","1.0"
"Logan","Donaldson"," BIOL","1010","Jun","12","2009","2.0","2.0"
"Logan","Donaldson"," BIOL","1010","May","5","2009","4.5","2.0"
"Logan","Donaldson"," BIOL","1010","May","5","2009","5.0","1.0"
"Logan","Donaldson"," BIOL","1010","Mar","8","2009","2.0","3.0"
"Logan","Donaldson"," BIO","1010","Mar","4","2009","3.0","2.0"
"Logan","Donaldson"," BIOL","1010","Feb","25","2009","1.0","5.0"
"Logan","Donaldson"," BIOL","1010","Feb","20","2009","3.0","2.0"
"Logan","Donaldson"," BIOL","1010","Feb","18","2009","3.5","1.0"
"Logan","Donaldson"," BIOL","1010","Feb","7","2009","2.5","2.0"
"Logan","Donaldson"," BIOL","1010","Aug","17","2008","3.0","2.0"
"Logan","Donaldson"," BIOL","1010","Jul","17","2008","1.5","3.0"
"Logan","Donaldson"," BIOL","1010","May","21","2008","4.5","1.0"
"Logan","Donaldson"," BIO","1010","Jan","26","2008","1.0","5.0"
"Logan","Donaldson"," BIOL","1010","Jan","6","2008","3.5","5.0"
"Logan","Donaldson"," BIOL","1010","Jan","4","2008","2.5","3.0"
"Logan","Donaldson"," BIO","1010","Dec","23","2007","1.0","5.0"
"Logan","Donaldson"," BIOL","1010","Dec","18","2007","4.5","3.0"
"Logan","Donaldson"," BIOL","1010","Dec","13","2007","2.0","5.0"
"Logan","Donaldson"," BIOL","1010","Oct","2","2007","1.0","5.0"
"Logan","Donaldson"," BIO","1010","Jun","15","2007","4.5","1.0"
"Logan","Donaldson"," BIO","1010","May","13","2007","1.5","5.0"
"Logan","Donaldson"," CURR",NA,"Apr","27","2006","1.5","3.0"
"Logan","Donaldson"," BIOL","1010","Apr","2","2006","2.5","2.0"
"Logan","Donaldson"," BIO","1010","Mar","26","2006","3.0","2.0"
"Logan","Donaldson"," BIO","1010","Feb","9","2006","4.0","3.0"
"Logan","Donaldson"," BIO","1010","Feb","8","2006","2.5","2.0"
"Logan","Donaldson"," BIO",NA,"Feb","6","2006","4.5","3.0"
"Logan","Donaldson"," BIOL","1010","Jan","29","2006","1.0","3.0"
