"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Lucia","Gagliese","KINE","4710","Apr","26","2019","5.0","3.0"
"Lucia","Gagliese"," KINE","4710","Apr","1","2019","2.0","3.0"
"Lucia","Gagliese"," KINE","4710","Dec","14","2017","5.0","3.0"
"Lucia","Gagliese","KINE","4710","Mar","28","2016","2.5","4.0"
"Lucia","Gagliese","KINE","4710","Apr","26","2015","4.5","2.0"
"Lucia","Gagliese","KINE","4170","Sep","26","2013","4.5","1.0"
"Lucia","Gagliese"," KINE","4710","Apr","21","2013","5.0","2.0"
"Lucia","Gagliese"," KINE","4710","Jan","4","2012","4.0","2.0"
"Lucia","Gagliese"," KINE","1234","Aug","17","2006","1.0","3.0"
"Lucia","Gagliese"," KINE","2020","Mar","29","2006","5.0","2.0"
"Lucia","Gagliese"," KINE","2020","Jan","3","2006","5.0","1.0"
"Lucia","Gagliese"," KINE","2020","May","5","2005","4.5","2.0"
"Lucia","Gagliese"," KINE","2020","Apr","6","2005","4.5","3.0"
"Lucia","Gagliese"," 2020",NA,"Mar","8","2005","5.0","2.0"
"Lucia","Gagliese"," KINE","2020","May","3","2004","4.5","3.0"
"Lucia","Gagliese"," KINE","2020","Apr","23","2004","4.5","3.0"
"Lucia","Gagliese"," KINE","2020","Apr","5","2004","4.0","4.0"
"Lucia","Gagliese"," HEAL",NA,"Nov","28","2003","5.0","2.0"
"Lucia","Gagliese"," KINE","2020","Nov","15","2003","1.5","4.0"
"Lucia","Gagliese"," 2020",NA,"Sep","8","2003","1.0","4.0"
"Lucia","Gagliese"," KIN","2020","Jun","28","2003","3.5","2.0"
"Lucia","Gagliese"," 2020",NA,"May","30","2003","5.0","3.0"
"Lucia","Gagliese"," KINE","2020","Jan","6","2003","3.0","3.0"
"Lucia","Gagliese"," 2020",NA,"Jul","4","2002","1.0","5.0"
"Lucia","Gagliese"," KINE","2020","Apr","21","2002","5.0","2.0"
"Lucia","Gagliese"," KINE",NA,"Apr","14","2002","4.5","3.0"
"Lucia","Gagliese"," 2020",NA,"Apr","7","2002","1.0","4.0"
"Lucia","Gagliese"," KINE","2020","Apr","4","2002","5.0","2.0"
"Lucia","Gagliese"," KIN","2020","Feb","6","2002","3.0","3.0"
