"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Margarete","Wolfram"," PSY","2021","Jun","22","2016","4.0","3.0"
"Margarete","Wolfram"," PSYC","2021","May","2","2016","2.5","3.0"
"Margarete","Wolfram"," PSY","2021","Apr","11","2016","1.5","5.0"
"Margarete","Wolfram"," PSYC","2022","Apr","6","2016","5.0","1.0"
"Margarete","Wolfram"," PSY","2020","Mar","20","2016","3.0","3.0"
"Margarete","Wolfram"," PSYC","2021","Mar","10","2016","4.5","3.0"
"Margarete","Wolfram"," PSYC","2021","Feb","1","2016","5.0","3.0"
"Margarete","Wolfram"," PSY","2021","Jan","11","2016","4.0","2.0"
"Margarete","Wolfram"," PSYC","2021","Nov","26","2015","1.0","5.0"
"Margarete","Wolfram"," 2021",NA,"Jul","27","2015","3.0","4.0"
"Margarete","Wolfram"," PSYC","2021","May","25","2015","4.0","3.0"
"Margarete","Wolfram"," PSYC","2022","May","12","2015","3.0","4.0"
"Margarete","Wolfram"," PSYC","2021","May","11","2015","1.0","5.0"
"Margarete","Wolfram"," PSYC","2021","Apr","29","2015","4.0","2.0"
"Margarete","Wolfram"," PSYC","2021","Apr","6","2015","1.5","4.0"
"Margarete","Wolfram"," PSYC","2021","Apr","3","2015","3.5","4.0"
"Margarete","Wolfram"," PSYC","2021","Dec","18","2014","5.0","2.0"
"Margarete","Wolfram"," PSYC","2012","Sep","20","2014","1.0","5.0"
"Margarete","Wolfram"," PSYC","2021","Aug","3","2014","2.0","3.0"
"Margarete","Wolfram"," PSYC","2021","Jul","10","2014","1.0","5.0"
"Margarete","Wolfram"," STAT",NA,"Jun","28","2014","4.5","1.0"
"Margarete","Wolfram"," PSYC","2022","May","5","2014","3.5","2.0"
"Margarete","Wolfram"," PSYC","2022","Apr","28","2014","1.0","5.0"
"Margarete","Wolfram"," STAT","2022","Apr","15","2014","1.5","4.0"
"Margarete","Wolfram"," PSYC","2021","Jan","18","2014","2.5","4.0"
"Margarete","Wolfram"," PSYC","2022","Jan","10","2014","2.0","2.0"
"Margarete","Wolfram"," PSYC","2012","Dec","22","2013","4.0","1.0"
"Margarete","Wolfram"," PSYC","2021","Dec","19","2013","1.0","5.0"
"Margarete","Wolfram"," PSYC","2022","Oct","6","2013","1.0","3.0"
"Margarete","Wolfram"," PSYC","2021","Sep","20","2013","1.0","5.0"
"Margarete","Wolfram"," PSYC","2021","Sep","14","2013","5.0","2.0"
"Margarete","Wolfram"," PSYC","2021","Jul","18","2013","1.0","4.0"
"Margarete","Wolfram"," PSYC","2022","Apr","7","2013","3.5","4.0"
"Margarete","Wolfram"," 2021",NA,"Mar","21","2013","1.5","4.0"
"Margarete","Wolfram"," PSYC","2021","Feb","14","2013","5.0","1.0"
"Margarete","Wolfram"," PSYC","2021","Sep","4","2012","1.0","5.0"
"Margarete","Wolfram"," PSYC","2021","Jun","12","2012","1.0","4.0"
"Margarete","Wolfram"," PSYC","2021","Feb","26","2012","4.0","2.0"
"Margarete","Wolfram"," PSYC","2021","Jan","31","2012","2.5","4.0"
"Margarete","Wolfram"," PSYC","2021","Jan","28","2012","3.0","4.0"
"Margarete","Wolfram"," PSYC","2021","Oct","10","2011","2.0","4.0"
"Margarete","Wolfram"," PSYC","2021","Oct","4","2011","1.0","5.0"
"Margarete","Wolfram"," STAT","2021","Jun","14","2011","1.5","3.0"
"Margarete","Wolfram"," PSYC","2020","Oct","4","2010","1.0","2.0"
"Margarete","Wolfram"," PSY","2021","Sep","7","2010","1.0","5.0"
"Margarete","Wolfram"," PSY","2021","Feb","4","2010","1.0","4.0"
"Margarete","Wolfram"," STAT","2021","Jan","22","2010","1.0","5.0"
"Margarete","Wolfram"," STAT",NA,"Jan","11","2010","1.0","5.0"
"Margarete","Wolfram"," PSYC","2021","Jan","10","2010","1.0","5.0"
"Margarete","Wolfram"," PSYC","2021","Dec","20","2009","4.0","1.0"
"Margarete","Wolfram"," PSYC","2021","Dec","15","2009","2.0","4.0"
"Margarete","Wolfram"," PSYC","2021","Nov","25","2009","1.0","5.0"
"Margarete","Wolfram"," PSYC","2021","Nov","19","2009","2.0","5.0"
"Margarete","Wolfram"," PSYC","2020","Sep","21","2009","1.0","5.0"
"Margarete","Wolfram"," STAT","2020","Apr","8","2009","2.5","2.0"
"Margarete","Wolfram"," PSYC","2020","Mar","23","2009","2.5","3.0"
"Margarete","Wolfram"," PSYC","2021","Mar","8","2009","4.0","3.0"
"Margarete","Wolfram"," PSYC","2021","Feb","27","2009","1.0","2.0"
"Margarete","Wolfram"," PSYC","2021","Feb","18","2009","2.0","3.0"
"Margarete","Wolfram"," PSYC","2020","Nov","1","2008","3.5","2.0"
"Margarete","Wolfram"," PSYC",NA,"Oct","29","2008","1.0","5.0"
"Margarete","Wolfram"," PSYC","2030","Aug","13","2008","1.0","5.0"
"Margarete","Wolfram"," PSYC","2021","Aug","3","2008","2.5","2.0"
"Margarete","Wolfram"," PSYC","3010","Jul","20","2008","1.0","5.0"
