"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Margo","Gewurtz"," HUMA","2430","Sep","1","2009","1.0","5.0"
"Margo","Gewurtz"," HUMA","2430","Aug","14","2009","1.0","5.0"
"Margo","Gewurtz"," HUMA","2430","Aug","13","2009","1.0","5.0"
"Margo","Gewurtz"," HUMA","2430","Aug","12","2009","1.5","5.0"
"Margo","Gewurtz"," HUMA","2430","Aug","12","2009","1.5","5.0"
"Margo","Gewurtz"," HUMA","2430","Aug","8","2009","1.5","5.0"
"Margo","Gewurtz"," HUMA","2430","Mar","9","2009","2.0","5.0"
"Margo","Gewurtz"," HUMA","2430","Mar","6","2009","2.0","5.0"
"Margo","Gewurtz"," HUMA","2430","Jun","16","2008","1.0","5.0"
"Margo","Gewurtz"," HUMA","6101","Apr","29","2008","5.0","5.0"
"Margo","Gewurtz"," HUMA","2430","Apr","1","2008","1.5","5.0"
"Margo","Gewurtz"," HUMA","2430","Sep","11","2007","5.0","1.0"
"Margo","Gewurtz"," HUMA",NA,"Apr","29","2004","1.0","5.0"
"Margo","Gewurtz"," HUMA",NA,"Oct","11","2003","1.0","5.0"
"Margo","Gewurtz"," HUMA","200","Apr","10","2003","5.0","5.0"
"Margo","Gewurtz"," HUMN","200","Jan","13","2003","1.0","5.0"
