"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Marshall","Walker"," ITEC","2600","Oct","12","2016","2.0","2.0"
"Marshall","Walker"," ITEC","2600","Oct","12","2016","2.0","2.0"
"Marshall","Walker"," MATH","1019","May","5","2014","3.0","1.0"
"Marshall","Walker"," MATH","2001","Dec","25","2013","3.5","3.0"
"Marshall","Walker"," MTH","1190","Dec","19","2013","3.5","1.0"
"Marshall","Walker"," MATH","1190","Dec","5","2013","1.0","5.0"
"Marshall","Walker"," MATH","2320","Jan","19","2013","1.5","3.0"
"Marshall","Walker"," MATH","1190","Jan","11","2013","4.0","2.0"
"Marshall","Walker"," ECON","1540","Apr","12","2011","1.0","4.0"
"Marshall","Walker"," ECON","1540","Mar","29","2011","1.0","4.0"
"Marshall","Walker"," ECON","1540","Jan","28","2010","1.0","3.0"
"Marshall","Walker"," MATH","1540","Jan","24","2010","1.0","4.0"
"Marshall","Walker"," ECON","1540","Jan","21","2010","2.0","3.0"
"Marshall","Walker"," ITEC","1000","Nov","30","2009","1.0","1.0"
"Marshall","Walker"," MATH","1505","Jul","27","2009","2.0","1.0"
"Marshall","Walker"," MATH","1505","Jun","16","2009","1.0","1.0"
"Marshall","Walker"," ITEC","1000","May","30","2009","2.0","5.0"
"Marshall","Walker"," MATH","1505","May","5","2009","1.0","4.0"
"Marshall","Walker"," ITEC","1000","Apr","27","2009","1.0","5.0"
"Marshall","Walker"," ITEC","1000","Apr","20","2009","2.5","1.0"
"Marshall","Walker"," ITEC","1000","Feb","25","2009","3.0","3.0"
"Marshall","Walker"," MATH","3110","Feb","3","2009","4.0","2.0"
"Marshall","Walker"," MATH","3110","Aug","13","2007","3.0","3.0"
"Marshall","Walker"," MATH","1025","Aug","12","2007","5.0","2.0"
"Marshall","Walker"," MATH","1710","May","1","2007","3.5","2.0"
"Marshall","Walker"," MATH","1710","Feb","20","2006","2.5","3.0"
"Marshall","Walker"," MATH","1190","Jul","18","2005","2.5","5.0"
"Marshall","Walker"," ITEC","1620","Jul","18","2005","3.0","3.0"
"Marshall","Walker"," MATH","1300","Jun","27","2005","4.0","3.0"
"Marshall","Walker"," MATH","1700","Apr","22","2005","3.5","2.0"
"Marshall","Walker"," MATH","3110","Mar","31","2005","5.0","3.0"
"Marshall","Walker"," MATH","1700","Jan","13","2005","1.0","5.0"
"Marshall","Walker"," MATH","1700","Sep","21","2004","1.5","1.0"
"Marshall","Walker"," MATH","3210","Jun","15","2004","5.0","4.0"
"Marshall","Walker"," MATH","3210","Apr","12","2004","4.0","4.0"
"Marshall","Walker"," MATH","3210","Mar","16","2004","2.0","2.0"
"Marshall","Walker"," MATH","3210","Mar","10","2004","3.5","3.0"
"Marshall","Walker"," MATH","3100","Mar","7","2004","3.0","5.0"
"Marshall","Walker"," 3110",NA,"Feb","27","2004","2.0","4.0"
"Marshall","Walker"," MATH","3110","Nov","16","2003","2.0","4.0"
"Marshall","Walker"," MATH","3110","Oct","31","2003","4.5","2.0"
"Marshall","Walker"," MATH","3110","Oct","31","2003","2.5","2.0"
"Marshall","Walker"," MATH","1190","Sep","7","2003","2.0","3.0"
"Marshall","Walker"," MATH","1190","Jul","16","2003","4.0","2.0"
"Marshall","Walker"," MATH","1190","Jun","30","2003","4.0","1.0"
"Marshall","Walker"," MATH","1190","May","30","2003","4.0","3.0"
"Marshall","Walker"," MATH","1310","Apr","26","2003","1.5","5.0"
"Marshall","Walker"," 1190",NA,"Jan","9","2003","4.5","1.0"
"Marshall","Walker"," MATH","1710","Nov","8","2002","4.0","4.0"
"Marshall","Walker"," MATH","1710","Nov","5","2002","5.0","3.0"
"Marshall","Walker"," MATH","1310","Jul","19","2002","4.0","3.0"
"Marshall","Walker"," MATH","3210","Jul","13","2001","2.5","2.0"
