"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Mary","Desrocher"," PSYC","6905","Oct","18","2017","5.0","4.0"
"Mary","Desrocher"," PSYC","4000","Nov","24","2014","5.0","3.0"
"Mary","Desrocher"," PSYC","4080","May","9","2014","5.0","1.0"
"Mary","Desrocher"," NEUR","4000","Oct","12","2011","5.0","2.0"
"Mary","Desrocher"," PSYC","4080","Apr","13","2011","5.0","2.0"
"Mary","Desrocher"," PSYC","2323","Nov","16","2010","5.0","3.0"
"Mary","Desrocher"," PSYC","4080","Sep","13","2010","5.0","2.0"
"Mary","Desrocher"," PSYC","4020","Jul","16","2009","5.0","3.0"
"Mary","Desrocher"," PSYC","4080","Jul","6","2009","5.0","2.0"
"Mary","Desrocher"," PSYC","4080","Jun","4","2009","5.0","2.0"
"Mary","Desrocher"," PSYC","4080","May","24","2009","5.0","2.0"
"Mary","Desrocher"," PSYC","4080","May","18","2009","5.0","1.0"
"Mary","Desrocher"," PSYC","4080","Dec","8","2005","5.0","2.0"
"Mary","Desrocher"," PSYC",NA,"Apr","4","2005","5.0","3.0"
"Mary","Desrocher"," PSYC","4080","Jan","27","2005","5.0","2.0"
"Mary","Desrocher"," PSYC","6750","Nov","5","2004","5.0","2.0"
"Mary","Desrocher"," PSYC","4460","Sep","30","2004","5.0","2.0"
"Mary","Desrocher"," ATYP",NA,"Sep","27","2004","5.0","3.0"
"Mary","Desrocher"," PSYC","4460","Sep","27","2004","5.0","2.0"
"Mary","Desrocher"," ATYP",NA,"May","20","2004","5.0","2.0"
"Mary","Desrocher"," ATYP",NA,"Mar","26","2004","5.0","2.0"
"Mary","Desrocher"," PSY","4460","Dec","22","2003","5.0","3.0"
"Mary","Desrocher"," ATYP",NA,"Oct","20","2003","5.0","2.0"
"Mary","Desrocher"," ATYP",NA,"Jun","3","2003","5.0","1.0"
"Mary","Desrocher"," ATYP",NA,"Apr","24","2003","5.0","2.0"
"Mary","Desrocher"," PSYC","4460","Mar","20","2003","5.0","2.0"
"Mary","Desrocher"," AYTP",NA,"Jan","27","2003","5.0","2.0"
"Mary","Desrocher"," ATYP",NA,"Jan","25","2003","5.0","2.0"
"Mary","Desrocher"," ATYP",NA,"Dec","30","2002","5.0","1.0"
"Mary","Desrocher"," 4460",NA,"Apr","6","2002","5.0","1.0"
"Mary","Desrocher"," PSYC","4060","Apr","2","2002","5.0","2.0"
"Mary","Desrocher"," PSYC","2030","Jul","23","2001","5.0","2.0"
