"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Maxine","Wintre"," PSYC","2110","Dec","11","2018","2.0","5.0"
"Maxine","Wintre"," PSYC","2110","Dec","10","2018","2.0","3.0"
"Maxine","Wintre"," 2110","DEVE","Dec","4","2018","2.0","1.0"
"Maxine","Wintre"," 2110","DEVE","Nov","30","2018","1.0","5.0"
"Maxine","Wintre"," PSYC","2110","Nov","30","2017","2.0","4.0"
"Maxine","Wintre"," 2110","DEVE","Jan","5","2017","3.0","4.0"
"Maxine","Wintre"," PSYC","2110","Dec","29","2015","4.0","3.0"
"Maxine","Wintre"," 2110","DEVE","Dec","14","2015","2.5","4.0"
"Maxine","Wintre"," PSYC","2110","Dec","7","2015","4.0","4.0"
"Maxine","Wintre"," PSYC","2110","May","5","2015","1.5","5.0"
"Maxine","Wintre"," PSYC","2110","Apr","28","2015","1.0","5.0"
"Maxine","Wintre"," PSYC","2110","Apr","21","2015","1.0","3.0"
"Maxine","Wintre"," PSYC","2110","Mar","31","2015","3.0","4.0"
"Maxine","Wintre"," 2020",NA,"Dec","25","2014","2.0","4.0"
"Maxine","Wintre"," PSYC","2110","Dec","6","2014","2.0","5.0"
"Maxine","Wintre"," PSYC","2110","Dec","2","2014","4.5","3.0"
"Maxine","Wintre"," 2110",NA,"Nov","22","2014","1.0","3.0"
"Maxine","Wintre"," PSYC","2110","May","12","2014","1.0","4.0"
"Maxine","Wintre"," PSYC","2110","Apr","2","2014","5.0","1.0"
"Maxine","Wintre"," PSYC","2110","Feb","4","2014","1.5","3.0"
"Maxine","Wintre"," PSYC","2110","Jan","26","2014","1.0","5.0"
"Maxine","Wintre"," PSYC","2110","Jan","6","2014","3.5","5.0"
"Maxine","Wintre"," PSYC",NA,"Nov","29","2013","1.0","5.0"
"Maxine","Wintre"," DPSY",NA,"Aug","29","2012","3.0","4.0"
"Maxine","Wintre"," PSYC",NA,"Dec","7","2011","2.0","5.0"
"Maxine","Wintre"," PSYC","2110","May","20","2011","5.0","3.0"
"Maxine","Wintre"," DEVP",NA,"Dec","9","2010","3.0","5.0"
"Maxine","Wintre"," PSYC","2110","Mar","27","2009","3.5","5.0"
"Maxine","Wintre"," PSYC","2110","Feb","27","2009","2.5","5.0"
"Maxine","Wintre"," SEDE","1","Apr","30","2008","5.0","3.0"
"Maxine","Wintre"," DEVM","1","Apr","29","2008","5.0","3.0"
"Maxine","Wintre"," DEVQ",NA,"Apr","29","2008","5.0","3.0"
"Maxine","Wintre"," DEVE",NA,"Jan","1","2008","2.5","5.0"
"Maxine","Wintre"," LING","2110","Apr","22","2007","3.5","4.0"
"Maxine","Wintre"," PSYC","1010","Apr","1","2007","4.0","3.0"
"Maxine","Wintre"," PSYC","1010","Feb","23","2007","1.0","5.0"
"Maxine","Wintre"," PSYC","2021","Jan","28","2007","3.0","4.0"
"Maxine","Wintre"," PSYC","1010","Jan","4","2007","1.0","5.0"
"Maxine","Wintre"," PSYC","2210","Dec","1","2006","5.0","3.0"
"Maxine","Wintre"," PSYC","2120","Oct","2","2006","5.0","1.0"
"Maxine","Wintre"," PSYC","1010","Sep","5","2006","2.5","5.0"
"Maxine","Wintre"," PYSC","1010","Aug","23","2006","2.5","4.0"
"Maxine","Wintre"," PSYC","1010","Jul","31","2006","1.5","4.0"
"Maxine","Wintre"," PSYC","1010","Jul","16","2006","2.5","4.0"
"Maxine","Wintre"," PSYC","1010","Jun","29","2006","2.5","4.0"
"Maxine","Wintre"," DEVP",NA,"Jun","20","2006","4.0","2.0"
"Maxine","Wintre"," PSYC","1010","Jun","13","2006","5.0","1.0"
"Maxine","Wintre"," PSYC","1010","May","11","2006","3.0","3.0"
"Maxine","Wintre"," 2110","DEVE","Apr","11","2006","3.0","3.0"
"Maxine","Wintre"," PSYC","1010","Apr","10","2006","1.0","5.0"
"Maxine","Wintre"," 1010",NA,"Apr","2","2006","3.0","3.0"
"Maxine","Wintre"," DEVE",NA,"Mar","20","2006","4.5","3.0"
"Maxine","Wintre"," PSYC","1010","Mar","16","2006","5.0","4.0"
"Maxine","Wintre"," PSYC","1010","Feb","28","2006","4.0","3.0"
"Maxine","Wintre"," PSYC","1010","Dec","14","2005","1.5","3.0"
"Maxine","Wintre"," INTR",NA,"Dec","11","2005","1.0","4.0"
"Maxine","Wintre"," PSYC","1010","Dec","6","2005","4.5","3.0"
"Maxine","Wintre"," PSYC","1010","Oct","12","2005","3.0","3.0"
"Maxine","Wintre"," PSYC","1010","Aug","15","2005","1.0","5.0"
"Maxine","Wintre"," PSYC","1010","Aug","9","2005","1.0","5.0"
"Maxine","Wintre"," PSYC","1010","Aug","9","2005","3.0","3.0"
"Maxine","Wintre"," PSYC","1010","Jul","30","2005","3.5","2.0"
"Maxine","Wintre"," 101",NA,"Jul","27","2005","3.0","3.0"
"Maxine","Wintre"," PSYC","1010","Jul","22","2005","1.0","5.0"
"Maxine","Wintre"," PSYC","1010","Jul","18","2005","1.0","5.0"
"Maxine","Wintre"," PSYC","1010","Jun","20","2005","3.5","3.0"
"Maxine","Wintre"," PSYC","1010","Apr","26","2005","4.0","4.0"
"Maxine","Wintre"," DEVE",NA,"Apr","3","2005","2.0","4.0"
"Maxine","Wintre"," PSYC",NA,"Mar","18","2005","1.5","5.0"
"Maxine","Wintre"," PSYC","1010","Mar","4","2005","1.5","4.0"
"Maxine","Wintre"," PSYC","1010","Feb","8","2005","4.5","4.0"
"Maxine","Wintre"," PSY","1001","Jan","8","2005","1.0","4.0"
"Maxine","Wintre"," INTR",NA,"Jan","7","2005","2.0","3.0"
"Maxine","Wintre"," PSYC","1010","Nov","18","2004","2.0","5.0"
"Maxine","Wintre"," PSHY",NA,"Nov","17","2004","1.0","5.0"
"Maxine","Wintre"," INTR",NA,"Nov","9","2004","1.0","5.0"
