"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Michail","Vitopoulos"," GRK","1000","Dec","9","2018","5.0","3.0"
"Michail","Vitopoulos"," GR","4600","Feb","24","2018","5.0","2.0"
"Michail","Vitopoulos"," GREE","1000","Jan","24","2016","1.0","5.0"
"Michail","Vitopoulos"," GKM","1000","Sep","11","2014","4.0","2.0"
"Michail","Vitopoulos"," 4000",NA,"Apr","2","2013","5.0","1.0"
"Michail","Vitopoulos"," GKM","2000","Oct","6","2011","5.0","2.0"
"Michail","Vitopoulos"," GRK","1000","May","30","2011","4.5","2.0"
"Michail","Vitopoulos"," GKM","1000","Apr","12","2011","3.0","3.0"
"Michail","Vitopoulos"," GKM","1000","Jun","5","2008","2.0","2.0"
"Michail","Vitopoulos"," GKM","1000","Dec","19","2007","5.0","5.0"
"Michail","Vitopoulos"," GKM","1000","Mar","1","2006","5.0","1.0"
"Michail","Vitopoulos"," GKM","1000","Dec","15","2005","3.0","4.0"
"Michail","Vitopoulos"," GR","1000","Oct","27","2005","4.0","3.0"
"Michail","Vitopoulos"," GREE",NA,"Sep","16","2004","4.0","2.0"
"Michail","Vitopoulos"," GREE",NA,"Jul","10","2004","4.5","4.0"
"Michail","Vitopoulos"," GKM","1000","Mar","24","2004","1.5","3.0"
"Michail","Vitopoulos"," GREE","1000","Mar","4","2004","5.0","3.0"
"Michail","Vitopoulos"," GR","4600","Feb","10","2004","5.0","3.0"
"Michail","Vitopoulos"," GREE","1000","Dec","14","2003","5.0","3.0"
"Michail","Vitopoulos"," GREE",NA,"Sep","10","2003","5.0","3.0"
"Michail","Vitopoulos"," LANG",NA,"Aug","11","2003","5.0","5.0"
"Michail","Vitopoulos"," GREE",NA,"Aug","3","2003","5.0","4.0"
"Michail","Vitopoulos"," GREE","2000","Jul","16","2003","4.5","3.0"
"Michail","Vitopoulos"," 1000",NA,"Jun","24","2003","5.0","4.0"
"Michail","Vitopoulos"," 1000",NA,"Mar","23","2003","5.0","1.0"
"Michail","Vitopoulos"," GREE","1000","Mar","3","2003","2.0","5.0"
"Michail","Vitopoulos"," ENG","101","Apr","14","2002","5.0","1.0"
