"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Morton","Abramson"," MATH","3260","Mar","22","2016","5.0","1.0"
"Morton","Abramson"," ECON","1530","Aug","5","2009","5.0","2.0"
"Morton","Abramson"," ECON","1530","Mar","29","2009","5.0","1.0"
"Morton","Abramson"," ECON","1530","Aug","9","2008","5.0","1.0"
"Morton","Abramson"," ECON","1530","Nov","3","2007","5.0","2.0"
"Morton","Abramson"," MATH","1550","Jan","1","2007","4.5","2.0"
"Morton","Abramson"," MATH","1530","Sep","17","2006","5.0","2.0"
"Morton","Abramson"," ECON","1530","Feb","21","2006","5.0","4.0"
"Morton","Abramson"," ECON","1530","Jan","4","2006","3.5","1.0"
"Morton","Abramson"," ECON","1530","Jan","3","2006","4.5","1.0"
"Morton","Abramson"," MATH","1530","Oct","17","2005","5.0","1.0"
"Morton","Abramson"," ECON","1530","Sep","19","2005","4.0","1.0"
"Morton","Abramson"," ECON",NA,"Jun","15","2005","3.5","3.0"
"Morton","Abramson"," MATH","1530","Apr","25","2005","5.0","1.0"
"Morton","Abramson"," 1540",NA,"Apr","15","2005","5.0","1.0"
"Morton","Abramson"," ECON","1530","Apr","7","2005","5.0","1.0"
"Morton","Abramson"," 1540",NA,"Mar","22","2005","4.0","1.0"
"Morton","Abramson"," ECON","1530","Mar","11","2005","4.5","2.0"
"Morton","Abramson"," ECON","1530","Mar","9","2005","5.0","1.0"
"Morton","Abramson"," ECON","1530","Feb","15","2005","4.0","3.0"
"Morton","Abramson"," ECON","1540","Jan","17","2005","4.5","1.0"
"Morton","Abramson"," ECON","1530","Jan","4","2005","4.5","2.0"
"Morton","Abramson"," ECON","1530","Dec","17","2004","5.0","1.0"
"Morton","Abramson"," MATH",NA,"Aug","5","2004","5.0","2.0"
"Morton","Abramson"," MATH","1550","May","26","2004","5.0","2.0"
"Morton","Abramson"," MATH","1540","May","16","2004","4.0","1.0"
"Morton","Abramson"," MATH","1550","Apr","6","2004","2.0","4.0"
"Morton","Abramson"," 1540",NA,"Apr","2","2004","4.0","2.0"
"Morton","Abramson"," ECON","1540","Mar","31","2004","4.5","1.0"
"Morton","Abramson"," 1530",NA,"Mar","31","2004","2.5","2.0"
"Morton","Abramson"," ECON","1540","Mar","22","2004","5.0","1.0"
"Morton","Abramson"," ECON","1540","Mar","22","2004","3.5","2.0"
"Morton","Abramson"," MATH",NA,"Oct","31","2003","5.0","2.0"
"Morton","Abramson"," MATH",NA,"Jul","27","2003","3.5","2.0"
"Morton","Abramson"," 1550",NA,"Jul","10","2003","3.5","1.0"
"Morton","Abramson"," MAT","1550","Jul","1","2003","5.0","1.0"
"Morton","Abramson"," MATH","1550","May","25","2003","5.0","1.0"
"Morton","Abramson"," MATH","1550","Apr","9","2003","5.0","1.0"
"Morton","Abramson"," MATH","1550","Apr","4","2003","5.0","1.0"
"Morton","Abramson"," MATH","1550","Mar","26","2003","5.0","1.0"
"Morton","Abramson"," MATH","1550","Mar","25","2003","5.0","1.0"
"Morton","Abramson"," 1550",NA,"Mar","22","2003","5.0","1.0"
"Morton","Abramson"," MATH","1540","Mar","5","2003","5.0","2.0"
"Morton","Abramson"," MATH",NA,"Feb","26","2003","2.5","1.0"
"Morton","Abramson"," 1540",NA,"Jan","7","2003","3.5","1.0"
"Morton","Abramson"," MATH","1550","Dec","16","2002","1.0","5.0"
"Morton","Abramson"," 1550",NA,"Nov","28","2002","5.0","1.0"
"Morton","Abramson"," 1550",NA,"Nov","24","2002","1.0","5.0"
"Morton","Abramson"," MATH","501","Oct","22","2002","4.0","2.0"
"Morton","Abramson"," MATH","1550","Oct","17","2002","4.0","1.0"
"Morton","Abramson"," MATH","1550","Oct","10","2002","1.5","2.0"
"Morton","Abramson"," ECON","1530","Sep","8","2002","4.5","1.0"
"Morton","Abramson"," 1540",NA,"Aug","25","2002","4.5","3.0"
"Morton","Abramson"," 1540",NA,"Aug","25","2002","4.5","3.0"
"Morton","Abramson"," MATH","1530","Jun","18","2002","1.0","4.0"
"Morton","Abramson"," 1550",NA,"May","20","2002","5.0","2.0"
"Morton","Abramson"," ECON","1530","May","2","2002","4.0","2.0"
"Morton","Abramson"," MATH","1550","Apr","22","2002","1.0","4.0"
"Morton","Abramson"," MATH","1550","Apr","17","2002","1.0","4.0"
"Morton","Abramson"," 1550",NA,"Apr","16","2002","1.5","3.0"
"Morton","Abramson"," 1550",NA,"Apr","15","2002","2.0","3.0"
"Morton","Abramson"," MATH","1550","Apr","15","2002","5.0","1.0"
"Morton","Abramson"," MATH","1550","Apr","15","2002","1.5","3.0"
"Morton","Abramson"," 1530",NA,"Apr","7","2002","2.0","3.0"
"Morton","Abramson"," MATH","1550","Apr","1","2002","3.0","3.0"
"Morton","Abramson"," ECON","1530","Mar","19","2002","3.0","2.0"
"Morton","Abramson"," 1550",NA,"Mar","19","2002","2.0","1.0"
"Morton","Abramson"," MATH","2520","Feb","18","2002","3.0","1.0"
"Morton","Abramson"," 1550",NA,"Feb","6","2002","3.5","3.0"
"Morton","Abramson"," MATH",NA,"Nov","15","2001","1.0","3.0"
"Morton","Abramson"," MATH","2580","Jul","6","2001","4.5","3.0"
