"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Nick","Balaskas"," PHYS","1010","Feb","10","2016","4.0","1.0"
"Nick","Balaskas"," PHYS","1420","Sep","3","2012","5.0","3.0"
"Nick","Balaskas"," PHYI",NA,"May","3","2007","5.0","1.0"
"Nick","Balaskas"," PHYS","1410","Apr","7","2005","5.0","3.0"
"Nick","Balaskas"," PHYS","1010","May","4","2004","5.0","1.0"
"Nick","Balaskas"," 1410",NA,"Nov","28","2003","5.0","1.0"
"Nick","Balaskas"," PHYS","1410","Oct","23","2003","5.0","1.0"
"Nick","Balaskas"," 1410",NA,"Aug","18","2003","5.0","3.0"
"Nick","Balaskas"," 1410",NA,"Apr","24","2003","5.0","1.0"
"Nick","Balaskas"," 1410",NA,"Mar","22","2003","5.0","1.0"
"Nick","Balaskas"," 1010",NA,"Jan","26","2003","5.0","3.0"
"Nick","Balaskas"," 1010",NA,"Dec","21","2002","5.0","1.0"
"Nick","Balaskas"," PHYS","1410","Dec","19","2002","5.0","1.0"
"Nick","Balaskas"," PHYS",NA,"Nov","20","2002","5.0","1.0"
"Nick","Balaskas"," 1010",NA,"Nov","20","2002","5.0","1.0"
"Nick","Balaskas"," PHYS","10","Nov","18","2002","5.0","1.0"
"Nick","Balaskas"," 1010",NA,"Nov","14","2002","5.0","3.0"
"Nick","Balaskas"," 1410",NA,"Nov","11","2002","5.0","1.0"
"Nick","Balaskas"," 1010",NA,"Nov","5","2002","5.0","1.0"
"Nick","Balaskas"," 1410",NA,"Nov","4","2002","5.0","3.0"
"Nick","Balaskas"," 1410",NA,"Oct","26","2002","5.0","1.0"
"Nick","Balaskas"," 1410",NA,"Oct","26","2002","5.0","1.0"
"Nick","Balaskas"," 1410",NA,"Sep","3","2002","5.0","1.0"
"Nick","Balaskas"," LABP","10","May","6","2002","5.0","2.0"
"Nick","Balaskas"," 1410",NA,"May","3","2002","5.0","1.0"
"Nick","Balaskas"," 1010",NA,"Apr","11","2002","5.0","1.0"
"Nick","Balaskas"," 1010",NA,"Apr","10","2002","5.0","1.0"
"Nick","Balaskas"," 1010",NA,"Apr","4","2002","5.0","1.0"
"Nick","Balaskas"," PHYS","1010","Apr","3","2002","5.0","3.0"
"Nick","Balaskas"," PHYS","1410","Apr","2","2002","4.5","3.0"
"Nick","Balaskas"," 1010",NA,"Mar","20","2002","5.0","1.0"
"Nick","Balaskas"," 1410",NA,"Mar","17","2002","5.0","1.0"
"Nick","Balaskas"," 1410",NA,"Mar","15","2002","5.0","1.0"
"Nick","Balaskas"," PHYS","1410","Mar","14","2002","4.5","2.0"
"Nick","Balaskas"," 1010",NA,"Feb","28","2002","5.0","1.0"
"Nick","Balaskas"," 1410",NA,"Feb","26","2002","2.5","3.0"
"Nick","Balaskas"," 1710",NA,"Feb","21","2002","4.5","1.0"
"Nick","Balaskas"," PHY","1410","Feb","5","2002","5.0","3.0"
"Nick","Balaskas"," PHYS","1410","Feb","4","2002","3.5","1.0"
"Nick","Balaskas"," PHYS","1410","Jan","25","2002","5.0","1.0"
"Nick","Balaskas"," PHYS","1010","Jan","17","2002","5.0","3.0"
