"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Norman","Gledhill"," KINE","1020","May","2","2013","4.0","5.0"
"Norman","Gledhill"," KINE","1020","Feb","15","2013","1.0","5.0"
"Norman","Gledhill"," KINE","1020","Jun","13","2010","4.0","5.0"
"Norman","Gledhill"," KINE","1020","Apr","28","2009","5.0","5.0"
"Norman","Gledhill"," KINE","1020","Mar","8","2009","4.0","4.0"
"Norman","Gledhill"," KINE","1020","Feb","2","2009","5.0","5.0"
"Norman","Gledhill"," KINE","1020","Oct","11","2008","4.0","4.0"
"Norman","Gledhill"," KINE","1020","Sep","30","2008","3.0","4.0"
"Norman","Gledhill"," KINE","1020","Aug","11","2008","4.5","3.0"
"Norman","Gledhill"," KINE","1020","Jun","21","2008","3.5","4.0"
"Norman","Gledhill"," KINE","1020","Mar","19","2008","5.0","2.0"
"Norman","Gledhill"," KINE","1020","Jul","6","2007","3.5","5.0"
"Norman","Gledhill"," KINE","1020","Apr","18","2007","3.5","5.0"
"Norman","Gledhill"," KINE","1020","Apr","15","2007","4.0","4.0"
"Norman","Gledhill"," KINE","1020","Mar","16","2007","2.5","4.0"
"Norman","Gledhill"," KIN","1020","Jun","24","2006","3.0","3.0"
"Norman","Gledhill"," KINE","1020","May","20","2006","5.0","3.0"
"Norman","Gledhill"," KINE","1020","Apr","15","2006","3.5","5.0"
"Norman","Gledhill"," KINE","1020","Apr","1","2006","5.0","5.0"
"Norman","Gledhill"," KINE","1020","Mar","29","2006","4.5","3.0"
"Norman","Gledhill"," KINE","1020","Mar","23","2006","2.5","4.0"
"Norman","Gledhill"," KINE","1020","Jan","14","2006","2.0","5.0"
"Norman","Gledhill"," KINE","1020","Jan","5","2006","2.0","5.0"
"Norman","Gledhill"," KINE","1020","Nov","29","2005","4.0","3.0"
"Norman","Gledhill"," 1020",NA,"Sep","10","2005","3.0","4.0"
"Norman","Gledhill"," FIRE",NA,"Jul","12","2005","4.0","1.0"
"Norman","Gledhill"," KINE","1020","Jun","20","2005","3.0","3.0"
"Norman","Gledhill"," KINE","1020","Jun","20","2005","3.0","4.0"
"Norman","Gledhill"," KINE","1020","May","7","2005","2.5","3.0"
"Norman","Gledhill"," KINE","1020","May","1","2005","5.0","4.0"
"Norman","Gledhill"," 1020",NA,"Apr","29","2005","4.0","4.0"
"Norman","Gledhill"," KINE","1020","Apr","28","2005","5.0","1.0"
"Norman","Gledhill"," FITA",NA,"Apr","20","2005","3.0","3.0"
"Norman","Gledhill"," KIN","1020","Apr","14","2005","1.0","4.0"
"Norman","Gledhill"," KINE","1020","Apr","8","2005","3.0","4.0"
"Norman","Gledhill"," KINE","1020","Apr","1","2005","3.0","3.0"
"Norman","Gledhill"," KINE",NA,"Mar","23","2005","1.0","1.0"
"Norman","Gledhill"," FITN",NA,"Mar","22","2005","2.0","2.0"
"Norman","Gledhill"," KINE","1020","Mar","21","2005","1.0","5.0"
"Norman","Gledhill"," KINE","1020","Mar","6","2005","3.5","2.0"
"Norman","Gledhill"," KINE","1020","Jan","14","2005","1.0","5.0"
"Norman","Gledhill"," KINE","1020","Jan","14","2005","1.0","5.0"
"Norman","Gledhill"," KINE","1020","Jan","14","2005","1.0","5.0"
"Norman","Gledhill"," KIN","1010","Jan","8","2005","1.0","5.0"
"Norman","Gledhill"," ASKI","1020","Jan","6","2005","5.0","2.0"
