"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Paul","Wayne"," MPPA","620","Jul","14","2013","3.5","3.0"
"Paul","Wayne"," ADMS","4510","Sep","25","2011","5.0","1.0"
"Paul","Wayne"," ADMS","4510","Jun","10","2011","3.5","5.0"
"Paul","Wayne"," MPPA","6200","Nov","15","2010","4.0","4.0"
"Paul","Wayne"," PPAL","6200","Aug","26","2010","1.0","5.0"
"Paul","Wayne"," PPAL","6200","Jun","28","2010","2.0","5.0"
"Paul","Wayne"," ADMS","4510","Jun","9","2009","4.5","5.0"
"Paul","Wayne"," ADMS","3585","Sep","5","2006","4.0","4.0"
"Paul","Wayne"," 4510",NA,"Jul","12","2006","5.0","4.0"
"Paul","Wayne"," ADMS","4510","May","31","2006","5.0","4.0"
"Paul","Wayne"," MANA",NA,"Aug","13","2005","5.0","4.0"
"Paul","Wayne"," MNGT",NA,"Jun","18","2005","5.0","5.0"
"Paul","Wayne"," ACTG","3020","Feb","4","2005","5.0","5.0"
"Paul","Wayne"," MGMT",NA,"Aug","31","2004","3.5","3.0"
"Paul","Wayne"," ACTG","3010","Feb","25","2004","2.0","4.0"
"Paul","Wayne"," MGMT",NA,"Nov","23","2003","1.0","3.0"
"Paul","Wayne"," ACTG","3010","Nov","15","2003","5.0","2.0"
"Paul","Wayne"," ACTG","3020","Apr","18","2003","5.0","5.0"
"Paul","Wayne"," ACTG",NA,"Mar","30","2003","5.0","4.0"
"Paul","Wayne"," 3020","C","Mar","13","2003","5.0","5.0"
"Paul","Wayne"," MGMT",NA,"Feb","15","2003","2.5","5.0"
"Paul","Wayne"," ACTG",NA,"Jan","13","2003","5.0","3.0"
"Paul","Wayne"," COST",NA,"Jan","2","2003","5.0","3.0"
"Paul","Wayne"," COST",NA,"Dec","30","2002","5.0","3.0"
"Paul","Wayne"," 3020","C","Dec","19","2002","5.0","3.0"
"Paul","Wayne"," 3020",NA,"Dec","18","2002","4.5","5.0"
"Paul","Wayne"," 3020",NA,"Dec","18","2002","4.5","4.0"
"Paul","Wayne"," ACTG","3200","Dec","18","2002","4.0","5.0"
"Paul","Wayne"," ACTG",NA,"Nov","8","2002","1.0","5.0"
"Paul","Wayne"," ACTG","3020","Jun","21","2002","1.0","5.0"
"Paul","Wayne"," ACTG","3020","Apr","28","2002","2.0","5.0"
"Paul","Wayne"," ACTG","3020","Apr","22","2002","3.5","5.0"
"Paul","Wayne"," ACTG","3020","Apr","7","2002","1.0","5.0"
"Paul","Wayne"," ACTG","3020","Mar","5","2002","1.0","5.0"
"Paul","Wayne"," ACTG","3020","Feb","8","2002","5.0","4.0"
"Paul","Wayne"," ACTG",NA,"Feb","4","2002","1.5","5.0"
"Paul","Wayne"," ACTG","3020","Feb","4","2002","1.5","4.0"
"Paul","Wayne"," ACCT","3020","Sep","25","2001","2.0","5.0"
"Paul","Wayne"," ACCT",NA,"Sep","25","2001","2.5","5.0"
