"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Paul","Delaney"," PHY","1410","Apr","22","2020","5.0","2.0"
"Paul","Delaney"," PHYS","1410","Jan","8","2020","5.0","3.0"
"Paul","Delaney"," PHYS","1410","Sep","21","2019","5.0","4.0"
"Paul","Delaney","NATS","1880","Dec","14","2017","4.0","2.0"
"Paul","Delaney","NATS","1880","May","14","2017","4.0","3.0"
"Paul","Delaney"," PHYS","1410","Nov","21","2016","1.0","4.0"
"Paul","Delaney"," PHYS","1410","Nov","21","2016","2.0","4.0"
"Paul","Delaney"," PHYS","1070","Nov","7","2016","5.0","1.0"
"Paul","Delaney","NATS","1880","Mar","14","2016","5.0","2.0"
"Paul","Delaney"," NATS","1880","Nov","15","2015","5.0","2.0"
"Paul","Delaney"," NATS","1880","Oct","14","2015","5.0","1.0"
"Paul","Delaney"," NATS","1880","Feb","26","2015","4.5","3.0"
"Paul","Delaney"," NATS","1180","Nov","19","2014","5.0","2.0"
"Paul","Delaney"," NATS","1880","Aug","4","2014","5.0","1.0"
"Paul","Delaney"," NATS","1880","Apr","13","2014","4.5","1.0"
"Paul","Delaney"," NATS","1880","Jan","18","2014","5.0","2.0"
"Paul","Delaney"," NATS","1880","Jan","12","2014","4.0","3.0"
"Paul","Delaney"," PHYS","1470","Dec","23","2013","5.0","3.0"
"Paul","Delaney"," NATS","1880","Dec","4","2013","1.0","5.0"
"Paul","Delaney"," NATS","1880","Nov","13","2013","5.0","3.0"
"Paul","Delaney"," PHYS","1470","Jul","11","2013","5.0","4.0"
"Paul","Delaney"," PHYS","1470","Apr","8","2013","4.0","4.0"
"Paul","Delaney"," NATS","1880","Dec","21","2012","4.5","2.0"
"Paul","Delaney"," NATS","1880","Mar","30","2012","5.0","1.0"
"Paul","Delaney"," BC","1800","Apr","21","2009","3.5","5.0"
"Paul","Delaney"," BC","1800","Mar","8","2009","4.0","4.0"
"Paul","Delaney"," NATS",NA,"Nov","5","2006","1.0","5.0"
"Paul","Delaney"," PHYS","1070","Jul","27","2006","5.0","3.0"
"Paul","Delaney"," NATS","1740","Jul","26","2006","5.0","3.0"
"Paul","Delaney"," NATS","1880","Jul","3","2006","4.0","2.0"
"Paul","Delaney"," NATS","1880","Apr","27","2006","5.0","2.0"
"Paul","Delaney"," NATU",NA,"Apr","16","2006","5.0","2.0"
"Paul","Delaney"," BC","1800","Nov","3","2005","5.0","3.0"
"Paul","Delaney"," ASTR",NA,"Nov","2","2005","5.0","3.0"
"Paul","Delaney"," PHYS","1070","Nov","1","2005","5.0","2.0"
"Paul","Delaney"," BETH","1800","Jun","21","2005","4.5","2.0"
"Paul","Delaney"," BC","1800","Apr","14","2005","5.0","3.0"
"Paul","Delaney"," NATS","1740","Dec","4","2004","4.5","2.0"
"Paul","Delaney"," ASTR",NA,"Nov","27","2004","4.0","3.0"
"Paul","Delaney"," PHYS","1070","Nov","1","2004","5.0","1.0"
"Paul","Delaney"," NATS","1740","Jul","12","2004","5.0","2.0"
"Paul","Delaney"," PREZ","0304","Apr","22","2004","5.0","1.0"
"Paul","Delaney"," 1740",NA,"Apr","6","2004","1.5","4.0"
"Paul","Delaney"," BC","1800","Mar","29","2004","5.0","2.0"
"Paul","Delaney"," NATU",NA,"Mar","25","2004","5.0","4.0"
"Paul","Delaney"," NATS","1740","Mar","4","2004","5.0","3.0"
"Paul","Delaney"," 1800","D","Nov","2","2003","5.0","1.0"
"Paul","Delaney"," ASTR",NA,"Aug","17","2003","5.0","2.0"
"Paul","Delaney"," NATS","1740","Aug","13","2003","4.5","1.0"
"Paul","Delaney"," PHYS","1070","Aug","8","2003","5.0","1.0"
"Paul","Delaney"," NATS","1740","Aug","5","2003","5.0","2.0"
"Paul","Delaney"," BETH",NA,"Jun","13","2003","5.0","1.0"
"Paul","Delaney"," NATS","1740","Mar","18","2003","5.0","3.0"
"Paul","Delaney"," NATS","1740","Jan","20","2003","4.0","3.0"
"Paul","Delaney"," ASTR",NA,"Jan","9","2003","5.0","3.0"
"Paul","Delaney"," NATS","1740","Dec","22","2002","5.0","3.0"
"Paul","Delaney"," PHYS","1070","Dec","19","2002","4.5","3.0"
"Paul","Delaney"," NATS","1740","Oct","19","2002","5.0","1.0"
"Paul","Delaney"," NATS","1740","Sep","20","2002","4.0","3.0"
"Paul","Delaney"," NATS","1740","May","20","2002","4.5","1.0"
"Paul","Delaney"," NATS","1740","Apr","22","2002","5.0","2.0"
"Paul","Delaney"," PHYS","1070","Apr","3","2002","1.0","5.0"
"Paul","Delaney"," 1800","D","Apr","2","2002","5.0","1.0"
"Paul","Delaney"," NATS","1740","Mar","30","2002","5.0","3.0"
"Paul","Delaney"," NATS","1740","Mar","28","2002","5.0","2.0"
"Paul","Delaney"," NATS","1740","Mar","19","2002","5.0","1.0"
"Paul","Delaney"," NATS","1740","Mar","1","2002","5.0","1.0"
"Paul","Delaney"," NATS","1740","Feb","27","2002","5.0","2.0"
"Paul","Delaney"," NATS","1740","Feb","6","2002","5.0","1.0"
"Paul","Delaney"," NATS","1740","Feb","6","2002","5.0","2.0"
"Paul","Delaney"," 1740",NA,"Jan","24","2002","5.0","2.0"
"Paul","Delaney"," PHYS","1070","Jan","22","2002","5.0","2.0"
"Paul","Delaney"," NATS","1740","Jan","1","2002","5.0","1.0"
"Paul","Delaney"," NATS","1740","Sep","16","2001","5.0","2.0"
"Paul","Delaney"," AST",NA,"Sep","10","2001","5.0","1.0"
"Paul","Delaney"," ASTR",NA,"Sep","4","2001","5.0","4.0"
"Paul","Delaney"," NATS","1740","Aug","28","2001","5.0","2.0"
