"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Peter","Cribb"," EECS","1012","Jan","8","2020","3.0","3.0"
"Peter","Cribb"," EECS","1012","Jan","5","2020","2.0","1.0"
"Peter","Cribb"," EECS","1012","Jan","4","2020","3.0","4.0"
"Peter","Cribb"," EECS","1012","Dec","24","2019","2.0","3.0"
"Peter","Cribb"," EECS","3000","Dec","24","2019","5.0","5.0"
"Peter","Cribb"," CSE","3000","Dec","10","2019","1.0","3.0"
"Peter","Cribb"," EECS","3000","Oct","26","2019","1.0","5.0"
"Peter","Cribb"," EECS","3000","Jan","6","2019","1.0","4.0"
"Peter","Cribb"," EECS","1530","Sep","19","2018","4.0","3.0"
"Peter","Cribb"," EECS","3000","Sep","1","2018","2.0","4.0"
"Peter","Cribb"," EECS","3000","Jan","21","2016","1.0","5.0"
"Peter","Cribb"," EECS","3000","Dec","21","2015","2.0","4.0"
"Peter","Cribb"," EECS","3000","Dec","7","2015","3.5","5.0"
"Peter","Cribb"," CS","3000","Nov","20","2015","1.0","5.0"
"Peter","Cribb"," COS","101","Nov","11","2015","1.0","5.0"
"Peter","Cribb"," CSE","3000","Jan","6","2014","4.0","3.0"
"Peter","Cribb"," CSE","3000","Jan","2","2014","4.5","3.0"
"Peter","Cribb"," CSE","3000","Sep","23","2013","4.0","3.0"
"Peter","Cribb"," CSEA",NA,"Jan","7","2013","2.5","3.0"
"Peter","Cribb"," CSE","3000","Dec","29","2011","5.0","1.0"
"Peter","Cribb"," CSE","3000","Dec","21","2011","5.0","3.0"
"Peter","Cribb"," CSE","3","Oct","18","2011","2.0","5.0"
"Peter","Cribb"," CSE","1530","Apr","18","2008","5.0","2.0"
"Peter","Cribb"," CSE","1530","Apr","15","2008","2.5","5.0"
"Peter","Cribb"," CSE","1530","Mar","3","2008","5.0","4.0"
"Peter","Cribb"," CSE","1530","Jan","8","2008","5.0","2.0"
"Peter","Cribb"," COSC","1530","Apr","13","2005","2.5","2.0"
"Peter","Cribb"," COSC","1530","Mar","26","2005","2.5","3.0"
"Peter","Cribb"," 1020",NA,"Feb","12","2005","5.0","4.0"
"Peter","Cribb"," COSC","1030","Dec","6","2004","1.0","5.0"
"Peter","Cribb"," COMP",NA,"Oct","27","2004","2.0","5.0"
"Peter","Cribb"," COSC","1030","Sep","7","2004","4.5","3.0"
"Peter","Cribb"," COSC","1020","Nov","22","2003","5.0","3.0"
"Peter","Cribb"," COSC","1030","Sep","4","2003","4.0","2.0"
"Peter","Cribb"," COSC","1030","Sep","4","2003","4.0","1.0"
"Peter","Cribb"," 1030",NA,"Jul","28","2003","5.0","4.0"
"Peter","Cribb"," COSC","1020","Jul","23","2003","4.0","3.0"
"Peter","Cribb"," COSC","1030","Jun","22","2003","4.0","4.0"
"Peter","Cribb"," 1020",NA,"Jun","3","2003","5.0","3.0"
"Peter","Cribb"," 1020",NA,"Apr","24","2003","5.0","1.0"
"Peter","Cribb"," COSC","1020","Jan","10","2003","3.5","3.0"
"Peter","Cribb"," ADVI",NA,"Dec","20","2002","5.0","1.0"
"Peter","Cribb"," 1020",NA,"Dec","17","2002","4.0","2.0"
"Peter","Cribb"," 1020",NA,"Dec","8","2002","2.0","3.0"
"Peter","Cribb"," SOSC","1020","Oct","2","2002","1.0","5.0"
"Peter","Cribb"," COSC","1020","Mar","29","2002","2.5","3.0"
"Peter","Cribb"," COS","1020","Feb","9","2002","5.0","5.0"
"Peter","Cribb"," COSC",NA,"Feb","8","2002","5.0","1.0"
"Peter","Cribb"," COSC","1020","Jan","25","2002","1.0","5.0"
"Peter","Cribb"," 1020",NA,"Jan","5","2002","1.5","4.0"
