"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Phil","Olin"," MATH","1581","May","1","2012","5.0","2.0"
"Phil","Olin"," MAT","1510","Dec","5","2011","3.5","3.0"
"Phil","Olin"," MATH","1581","May","12","2010","2.5","5.0"
"Phil","Olin"," MATH","1510","May","3","2010","5.0","2.0"
"Phil","Olin"," MATH","1510","Apr","20","2010","5.0","1.0"
"Phil","Olin"," MATH","1510","Nov","6","2009","5.0","2.0"
"Phil","Olin"," MATH","1190","Sep","11","2009","5.0","3.0"
"Phil","Olin"," M","1190","Jun","8","2009","3.0","3.0"
"Phil","Olin"," MATH","1190","Jun","1","2009","4.0","2.0"
"Phil","Olin"," MATH","1190","Jun","1","2009","5.0","3.0"
"Phil","Olin"," MATH","1190","May","26","2009","5.0","2.0"
"Phil","Olin"," MATH","1510","Feb","21","2009","5.0","1.0"
"Phil","Olin"," BUSN",NA,"Aug","2","2007","5.0","4.0"
"Phil","Olin"," MATH","1581","Feb","21","2007","5.0","2.0"
"Phil","Olin"," MATH","1581","Jan","5","2007","3.5","3.0"
"Phil","Olin"," MATH","1510","Jun","14","2006","5.0","2.0"
"Phil","Olin"," MATH","1510","Oct","5","2005","5.0","2.0"
"Phil","Olin"," MATH","1510","Aug","11","2005","5.0","1.0"
"Phil","Olin"," MATH","1510","Mar","9","2005","5.0","1.0"
"Phil","Olin"," MATH","1581","Jan","21","2005","5.0","2.0"
"Phil","Olin"," MATH","1510","Nov","24","2004","5.0","1.0"
"Phil","Olin"," MATH","1510","May","5","2004","5.0","2.0"
"Phil","Olin"," MATH","1581","Apr","24","2004","5.0","1.0"
"Phil","Olin"," MATH","1581","Apr","15","2004","5.0","1.0"
"Phil","Olin"," 1581",NA,"Apr","4","2004","4.5","2.0"
"Phil","Olin"," MATH","1581","Dec","16","2003","4.5","1.0"
"Phil","Olin"," MATH","1581","Dec","12","2003","5.0","2.0"
"Phil","Olin"," MATH","1581","Nov","24","2003","4.5","2.0"
"Phil","Olin"," MATH","1550","May","7","2003","5.0","1.0"
"Phil","Olin"," MATH","1581","Mar","20","2003","5.0","2.0"
"Phil","Olin"," MATH","1550","Jan","30","2003","4.5","1.0"
"Phil","Olin"," MATH","1550","Jan","21","2003","5.0","1.0"
"Phil","Olin"," MATH","1550","Jan","14","2003","5.0","1.0"
"Phil","Olin"," 1550",NA,"Dec","18","2002","5.0","1.0"
"Phil","Olin"," MATH","1550","Dec","17","2002","4.0","1.0"
"Phil","Olin"," MAT","1581","Nov","14","2002","5.0","3.0"
"Phil","Olin"," MA","1581","Oct","10","2002","5.0","2.0"
"Phil","Olin"," 1550",NA,"Sep","13","2002","4.5","1.0"
"Phil","Olin"," MATH","1550","Apr","16","2002","3.5","2.0"
"Phil","Olin"," MATH","1550","Apr","15","2002","5.0","3.0"
"Phil","Olin"," MATH","1550","Mar","17","2002","5.0","1.0"
"Phil","Olin"," MATH","1510","Dec","18","2001","5.0","2.0"
"Phil","Olin"," 1000",NA,"Dec","7","2001","4.5","2.0"
