"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"R.","Gordon"," MATH","1710","May","31","2010","4.0","4.0"
"R.","Gordon"," MATH","1710","Jun","4","2007","1.5","4.0"
"R.","Gordon"," MATH",NA,"Jan","3","2007","1.0","5.0"
"R.","Gordon"," 1300",NA,"Jul","18","2006","4.0","3.0"
"R.","Gordon"," MAT","1021","Nov","17","2005","1.5","4.0"
"R.","Gordon"," MATH","1300","Sep","29","2005","5.0","2.0"
"R.","Gordon"," MATH","1550","Sep","23","2005","5.0","1.0"
"R.","Gordon"," CALC",NA,"Sep","6","2005","1.0","5.0"
"R.","Gordon"," 1710",NA,"Jul","2","2005","4.5","2.0"
"R.","Gordon"," MATH","1550","Jun","17","2005","4.5","3.0"
"R.","Gordon"," MATH","1710","Jun","14","2005","5.0","1.0"
"R.","Gordon"," 1550",NA,"May","26","2005","1.0","5.0"
"R.","Gordon"," MATH","1710","May","25","2005","4.0","4.0"
"R.","Gordon"," 1710",NA,"May","4","2005","3.0","4.0"
"R.","Gordon"," MATH","1710","May","2","2005","1.5","4.0"
"R.","Gordon"," MATH","1710","Apr","7","2005","1.0","5.0"
"R.","Gordon"," MATH","1710","Mar","24","2005","1.0","5.0"
"R.","Gordon"," MATH","1710","Mar","5","2005","1.0","5.0"
"R.","Gordon"," 1710",NA,"Feb","28","2005","1.0","5.0"
"R.","Gordon"," MATH",NA,"Feb","7","2005","5.0","1.0"
"R.","Gordon"," MATH","1710","Jan","3","2005","1.0","5.0"
"R.","Gordon"," AK","1550","Nov","30","2004","1.0","5.0"
"R.","Gordon"," MATH","1710","Nov","15","2004","1.0","4.0"
"R.","Gordon"," 1710",NA,"Jun","27","2004","2.0","5.0"
"R.","Gordon"," MATH","1710","Jun","21","2004","1.0","3.0"
"R.","Gordon"," MATH","1710","Jun","15","2004","2.0","5.0"
"R.","Gordon"," MATH","2221","May","20","2004","5.0","2.0"
"R.","Gordon"," MATH","1550","May","4","2004","5.0","3.0"
"R.","Gordon"," MATH","1550","Apr","13","2004","1.0","5.0"
"R.","Gordon"," 1550",NA,"Nov","18","2003","5.0","2.0"
"R.","Gordon"," MATH","1550","Nov","7","2003","4.0","2.0"
"R.","Gordon"," MATH","1550","Oct","18","2003","1.5","3.0"
"R.","Gordon"," MATH","1710","Jul","2","2003","2.0","4.0"
"R.","Gordon"," MATH","1550","Jun","1","2003","4.5","3.0"
"R.","Gordon"," MATH","1550","May","7","2003","1.0","3.0"
"R.","Gordon"," MATH","1550","May","6","2003","1.0","5.0"
"R.","Gordon"," MATH","1300","Apr","27","2003","3.5","4.0"
"R.","Gordon"," MATH","2221","Apr","8","2003","5.0","1.0"
"R.","Gordon"," MATH","1550","Feb","15","2003","3.0","2.0"
"R.","Gordon"," MATH","1710","Jan","21","2003","1.0","3.0"
"R.","Gordon"," 1710",NA,"Jan","13","2003","3.0","3.0"
"R.","Gordon"," 1550",NA,"Jan","7","2003","3.0","3.0"
"R.","Gordon"," MATH","1300","Jan","6","2003","1.0","5.0"
"R.","Gordon"," MATH","1550","Dec","17","2002","3.0","3.0"
"R.","Gordon"," MATH","1550","Dec","2","2002","1.0","1.0"
"R.","Gordon"," MATH","1300","Nov","21","2002","2.0","4.0"
"R.","Gordon"," MATH","1560","Nov","16","2002","1.0","4.0"
"R.","Gordon"," MATH","1550","Nov","2","2002","1.0","5.0"
"R.","Gordon"," MATH","1550","Oct","25","2002","1.0","5.0"
"R.","Gordon"," MATH","1300","Sep","12","2002","1.0","5.0"
"R.","Gordon"," 1710",NA,"Jun","12","2002","2.5","4.0"
"R.","Gordon"," MATH","1300","Jun","12","2002","1.5","5.0"
"R.","Gordon"," 1300",NA,"Jun","7","2002","1.0","5.0"
"R.","Gordon"," MATH","1550","Apr","14","2002","1.5","3.0"
"R.","Gordon"," MATH","1550","Apr","14","2002","1.0","2.0"
"R.","Gordon"," MATH","1550","Mar","26","2002","2.0","4.0"
