"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Rick","Bello"," GEOG","1400","Apr","30","2014","4.0","2.0"
"Rick","Bello"," GEOG","4210","Mar","28","2014","5.0","2.0"
"Rick","Bello"," GEOG","2400","Apr","22","2013","4.5","2.0"
"Rick","Bello"," GEOG","2400","Feb","9","2011","5.0","3.0"
"Rick","Bello"," GEOG","4215","Jan","7","2011","4.0","2.0"
"Rick","Bello"," GEOG","2400","Dec","26","2010","4.5","3.0"
"Rick","Bello"," GEOG","1400","Sep","11","2009","4.5","3.0"
"Rick","Bello"," GEOC","2400","May","28","2009","4.5","4.0"
"Rick","Bello"," GEOG","2400","Sep","6","2008","5.0","2.0"
"Rick","Bello"," GEOG","1400","Apr","27","2008","4.0","2.0"
"Rick","Bello"," GEO","4540","Jan","15","2008","4.5","3.0"
"Rick","Bello"," GEOA",NA,"Oct","21","2007","5.0","3.0"
"Rick","Bello"," GEOG","2400","Sep","14","2007","3.5","3.0"
"Rick","Bello"," GEOG","1400","Nov","15","2006","5.0","4.0"
"Rick","Bello"," GEOG","1400","Jun","14","2006","1.0","5.0"
"Rick","Bello"," GEOG","1400","Mar","29","2006","1.0","5.0"
"Rick","Bello"," GEOG","1400","Dec","3","2005","1.0","3.0"
"Rick","Bello"," ALL",NA,"Dec","2","2005","5.0","1.0"
"Rick","Bello"," GEOG","1400","Nov","28","2005","3.0","5.0"
"Rick","Bello"," GEOG","1400","Nov","25","2005","1.5","4.0"
"Rick","Bello"," PHYS",NA,"Nov","18","2005","3.0","1.0"
"Rick","Bello"," GEOG","1400","Nov","8","2005","1.5","5.0"
"Rick","Bello"," GEOG","1400","Nov","2","2005","1.5","3.0"
"Rick","Bello"," GEOG","1400","Dec","13","2004","4.5","3.0"
"Rick","Bello"," 2442",NA,"Sep","5","2004","4.0","4.0"
"Rick","Bello"," 2400","HYDR","Sep","24","2003","5.0","2.0"
"Rick","Bello"," ALLO",NA,"Aug","17","2003","5.0","2.0"
"Rick","Bello"," 2400",NA,"Jan","24","2003","5.0","3.0"
"Rick","Bello"," GEOG","2400","Dec","18","2002","3.5","3.0"
"Rick","Bello"," 2400",NA,"Nov","8","2002","5.0","3.0"
"Rick","Bello"," 2400",NA,"Sep","26","2002","1.0","5.0"
