"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Robert","Crippen"," NATS","1675","Dec","17","2019","5.0","2.0"
"Robert","Crippen"," NATS","1675","Aug","10","2019","4.0","2.0"
"Robert","Crippen"," NATS","1675","Aug","5","2019","1.0","5.0"
"Robert","Crippen"," NATS","1675","Jun","19","2019","3.0","1.0"
"Robert","Crippen"," NATS","1675","Apr","14","2019","1.0","4.0"
"Robert","Crippen"," NATS","1675","Apr","10","2019","4.0","3.0"
"Robert","Crippen"," NATS","1675","Apr","7","2019","4.0","3.0"
"Robert","Crippen"," NATS","1675","Oct","28","2018","5.0","2.0"
"Robert","Crippen"," NATS","1675","Sep","26","2018","4.0","4.0"
"Robert","Crippen"," NATS","1675","Aug","28","2018","1.0","4.0"
"Robert","Crippen"," NATS","1675","Aug","20","2018","4.0","2.0"
"Robert","Crippen"," NATS","1675","Aug","14","2018","4.0","1.0"
"Robert","Crippen"," NATS","1675","Apr","30","2018","4.0","3.0"
"Robert","Crippen"," NATS","1675","Apr","18","2018","1.0","4.0"
"Robert","Crippen"," NATS","1675","Jun","28","2017","4.0","3.0"
"Robert","Crippen"," NATS","1675","May","10","2017","5.0","5.0"
"Robert","Crippen"," NATS","1675","Apr","6","2017","2.0","3.0"
"Robert","Crippen"," NATS","1675","Nov","23","2016","5.0","2.0"
"Robert","Crippen"," NATS","1760","Oct","6","2016","5.0","1.0"
"Robert","Crippen"," NATS","1675","May","9","2016","3.5","2.0"
"Robert","Crippen"," NATS","1675","Feb","10","2016","5.0","2.0"
"Robert","Crippen"," NATS","1675","Jun","19","2015","2.0","4.0"
"Robert","Crippen"," NATS","1675","Apr","9","2015","1.0","5.0"
"Robert","Crippen"," NATS","1675","Mar","26","2015","1.5","5.0"
"Robert","Crippen"," NATS","1675","Feb","16","2015","2.0","5.0"
"Robert","Crippen"," NATS","1675","Feb","12","2015","2.0","5.0"
"Robert","Crippen"," NATS","1675","Mar","7","2014","5.0","3.0"
