"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Roger","Kelton"," KINE","2031","Jan","23","2016","4.5","5.0"
"Roger","Kelton"," KINE","2031","Dec","18","2015","4.0","5.0"
"Roger","Kelton"," KINE","4020","Nov","27","2015","2.0","4.0"
"Roger","Kelton"," KINE","2031","Sep","24","2015","4.5","3.0"
"Roger","Kelton"," KINE","2031","Sep","3","2015","3.5","3.0"
"Roger","Kelton"," KINE","2031","Aug","4","2015","3.5","3.0"
"Roger","Kelton"," KINE","2031","Jun","28","2015","2.0","4.0"
"Roger","Kelton"," KINE","4020","May","4","2015","5.0","2.0"
"Roger","Kelton"," 4020",NA,"Apr","21","2015","4.5","1.0"
"Roger","Kelton"," KINE","4020","Mar","25","2015","4.0","3.0"
"Roger","Kelton"," 4020",NA,"Feb","25","2015","3.0","2.0"
"Roger","Kelton"," KINE","4020","Feb","6","2015","4.5","1.0"
"Roger","Kelton"," 2031",NA,"Jan","13","2015","4.0","3.0"
"Roger","Kelton"," 2031",NA,"Dec","30","2014","2.0","4.0"
"Roger","Kelton"," KINE","2031","Oct","8","2014","4.5","3.0"
"Roger","Kelton"," KINE","2031","Aug","20","2014","4.5","3.0"
"Roger","Kelton"," KINE","2031","Feb","14","2014","4.0","4.0"
"Roger","Kelton"," KINE","2031","Jan","25","2014","5.0","2.0"
"Roger","Kelton"," KINE","2031","Dec","17","2013","4.5","3.0"
"Roger","Kelton"," KINE","2031","Dec","11","2013","5.0","4.0"
"Roger","Kelton"," KINE","2031","May","28","2013","1.5","4.0"
"Roger","Kelton"," KINE","4020","May","10","2013","4.5","1.0"
"Roger","Kelton"," KINE",NA,"Jan","16","2013","5.0","1.0"
"Roger","Kelton"," KINE","2031","Jul","10","2012","5.0","1.0"
"Roger","Kelton"," KINE","4020","Jun","9","2012","4.5","3.0"
"Roger","Kelton"," KINE","2031","Jun","5","2012","3.5","3.0"
"Roger","Kelton"," KIN","2031","May","28","2012","5.0","1.0"
"Roger","Kelton"," KINE","4020","Jan","29","2012","3.0","3.0"
"Roger","Kelton"," KINE","2031","Dec","15","2011","4.0","3.0"
"Roger","Kelton"," KINE","2031","Sep","22","2011","5.0","1.0"
"Roger","Kelton"," KINE","2031","Sep","10","2011","5.0","2.0"
"Roger","Kelton"," KINE",NA,"Sep","8","2011","3.5","3.0"
"Roger","Kelton"," KINE","2031","Apr","25","2011","1.5","4.0"
"Roger","Kelton"," KINE","2031","Dec","30","2010","5.0","2.0"
"Roger","Kelton"," KINE","2030","Jan","24","2006","2.0","4.0"
"Roger","Kelton"," KINE","2031","Dec","7","2005","4.5","3.0"
"Roger","Kelton"," KINE","2031","Nov","3","2005","3.5","4.0"
"Roger","Kelton"," KIN","4020","Apr","14","2005","4.0","2.0"
"Roger","Kelton"," KINE","4020","Jan","26","2005","4.0","3.0"
"Roger","Kelton"," KINE","4020","Jan","14","2005","4.0","1.0"
"Roger","Kelton"," KIN","2031","Jan","8","2005","3.5","3.0"
"Roger","Kelton"," KINE","2031","Jan","2","2005","5.0","2.0"
"Roger","Kelton"," KINE","2031","Dec","14","2004","3.5","3.0"
"Roger","Kelton"," KINE","2031","Oct","18","2004","4.0","3.0"
"Roger","Kelton"," KINE","2031","Oct","14","2004","1.5","3.0"
"Roger","Kelton"," KINE","2031","Apr","23","2004","5.0","3.0"
"Roger","Kelton"," KINE","4020","Apr","3","2004","4.0","2.0"
"Roger","Kelton"," KINE","2031","Dec","20","2003","2.5","4.0"
"Roger","Kelton"," KINE","2031","Nov","7","2003","4.0","3.0"
"Roger","Kelton"," 2031",NA,"Nov","2","2003","4.5","2.0"
"Roger","Kelton"," INE","2031","Sep","24","2003","3.5","4.0"
"Roger","Kelton"," 2030",NA,"Aug","17","2003","4.0","3.0"
"Roger","Kelton"," 4020",NA,"Aug","7","2003","3.5","3.0"
"Roger","Kelton"," 2031",NA,"Jun","1","2003","3.0","3.0"
"Roger","Kelton"," 2031",NA,"May","30","2003","4.0","3.0"
"Roger","Kelton"," KINE",NA,"Apr","25","2003","4.0","4.0"
"Roger","Kelton"," KINE","4020","Apr","21","2003","5.0","3.0"
"Roger","Kelton"," KINE","2031","Apr","20","2003","4.5","3.0"
"Roger","Kelton"," KINE",NA,"Apr","4","2003","1.0","5.0"
"Roger","Kelton"," KINE","4020","Apr","4","2003","3.0","4.0"
"Roger","Kelton"," 4020",NA,"Feb","3","2003","3.5","3.0"
"Roger","Kelton"," NUTR",NA,"Dec","19","2002","3.5","2.0"
"Roger","Kelton"," KINR","2031","Apr","22","2002","4.0","4.0"
"Roger","Kelton"," KINE","4020","Mar","25","2002","3.0","5.0"
"Roger","Kelton"," NUTR",NA,"Mar","17","2002","2.5","4.0"
"Roger","Kelton"," KINE","2031","Mar","15","2002","1.0","5.0"
"Roger","Kelton"," 4020",NA,"Feb","7","2002","5.0","2.0"
"Roger","Kelton"," KINE","2031","Feb","4","2002","4.0","4.0"
"Roger","Kelton"," KINE","2031","Jan","2","2002","4.0","3.0"
