"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Ross","Rudolph"," POLS","2900","Dec","20","2011","5.0","2.0"
"Ross","Rudolph"," POLS","1000","Oct","14","2011","5.0","1.0"
"Ross","Rudolph"," POLS","2900","Aug","15","2011","5.0","2.0"
"Ross","Rudolph"," POLS","1000","Jun","30","2011","4.0","3.0"
"Ross","Rudolph"," POLS","2900","Apr","30","2011","4.5","3.0"
"Ross","Rudolph"," POLS","1000","Apr","24","2011","5.0","3.0"
"Ross","Rudolph"," POLS","1000","Apr","5","2011","5.0","3.0"
"Ross","Rudolph"," POLS","1000","Jan","30","2011","4.5","4.0"
"Ross","Rudolph"," POLS","2900","Dec","18","2010","2.0","4.0"
"Ross","Rudolph"," POLS","2900","Dec","14","2010","3.5","4.0"
"Ross","Rudolph"," POLS","2900","Sep","16","2010","5.0","3.0"
"Ross","Rudolph"," POLS","2900","Jul","17","2010","5.0","2.0"
"Ross","Rudolph"," POLS","2900","May","5","2010","5.0","4.0"
"Ross","Rudolph"," POLS","2900","Feb","15","2010","5.0","3.0"
"Ross","Rudolph"," POLS","3075","Aug","26","2009","5.0","3.0"
"Ross","Rudolph"," POLS","3025","Jun","15","2007","5.0","3.0"
"Ross","Rudolph"," POLS","3025","May","24","2007","4.5","3.0"
"Ross","Rudolph"," POLS","1000","Apr","23","2006","5.0","3.0"
"Ross","Rudolph"," 100",NA,"Apr","4","2006","1.0","3.0"
"Ross","Rudolph"," POLS","1000","Mar","13","2006","4.5","3.0"
"Ross","Rudolph"," POLI","1000","Feb","23","2006","5.0","2.0"
"Ross","Rudolph"," POLS","1000","Feb","9","2006","5.0","2.0"
"Ross","Rudolph"," POLS","1000","Dec","14","2005","5.0","1.0"
"Ross","Rudolph"," POLS","1000","Sep","16","2005","4.5","3.0"
"Ross","Rudolph"," POLS","1000","Jun","9","2005","5.0","1.0"
"Ross","Rudolph"," POLS","1000","Jun","6","2005","5.0","2.0"
"Ross","Rudolph"," ASPO","2920","May","8","2005","4.5","3.0"
"Ross","Rudolph"," POLS","1000","May","3","2005","5.0","2.0"
"Ross","Rudolph"," POLT",NA,"Mar","31","2005","4.0","3.0"
"Ross","Rudolph"," POLS","1000","Jan","29","2005","5.0","4.0"
"Ross","Rudolph"," POLS","2410","Jan","22","2005","4.0","4.0"
"Ross","Rudolph"," POLS","1000","Sep","24","2004","5.0","1.0"
"Ross","Rudolph"," POLS","1000","Sep","15","2004","4.5","1.0"
"Ross","Rudolph"," POLS","2040","Sep","9","2004","5.0","1.0"
"Ross","Rudolph"," POLS","1000","Jun","28","2004","5.0","1.0"
"Ross","Rudolph"," POLI",NA,"Jun","19","2004","5.0","1.0"
"Ross","Rudolph"," POLS","1000","Jun","17","2004","5.0","1.0"
"Ross","Rudolph"," POLS","1000","Mar","5","2004","3.5","2.0"
"Ross","Rudolph"," POL","100","Feb","21","2004","5.0","2.0"
"Ross","Rudolph"," POLS","2040","Nov","20","2003","5.0","1.0"
"Ross","Rudolph"," POLS","1000","Jun","11","2003","4.5","3.0"
"Ross","Rudolph"," 2040","POLS","May","28","2003","5.0","2.0"
"Ross","Rudolph"," POLS","2040","May","26","2003","5.0","1.0"
"Ross","Rudolph"," POLS","2040","Apr","25","2003","5.0","4.0"
"Ross","Rudolph"," POLS","2040","Apr","4","2003","5.0","3.0"
"Ross","Rudolph"," POLS",NA,"Apr","2","2003","5.0","2.0"
"Ross","Rudolph"," POLS","1000","Mar","25","2003","5.0","1.0"
"Ross","Rudolph"," POLS","1000","Mar","12","2003","4.5","2.0"
"Ross","Rudolph"," POLS","2040","Dec","18","2002","5.0","3.0"
"Ross","Rudolph"," POLS","1000","Dec","14","2002","4.5","3.0"
"Ross","Rudolph"," POLS",NA,"Nov","9","2002","3.0","3.0"
"Ross","Rudolph"," POLS","1000","Jun","18","2002","5.0","1.0"
"Ross","Rudolph"," POLS","2040","May","9","2002","5.0","2.0"
"Ross","Rudolph"," POLS","1000","Apr","14","2002","5.0","3.0"
"Ross","Rudolph"," POLS","2040","Apr","6","2002","4.0","3.0"
"Ross","Rudolph"," POLS","1000","Apr","4","2002","5.0","2.0"
"Ross","Rudolph"," POLS","2040","Apr","3","2002","5.0","3.0"
"Ross","Rudolph"," POLS","2040","Apr","3","2002","5.0","2.0"
"Ross","Rudolph"," POLS","1000","Apr","3","2002","4.5","2.0"
"Ross","Rudolph"," POLS","2040","Apr","3","2002","5.0","3.0"
"Ross","Rudolph"," POLS","1000","Feb","17","2002","4.5","2.0"
"Ross","Rudolph"," POLS","1000","Jan","17","2002","4.0","2.0"
"Ross","Rudolph"," POLS","10","Jan","13","2002","4.0","2.0"
"Ross","Rudolph"," 2040",NA,"Dec","4","2001","5.0","1.0"
"Ross","Rudolph"," POL","2040","Nov","4","2001","4.5","3.0"
"Ross","Rudolph"," POLS","1000","Jun","2","2001","3.5","3.0"
