"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Saroj","Chawla"," SOCI","4660","Mar","22","2011","4.0","2.0"
"Saroj","Chawla"," SOC","3650","Aug","29","2008","5.0","4.0"
"Saroj","Chawla"," SOCI","3310","Sep","19","2006","4.5","3.0"
"Saroj","Chawla"," SOSC",NA,"Sep","24","2005","1.5","5.0"
"Saroj","Chawla"," SOCI","1010","Aug","3","2005","1.0","5.0"
"Saroj","Chawla"," SOCI",NA,"Jan","10","2005","4.5","2.0"
"Saroj","Chawla"," SOCI","3650","Nov","28","2004","3.5","2.0"
"Saroj","Chawla"," 1010",NA,"Sep","11","2004","2.0","4.0"
"Saroj","Chawla"," SOSC","2300","Aug","1","2004","5.0","3.0"
"Saroj","Chawla"," SOCI","1010","May","3","2004","1.0","4.0"
"Saroj","Chawla"," SOCI","1010","Oct","2","2003","1.0","5.0"
"Saroj","Chawla"," SOCI","1000","Sep","28","2003","3.5","4.0"
"Saroj","Chawla"," SOCI","1010","Sep","11","2003","2.0","4.0"
"Saroj","Chawla"," SOCI","1010","Sep","8","2003","2.5","3.0"
"Saroj","Chawla"," SOCI","1010","Sep","6","2003","3.0","2.0"
"Saroj","Chawla"," SOCI","1010","Jul","1","2003","1.0","4.0"
"Saroj","Chawla"," SOCI","1010","May","30","2003","2.0","5.0"
"Saroj","Chawla"," SOCI","1010","May","18","2003","3.5","4.0"
"Saroj","Chawla"," SOCI","1010","Apr","18","2003","4.0","4.0"
"Saroj","Chawla"," SOCI","1010","Apr","4","2003","4.0","2.0"
"Saroj","Chawla"," SOCI","1010","Feb","15","2003","1.0","5.0"
"Saroj","Chawla"," 1010",NA,"Nov","23","2002","1.0","3.0"
"Saroj","Chawla"," ASSO","10","Nov","22","2002","3.0","4.0"
"Saroj","Chawla"," SOC","1010","Nov","20","2002","4.0","2.0"
"Saroj","Chawla"," SOCI","1010","Sep","2","2002","1.0","5.0"
"Saroj","Chawla"," SOCI","1010","Jun","26","2002","1.5","3.0"
"Saroj","Chawla"," SOCI","1010","Apr","8","2002","1.0","5.0"
"Saroj","Chawla"," SOC","1200","Mar","19","2002","1.0","3.0"
"Saroj","Chawla"," SOCI","1010","Feb","9","2002","1.0","5.0"
"Saroj","Chawla"," SOCI","1010","Jun","5","2001","4.0","4.0"
