"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Sergey","Krylov"," CHEM","4050","Jun","29","2019","5.0","5.0"
"Sergey","Krylov"," CHEM","4050","Apr","14","2019","5.0","2.0"
"Sergey","Krylov"," CHEM","4050","Jul","6","2018","5.0","4.0"
"Sergey","Krylov"," CHEM","1001","Mar","19","2013","3.0","3.0"
"Sergey","Krylov"," CHEM","4050","Jan","9","2013","1.5","4.0"
"Sergey","Krylov"," CHEM","1001","Jun","26","2012","1.5","3.0"
"Sergey","Krylov"," CHEM","1001","Jun","20","2012","5.0","3.0"
"Sergey","Krylov"," CHEM","1001","Jun","20","2012","4.5","1.0"
"Sergey","Krylov"," CHEM","1001","Jun","4","2012","1.5","4.0"
"Sergey","Krylov"," CHEM","1001","May","30","2012","2.0","5.0"
"Sergey","Krylov"," CHEM","4050","May","11","2012","5.0","2.0"
"Sergey","Krylov"," CHEM","1001","May","2","2012","1.0","4.0"
"Sergey","Krylov"," CHEM","1001","May","2","2012","1.5","4.0"
"Sergey","Krylov"," CHEM",NA,"May","2","2012","4.5","2.0"
"Sergey","Krylov"," CHEM","1001","Apr","25","2012","3.5","4.0"
"Sergey","Krylov"," CHEM","1001","Apr","23","2012","5.0","1.0"
"Sergey","Krylov"," CHEM",NA,"Apr","11","2012","4.0","3.0"
"Sergey","Krylov"," CHEM","1000","Apr","4","2012","3.0","5.0"
"Sergey","Krylov"," CHEM","1001","Mar","29","2012","3.0","5.0"
"Sergey","Krylov"," CHEM","1001","Mar","27","2012","3.0","5.0"
"Sergey","Krylov"," CHEM","1001","Mar","22","2012","1.5","5.0"
"Sergey","Krylov"," CHEM",NA,"Mar","22","2012","1.0","2.0"
"Sergey","Krylov"," CHEM",NA,"Mar","22","2012","1.0","5.0"
"Sergey","Krylov"," CHEM","1001","Mar","21","2012","4.5","3.0"
"Sergey","Krylov"," CHEM","1001","Mar","18","2012","2.0","3.0"
"Sergey","Krylov"," CHEM","1001","Mar","12","2012","4.0","1.0"
"Sergey","Krylov"," CHEM","4050","Jan","8","2011","2.0","4.0"
"Sergey","Krylov"," BCHM","4050","Jan","7","2011","1.0","5.0"
"Sergey","Krylov"," CHEM","4050","Jan","7","2011","1.5","4.0"
"Sergey","Krylov"," CHEM","4050","Jan","7","2011","2.0","5.0"
"Sergey","Krylov"," CHEM","4050","Dec","21","2010","1.5","4.0"
"Sergey","Krylov"," CHEM","4050","Dec","21","2010","1.5","4.0"
"Sergey","Krylov"," CHEM","4050","Feb","24","2010","5.0","2.0"
"Sergey","Krylov"," CHEM","4050","Dec","24","2009","5.0","3.0"
"Sergey","Krylov"," CHEM","4050","Dec","14","2009","2.0","5.0"
"Sergey","Krylov"," CHEM","4050","Jun","2","2008","4.5","3.0"
"Sergey","Krylov"," CHEM","1001","Nov","27","2007","2.0","5.0"
"Sergey","Krylov"," CHEM","1001","May","25","2006","4.5","2.0"
"Sergey","Krylov"," CHEM","1001","May","24","2006","5.0","4.0"
"Sergey","Krylov"," CHEM","1001","May","15","2006","3.0","5.0"
"Sergey","Krylov"," CHEM","1001","May","8","2006","1.0","5.0"
"Sergey","Krylov"," CHEM","1001","May","5","2006","2.0","5.0"
"Sergey","Krylov"," CHEM","1001","May","1","2006","1.0","5.0"
"Sergey","Krylov"," CHEM","1001","Apr","6","2006","1.0","5.0"
"Sergey","Krylov"," CHEM","1001","Mar","30","2006","1.5","5.0"
"Sergey","Krylov"," CHEM","1001","Mar","9","2006","4.0","3.0"
"Sergey","Krylov"," CHEM","1001","Feb","6","2006","5.0","2.0"
"Sergey","Krylov"," CHEM","1001","Jan","6","2006","5.0","1.0"
"Sergey","Krylov"," CHEM","1001","Jul","27","2005","3.5","4.0"
"Sergey","Krylov"," BIOA",NA,"Jan","21","2005","2.0","5.0"
"Sergey","Krylov"," CHEM","1001","Aug","30","2004","5.0","2.0"
"Sergey","Krylov"," CHEM","1001","May","6","2004","5.0","1.0"
"Sergey","Krylov"," CHEM","1001","Apr","28","2004","2.5","3.0"
"Sergey","Krylov"," CHEM","1001","Mar","30","2004","4.5","2.0"
"Sergey","Krylov"," CHEM",NA,"Feb","9","2004","5.0","4.0"
"Sergey","Krylov"," CHEM","1001","Sep","17","2003","4.0","2.0"
"Sergey","Krylov"," CHEM","1001","Jul","9","2003","5.0","3.0"
"Sergey","Krylov"," CHEM","1001","Jul","5","2003","3.0","3.0"
"Sergey","Krylov"," CHEM","1001","Jun","26","2003","4.0","4.0"
"Sergey","Krylov"," CHEM","1001","May","12","2003","4.5","2.0"
"Sergey","Krylov"," CHEM","1001","Apr","17","2003","5.0","1.0"
