"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Silviu","Guiasu"," MATH","4170","Dec","2","2009","3.0","2.0"
"Silviu","Guiasu"," MATH","4170","Sep","30","2009","5.0","2.0"
"Silviu","Guiasu"," MATH","4170","Aug","25","2007","4.0","1.0"
"Silviu","Guiasu"," MATH","4170","Apr","20","2006","4.5","3.0"
"Silviu","Guiasu"," MATH","4170","Dec","7","2005","5.0","2.0"
"Silviu","Guiasu"," SIF","1015","Jun","28","2005","5.0","2.0"
"Silviu","Guiasu"," OR",NA,"Jun","16","2005","5.0","3.0"
"Silviu","Guiasu"," OPER",NA,"Jun","5","2005","5.0","1.0"
"Silviu","Guiasu"," 4170",NA,"Jan","29","2003","5.0","2.0"
"Silviu","Guiasu"," MAT","4170","Jan","11","2003","5.0","2.0"
"Silviu","Guiasu"," MATH","3170","Jul","6","2001","5.0","3.0"
