"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Stanley","Jeffers"," PHYS",NA,"Jul","28","2015","4.5","2.0"
"Stanley","Jeffers"," NATS","1710","Feb","4","2014","2.0","4.0"
"Stanley","Jeffers"," NATS","1710","Dec","3","2013","4.5","3.0"
"Stanley","Jeffers"," NAT","1710","Aug","27","2013","1.0","5.0"
"Stanley","Jeffers"," NATS","1710","Apr","18","2013","3.5","3.0"
"Stanley","Jeffers"," NATS","1710","Aug","9","2012","1.0","5.0"
"Stanley","Jeffers"," PHYS","1510","Jan","5","2011","3.0","2.0"
"Stanley","Jeffers"," PHYS","1510","Dec","14","2010","2.0","3.0"
"Stanley","Jeffers"," PHYS","1500","Dec","7","2010","1.5","5.0"
"Stanley","Jeffers"," PHY","1510","Nov","17","2010","4.0","2.0"
"Stanley","Jeffers"," NATS","1710","Apr","12","2009","3.0","2.0"
"Stanley","Jeffers"," NATS","1710","Apr","28","2008","1.0","5.0"
"Stanley","Jeffers"," NATS",NA,"Dec","31","2007","1.0","5.0"
"Stanley","Jeffers"," NATS","1710","Apr","20","2007","1.0","1.0"
"Stanley","Jeffers"," SCNA",NA,"Nov","15","2006","1.0","5.0"
"Stanley","Jeffers"," NATS","1710","Jun","19","2006","1.0","5.0"
"Stanley","Jeffers"," NATS","1720","Jun","18","2006","3.0","3.0"
"Stanley","Jeffers"," NATS","1710","Jun","15","2006","5.0","3.0"
"Stanley","Jeffers"," PHYS","1510","Jan","12","2006","1.0","5.0"
"Stanley","Jeffers"," PHYS","1510","Jan","12","2006","1.0","5.0"
"Stanley","Jeffers"," NATS","1710","Jan","9","2006","1.0","4.0"
"Stanley","Jeffers"," PHYS","1510","Dec","11","2005","3.0","1.0"
"Stanley","Jeffers"," NATS","1710","Oct","4","2005","1.5","5.0"
"Stanley","Jeffers"," NATS",NA,"Jul","30","2005","2.0","5.0"
"Stanley","Jeffers"," PHYS",NA,"Apr","3","2005","5.0","2.0"
"Stanley","Jeffers"," PHYS","1510","Mar","18","2005","4.5","3.0"
"Stanley","Jeffers"," NATS","1710","Nov","22","2004","4.5","2.0"
"Stanley","Jeffers"," NATS","1710","Oct","9","2004","3.0","3.0"
"Stanley","Jeffers"," PHYS","1510","Aug","20","2004","4.0","4.0"
"Stanley","Jeffers"," PHYS","1510","May","31","2004","1.0","5.0"
"Stanley","Jeffers"," NATS","1710","Apr","10","2004","1.0","5.0"
"Stanley","Jeffers"," NATS","1710","Feb","13","2004","1.5","3.0"
"Stanley","Jeffers"," PHYS","1510","Dec","8","2003","3.0","4.0"
"Stanley","Jeffers"," PHYS","1510","Oct","23","2003","3.5","5.0"
"Stanley","Jeffers"," NATS","1710","Aug","21","2003","1.0","5.0"
"Stanley","Jeffers"," NATS","1710","Aug","12","2003","1.5","5.0"
"Stanley","Jeffers"," PHYS","1520","Jun","5","2003","3.0","3.0"
"Stanley","Jeffers"," 1710",NA,"Jun","3","2003","3.0","4.0"
"Stanley","Jeffers"," NATS","1710","Apr","18","2003","1.0","5.0"
"Stanley","Jeffers"," NATS","1710","Apr","7","2003","2.5","4.0"
"Stanley","Jeffers"," NATS","1710","Mar","21","2003","1.0","5.0"
"Stanley","Jeffers"," NATS","1710","Feb","22","2003","1.0","5.0"
"Stanley","Jeffers"," 1710",NA,"Jan","26","2003","1.0","5.0"
"Stanley","Jeffers"," 1710",NA,"Jan","24","2003","1.0","2.0"
"Stanley","Jeffers"," 1710",NA,"Nov","24","2002","1.0","5.0"
"Stanley","Jeffers"," 1710",NA,"Nov","18","2002","2.5","3.0"
"Stanley","Jeffers"," 1710",NA,"Oct","17","2002","5.0","1.0"
"Stanley","Jeffers"," NATS","1720","Oct","6","2002","1.0","5.0"
"Stanley","Jeffers"," NATS","1530","Aug","12","2002","1.0","3.0"
"Stanley","Jeffers"," 1710",NA,"May","5","2002","5.0","1.0"
"Stanley","Jeffers"," NATS","1710","May","5","2002","5.0","1.0"
"Stanley","Jeffers"," 1710",NA,"May","5","2002","5.0","1.0"
"Stanley","Jeffers"," 1710",NA,"May","3","2002","5.0","1.0"
"Stanley","Jeffers"," NATS","1710","May","3","2002","5.0","1.0"
"Stanley","Jeffers"," NATS","1710","May","3","2002","5.0","1.0"
"Stanley","Jeffers"," 1710",NA,"May","3","2002","5.0","1.0"
"Stanley","Jeffers"," 1710",NA,"Apr","24","2002","5.0","3.0"
"Stanley","Jeffers"," 1710",NA,"Apr","24","2002","1.0","5.0"
"Stanley","Jeffers"," NATS","1710","Apr","23","2002","3.5","1.0"
"Stanley","Jeffers"," 1710",NA,"Apr","22","2002","4.0","1.0"
