"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Stanley","Kochman"," MATH","1310","Oct","13","2014","4.0","3.0"
"Stanley","Kochman"," 1310",NA,"Sep","19","2014","2.5","3.0"
"Stanley","Kochman"," MATH","1310","May","5","2014","4.0","1.0"
"Stanley","Kochman"," MATH","4400","Apr","16","2014","1.0","5.0"
"Stanley","Kochman"," MATH","1310","Mar","5","2014","2.5","5.0"
"Stanley","Kochman"," MATH","1300","Mar","4","2014","5.0","4.0"
"Stanley","Kochman"," MATH","1310","Feb","5","2014","2.0","5.0"
"Stanley","Kochman"," MATH","1310","Jan","30","2014","4.0","2.0"
"Stanley","Kochman"," MATH","1300","Dec","5","2013","1.0","4.0"
"Stanley","Kochman"," MATH","1300","Sep","10","2013","3.5","3.0"
"Stanley","Kochman"," 1300",NA,"Mar","19","2013","3.5","4.0"
"Stanley","Kochman"," MATH","1300","Feb","22","2013","1.0","4.0"
"Stanley","Kochman"," MATH","1310","Feb","12","2012","5.0","3.0"
"Stanley","Kochman"," MATH",NA,"Dec","20","2011","2.5","4.0"
"Stanley","Kochman"," MATH","1300","Jul","28","2010","1.0","5.0"
"Stanley","Kochman"," MATH","1310","Jun","24","2010","5.0","2.0"
"Stanley","Kochman"," MATH","1300","Oct","20","2007","3.0","3.0"
"Stanley","Kochman"," MATH","1310","Apr","21","2007","2.0","2.0"
"Stanley","Kochman"," MATH","1310","Dec","10","2006","2.0","4.0"
"Stanley","Kochman"," MATH","1310","Dec","5","2006","1.5","1.0"
"Stanley","Kochman"," MATH","1310","Aug","9","2006","4.0","3.0"
"Stanley","Kochman"," MATH","1310","Apr","18","2006","3.0","3.0"
"Stanley","Kochman"," MATH","1300","Sep","17","2005","2.0","4.0"
"Stanley","Kochman"," MATH","1300","Sep","11","2005","1.0","5.0"
"Stanley","Kochman"," MATH","1300","May","28","2005","1.0","5.0"
"Stanley","Kochman"," MATH","1300","Apr","11","2005","1.0","3.0"
"Stanley","Kochman"," MATH","2310","Dec","20","2004","1.0","3.0"
"Stanley","Kochman"," MATH","1300","Nov","7","2004","1.0","4.0"
"Stanley","Kochman"," MATH","1310","Aug","14","2004","5.0","1.0"
"Stanley","Kochman"," MATH","1300","Aug","11","2004","1.5","4.0"
"Stanley","Kochman"," MATH","1310","Jun","26","2004","5.0","1.0"
"Stanley","Kochman"," 1310",NA,"Apr","25","2004","1.0","5.0"
"Stanley","Kochman"," 1310",NA,"Apr","22","2004","5.0","1.0"
"Stanley","Kochman"," MATH","1300","Apr","8","2004","1.5","4.0"
"Stanley","Kochman"," MATH","1310","Mar","29","2004","1.0","5.0"
"Stanley","Kochman"," CALC",NA,"Mar","24","2004","1.0","5.0"
"Stanley","Kochman"," 1310",NA,"Mar","5","2004","1.5","4.0"
"Stanley","Kochman"," MATH","1310","Feb","1","2004","2.0","3.0"
"Stanley","Kochman"," MATH","1300","Jan","4","2004","2.0","3.0"
"Stanley","Kochman"," MATH","1300","Nov","12","2003","4.0","3.0"
"Stanley","Kochman"," MATH",NA,"Oct","31","2003","5.0","2.0"
"Stanley","Kochman"," MATH","1300","Sep","8","2003","4.5","2.0"
"Stanley","Kochman"," MATH","1300","Jul","2","2003","2.0","5.0"
"Stanley","Kochman"," 1030",NA,"May","29","2003","3.5","4.0"
"Stanley","Kochman"," MATH","1300","May","24","2003","2.5","4.0"
"Stanley","Kochman"," MATH","2310","Apr","8","2003","2.5","3.0"
"Stanley","Kochman"," 1310",NA,"Mar","10","2003","3.5","2.0"
"Stanley","Kochman"," MATH","1300","Jan","25","2003","1.0","3.0"
"Stanley","Kochman"," MATH","1300","Dec","17","2002","3.0","2.0"
"Stanley","Kochman"," MATH","1300","Oct","27","2002","2.5","4.0"
"Stanley","Kochman"," MATH","1300","Jul","28","2002","5.0","2.0"
"Stanley","Kochman"," MATH","1310","Mar","29","2002","3.0","5.0"
"Stanley","Kochman"," MATH","1300","Feb","11","2002","4.0","3.0"
"Stanley","Kochman"," MATH","2310","Dec","10","2001","4.5","5.0"
"Stanley","Kochman"," MATH","1300","Nov","22","2001","1.0","5.0"
"Stanley","Kochman"," 1300",NA,"Nov","6","2001","2.0","4.0"
"Stanley","Kochman"," MATH","1300","Nov","1","2001","2.5","4.0"
"Stanley","Kochman"," MAT","1310","Sep","19","2001","1.0","3.0"
"Stanley","Kochman"," MATH","2310","Sep","10","2001","4.5","3.0"
"Stanley","Kochman"," MATH","1300","Sep","4","2001","5.0","1.0"
"Stanley","Kochman"," MATH","1300","Aug","23","2001","4.5","2.0"
"Stanley","Kochman"," MATH","2310","Jul","5","2001","2.0","3.0"
"Stanley","Kochman"," MATH","2310","Jul","5","2001","3.0","1.0"
"Stanley","Kochman"," MATH","2310","Jul","5","2001","4.0","1.0"
"Stanley","Kochman"," MATH","1310","Jul","2","2001","5.0","4.0"
"Stanley","Kochman"," MATH","1310","Jun","11","2001","2.0","5.0"
"Stanley","Kochman"," MATH","1300","May","15","2001","1.0","5.0"
