"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Stephen","Chamberlin"," MATH","4730","May","2","2016","5.0","5.0"
"Stephen","Chamberlin"," MATH","2030","Jun","10","2010","3.5","3.0"
"Stephen","Chamberlin"," BIOL","2060","Jan","30","2010","1.5","4.0"
"Stephen","Chamberlin"," BIOL","2060","Jan","8","2010","2.0","4.0"
"Stephen","Chamberlin"," BIOL","2060","Dec","27","2009","2.0","2.0"
"Stephen","Chamberlin"," BIOL","2060","Dec","10","2009","2.5","3.0"
"Stephen","Chamberlin"," MATH","3034","Sep","11","2009","5.0","4.0"
"Stephen","Chamberlin"," STAT",NA,"May","4","2009","1.0","5.0"
"Stephen","Chamberlin"," MATH","2131","Apr","7","2009","5.0","4.0"
"Stephen","Chamberlin"," MATH","2030","Feb","5","2009","4.5","5.0"
"Stephen","Chamberlin"," MATH","4730","Jan","7","2008","3.5","5.0"
"Stephen","Chamberlin"," MATH","2030","Aug","7","2007","1.0","5.0"
"Stephen","Chamberlin"," MATH","2030","May","16","2007","1.0","5.0"
"Stephen","Chamberlin"," MATH","2030","May","16","2007","1.0","5.0"
"Stephen","Chamberlin"," MATH","2030","Apr","16","2007","1.0","5.0"
"Stephen","Chamberlin"," MATH","2030","Jan","3","2007","1.0","5.0"
"Stephen","Chamberlin"," MATH","2030","Dec","8","2006","1.0","5.0"
"Stephen","Chamberlin"," MATH","2030","Mar","28","2006","3.0","4.0"
"Stephen","Chamberlin"," MAT","4730","Feb","27","2006","1.0","5.0"
"Stephen","Chamberlin"," MATH","4730","Dec","23","2005","4.0","3.0"
"Stephen","Chamberlin"," MATH","4730","Nov","24","2005","2.0","3.0"
"Stephen","Chamberlin"," MATH","4730","Nov","12","2005","4.5","3.0"
"Stephen","Chamberlin"," MATH","4730","Oct","24","2005","2.5","4.0"
"Stephen","Chamberlin"," 4730",NA,"Feb","12","2004","5.0","4.0"
"Stephen","Chamberlin"," MATH",NA,"Oct","31","2003","1.0","5.0"
"Stephen","Chamberlin"," MATH","2131","May","13","2003","5.0","3.0"
"Stephen","Chamberlin"," 2131",NA,"Mar","10","2003","1.0","3.0"
"Stephen","Chamberlin"," MATH","4730","Feb","10","2003","3.0","5.0"
"Stephen","Chamberlin"," 4730",NA,"Jan","20","2003","1.0","5.0"
"Stephen","Chamberlin"," 2131",NA,"Dec","28","2002","1.0","5.0"
"Stephen","Chamberlin"," 2131",NA,"Sep","12","2002","1.5","5.0"
"Stephen","Chamberlin"," 2131",NA,"Mar","27","2002","5.0","3.0"
"Stephen","Chamberlin"," 2131",NA,"Mar","11","2002","4.5","3.0"
"Stephen","Chamberlin"," MATH","2131","Aug","23","2001","1.0","4.0"
"Stephen","Chamberlin"," MATH","2131","Jul","13","2001","5.0","4.0"
