"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Steven","Kuo"," COSC","2021","Aug","13","2010","5.0","3.0"
"Steven","Kuo"," COSC","2021","Aug","13","2010","5.0","3.0"
"Steven","Kuo"," COSC","2021","Aug","13","2010","5.0","3.0"
"Steven","Kuo"," CSE","2021","Oct","17","2005","4.0","3.0"
"Steven","Kuo"," COSC","2021","Aug","22","2004","4.0","2.0"
"Steven","Kuo"," COSC","2021","Aug","5","2004","2.0","4.0"
"Steven","Kuo"," 2021",NA,"Apr","25","2004","2.0","3.0"
"Steven","Kuo"," COSC","2021","Apr","22","2004","1.0","5.0"
"Steven","Kuo"," 2021",NA,"Mar","24","2004","2.5","2.0"
"Steven","Kuo"," COSC","2021","Dec","9","2003","4.0","3.0"
"Steven","Kuo"," COSC","2021","Jun","30","2003","1.5","5.0"
"Steven","Kuo"," 2021",NA,"Apr","24","2003","4.5","1.0"
"Steven","Kuo"," COSC",NA,"Apr","4","2003","2.0","3.0"
"Steven","Kuo"," COSC","2021","Mar","10","2003","1.0","5.0"
"Steven","Kuo"," COSC","1510","Nov","29","2002","2.0","3.0"
"Steven","Kuo"," COSC","1520","Apr","14","2002","1.0","3.0"
"Steven","Kuo"," COSC","2021","Mar","29","2002","3.0","1.0"
"Steven","Kuo"," COSC","2021","Mar","19","2002","2.0","3.0"
"Steven","Kuo"," COSC","2031","Dec","20","2001","1.0","5.0"
"Steven","Kuo"," COSC","2021","Nov","22","2001","3.0","4.0"
